UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL115079,401,210,186,255,255,342,324,172,78,2225,0,0,0,0,0,0,0,0,0,0,4,10,7,4,3,8,3,3,3,46,3,9,0,0,6,8,7,3,0,42,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,6,10,5,16,15,9,3,98,12,23,6,10,5,16,15,9,3,95,418,229,194,264,266,355,338,176,84,2324
UCL115080,176,81,68,104,160,335,398,225,70,1604,0,0,0,0,0,0,0,0,0,0,6,0,7,5,7,32,89,27,5,178,0,0,0,0,0,15,44,23,3,92,3,3,0,5,7,18,29,6,0,78,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,13,3,8,12,13,74,166,55,8,357,13,3,8,12,13,74,168,55,8,355,184,86,73,117,172,409,568,279,82,1967
UCL115081,237,306,347,217,237,135,98,34,16,1621,0,5,6,0,0,0,0,0,0,11,329,409,356,274,275,217,134,22,3,2021,10,26,45,16,8,19,0,0,0,121,76,126,69,75,47,40,24,3,0,460,11,17,9,8,11,0,11,0,0,60,0,12,14,0,0,3,0,0,0,31,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,22,24,13,22,16,20,13,0,0,124,0,0,0,0,0,0,0,0,0,0,440,612,513,391,361,305,188,29,3,2838,440,613,516,392,363,305,188,29,3,2842,678,916,864,607,598,437,277,64,16,4466
UCL115082,353,137,130,173,144,149,85,35,28,1220,3,0,0,3,0,0,0,0,0,4,14,3,5,0,0,0,0,0,0,29,0,3,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,0,0,4,5,0,0,38,16,3,3,3,0,4,9,0,0,44,374,138,132,177,146,148,89,37,28,1262
UCL115083,215,107,121,103,145,199,188,85,42,1208,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,6,0,0,28,0,3,0,3,0,3,6,0,0,28,213,111,123,108,143,203,194,85,43,1241
UCL115084,765,559,710,641,588,577,404,203,87,4532,0,3,0,0,0,3,0,4,0,11,14,20,19,10,10,8,8,11,3,101,0,0,3,6,0,7,5,0,0,20,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,14,17,27,11,10,22,12,11,3,132,14,22,24,14,10,27,13,7,3,144,777,576,734,655,593,599,421,213,94,4674
UCL115085,188,97,77,112,184,198,193,115,33,1201,0,0,0,0,0,0,0,0,0,6,8,9,5,0,0,10,6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,3,0,10,5,0,0,44,8,6,5,4,0,10,8,0,0,44,196,105,84,121,183,208,200,115,36,1250
UCL115086,177,122,90,92,157,179,215,93,21,1151,0,0,0,0,0,0,0,0,0,0,3,8,3,4,8,9,7,4,4,45,0,0,0,0,0,5,0,3,0,7,0,0,0,0,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,8,3,13,17,17,5,3,75,3,8,10,5,13,17,17,5,3,78,178,125,101,102,172,203,235,98,21,1234
UCL115087,338,162,187,184,170,172,184,104,86,1588,0,0,0,0,0,3,0,0,0,3,12,5,9,11,4,3,3,0,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,9,11,5,7,3,0,0,62,12,6,9,11,5,9,3,0,0,61,347,171,195,193,177,183,186,111,84,1652
UCL115088,173,116,66,125,137,170,132,62,39,1019,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,4,3,0,0,24,3,3,6,0,3,4,3,0,0,24,176,120,70,129,136,177,137,62,39,1045
UCL115089,451,274,243,216,306,385,361,248,145,2622,0,0,0,3,0,0,0,0,0,8,9,10,10,8,13,20,6,0,3,81,5,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,8,13,13,20,10,0,3,94,10,11,14,19,13,20,10,0,3,103,462,285,255,233,319,406,374,250,147,2723
UCL115090,266,135,146,131,100,145,119,83,38,1166,0,3,3,0,0,0,0,0,0,10,0,3,5,0,9,3,5,0,0,35,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,0,8,0,0,6,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,9,8,14,0,0,46,3,3,12,3,8,8,12,0,0,58,271,144,157,139,110,151,135,87,38,1225
UCL115091,495,270,174,295,402,409,438,185,55,2728,3,3,0,0,0,0,0,0,0,6,13,11,14,5,7,7,8,3,0,64,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,14,4,14,10,11,5,0,87,15,13,14,4,16,12,11,5,0,89,511,281,191,299,416,423,452,186,61,2819
UCL115092,404,177,212,237,296,454,459,158,35,2425,0,0,0,3,0,0,0,0,0,4,9,3,8,10,10,18,4,3,0,71,0,0,0,0,0,9,15,4,0,36,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,14,12,9,31,25,12,4,117,14,4,14,14,9,31,26,12,4,123,411,184,219,243,305,482,481,172,36,2545
UCL115093,225,112,140,148,166,185,188,123,15,1305,3,0,3,4,6,0,0,4,0,16,0,8,13,8,14,22,49,28,0,150,0,0,0,0,3,9,27,15,0,50,0,0,0,0,3,12,4,0,0,17,0,0,0,0,3,8,12,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,13,8,25,52,99,47,3,254,3,8,14,14,28,50,95,52,3,269,225,119,161,164,190,233,286,171,21,1571
UCL115094,480,265,203,256,293,345,368,243,168,2620,5,0,0,0,0,0,0,0,0,5,17,20,15,9,14,16,19,10,6,130,0,0,3,0,0,6,0,0,0,12,3,0,0,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,21,12,20,21,20,10,6,157,25,18,21,16,20,21,20,10,6,169,505,284,221,274,318,372,390,256,177,2786
UCL115095,318,220,146,216,303,362,422,323,181,2499,3,0,0,3,0,0,0,0,0,6,8,11,15,13,11,24,23,25,17,146,0,0,0,0,0,4,7,0,0,10,0,0,0,0,10,5,3,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,3,7,14,15,19,26,35,34,23,17,193,13,14,15,18,26,35,34,23,17,196,328,229,162,238,326,401,459,351,199,2701
UCL115096,304,180,144,231,237,317,411,159,38,2017,0,0,0,0,0,0,4,0,0,4,5,8,3,5,15,7,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,3,16,9,0,39,0,0,0,0,0,0,0,0,0,0,3,4,3,10,12,6,24,15,3,87,3,4,3,10,12,6,23,15,3,92,307,188,153,240,245,329,430,171,39,2114
UCL115097,354,180,173,215,229,277,278,212,74,1988,0,0,0,0,0,0,0,0,0,3,6,15,6,6,7,11,6,7,9,78,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,6,6,9,19,13,11,9,91,4,18,6,6,8,22,13,11,9,95,357,197,179,224,241,290,290,219,82,2079
UCL115098,200,82,75,89,139,187,203,125,126,1228,0,0,0,0,0,0,0,0,0,0,4,0,12,7,3,9,4,6,4,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,6,7,12,4,8,4,55,4,4,13,6,7,12,4,8,4,55,200,87,90,101,142,197,204,127,131,1279
UCL115099,360,191,168,178,157,179,168,125,58,1593,0,0,0,0,0,0,4,0,0,4,5,5,7,4,3,7,4,4,4,46,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,4,3,14,4,9,4,55,5,5,7,4,3,14,5,9,4,60,363,197,173,183,165,196,180,135,62,1649
UCL115100,388,211,193,271,289,356,320,227,84,2352,3,0,0,0,0,0,0,0,0,5,22,14,22,15,22,21,16,5,9,139,0,3,0,0,3,3,0,0,0,7,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,14,20,15,27,29,19,5,9,171,25,14,20,15,28,27,22,5,5,176,420,231,213,289,316,389,346,241,92,2530
UCL115101,595,285,204,405,542,455,310,166,119,3087,0,0,0,0,0,3,0,3,0,11,10,14,23,26,25,29,15,3,0,142,4,0,4,3,0,0,8,3,0,23,3,3,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,27,25,26,39,21,7,0,187,19,22,32,29,30,38,21,6,0,198,613,309,233,434,567,494,331,178,125,3282
UCL115102,463,167,142,293,315,192,73,31,5,1670,0,0,0,0,0,0,0,0,0,6,0,0,7,0,3,0,0,0,0,19,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,3,6,0,9,5,6,0,0,38,7,3,6,4,9,6,6,0,0,42,473,170,145,295,320,193,82,31,5,1714
UCL115103,361,190,197,250,341,635,613,346,124,3060,0,0,0,0,0,0,0,0,0,0,10,0,11,18,21,29,43,11,3,148,0,3,0,3,5,24,23,24,4,90,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,7,9,0,0,27,0,0,0,0,0,0,0,0,0,0,14,6,14,22,32,64,83,37,6,279,14,6,14,22,32,64,83,37,6,276,378,200,213,269,370,693,694,385,131,3337
UCL115104,671,373,353,365,378,463,456,270,151,3490,3,3,3,0,0,6,0,0,0,12,22,26,33,7,11,18,24,5,3,148,3,4,0,4,12,13,19,8,0,59,0,0,0,0,3,3,0,0,0,14,0,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,11,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,32,34,12,28,41,63,19,5,262,30,36,32,17,34,44,61,19,5,277,700,409,384,380,412,510,525,289,155,3760
UCL115105,762,388,358,304,339,445,379,247,99,3323,0,0,0,0,0,0,4,0,0,7,17,6,37,15,13,17,12,11,3,134,0,0,0,0,0,0,7,3,0,8,0,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,41,15,19,29,21,10,3,162,17,12,41,15,19,29,25,13,3,167,778,397,396,323,358,473,404,258,103,3489
UCL115106,390,232,225,189,243,170,201,131,47,1837,0,3,4,0,0,3,0,0,0,8,6,20,32,18,14,23,19,3,0,143,0,0,0,3,0,0,0,3,0,5,0,5,3,0,3,5,0,3,0,20,0,0,0,0,0,0,7,0,0,5,0,0,0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,23,37,27,24,27,27,8,0,188,6,25,43,27,24,36,27,8,0,192,397,258,265,214,264,200,232,144,53,2028
UCL115107,482,279,241,268,286,302,299,149,77,2389,0,0,0,0,3,0,3,0,0,11,0,16,11,8,8,16,7,6,4,80,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,8,11,16,8,6,6,87,0,23,15,6,10,16,12,7,6,92,489,297,254,272,301,319,312,162,81,2479
UCL115108,704,400,374,553,586,726,455,195,100,4084,0,4,0,0,0,0,0,0,0,6,9,12,31,19,9,23,3,3,4,116,0,0,0,0,0,4,3,0,0,16,3,5,9,15,7,10,11,0,0,68,0,0,0,0,3,0,3,0,0,8,9,0,0,0,0,9,0,0,0,17,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,23,45,36,20,58,25,7,7,232,21,28,47,35,27,58,25,7,8,247,723,421,418,586,605,778,475,206,103,4330
UCL115109,664,275,342,354,412,519,528,368,153,3606,0,0,0,0,3,0,0,0,0,4,16,23,15,8,19,14,24,8,5,126,0,0,0,0,0,6,0,0,0,10,0,3,3,0,3,4,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,22,16,15,27,22,29,12,5,164,16,27,16,14,28,22,27,12,5,168,678,296,354,368,440,546,556,376,158,3771
UCL115110,231,114,106,125,165,164,225,227,122,1475,0,0,0,0,0,0,3,3,0,6,3,9,5,3,3,6,6,0,0,37,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,9,10,3,4,3,6,7,0,0,45,9,10,5,4,3,6,10,3,0,47,234,125,106,130,163,168,234,229,124,1521
UCL115111,254,121,86,147,207,252,203,130,81,1479,0,0,0,0,0,0,0,0,0,0,12,7,0,3,8,7,12,7,10,68,0,0,0,3,3,11,9,4,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,11,7,0,7,11,21,26,15,10,114,11,7,0,7,17,21,26,15,10,117,265,128,87,159,223,276,226,140,91,1595
UCL115112,681,447,423,401,464,435,258,145,47,3289,0,0,0,0,0,0,0,0,0,3,11,20,12,14,3,13,6,3,0,82,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,14,11,9,13,6,9,0,87,10,15,16,11,5,13,6,9,0,88,690,463,439,413,467,447,263,152,47,3382
UCL115113,626,244,371,383,311,218,150,69,21,2395,0,0,0,0,0,0,0,0,0,0,0,8,6,0,6,0,3,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,3,0,4,0,4,33,0,8,5,0,3,0,4,0,4,33,627,250,379,381,315,221,154,72,23,2433
UCL115114,296,180,151,177,238,286,275,134,44,1792,0,0,0,0,0,0,0,0,0,5,4,3,11,5,7,9,5,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,5,11,6,5,6,0,57,4,6,15,6,9,12,5,6,0,62,296,188,164,184,253,299,279,137,45,1851
UCL115115,459,270,260,262,293,344,299,230,91,2509,0,0,0,0,3,0,0,0,0,9,8,12,27,5,9,15,16,13,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,27,8,8,19,18,15,3,111,12,7,26,8,15,15,18,15,3,120,467,278,286,275,306,361,318,246,94,2630
UCL115116,753,486,502,481,470,410,368,182,56,3713,0,0,0,0,0,0,0,0,0,0,21,13,13,11,7,4,0,3,3,79,0,0,0,0,0,0,3,0,0,6,5,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,13,13,14,13,5,3,3,102,22,16,13,13,13,13,5,3,3,104,775,503,519,495,484,427,373,183,59,3815
UCL115117,291,105,116,171,211,163,155,47,10,1265,3,0,0,3,0,0,0,0,0,9,3,3,0,0,0,0,6,0,0,18,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,7,0,0,24,8,3,6,3,0,5,9,0,0,33,298,106,119,172,213,164,164,55,10,1298
