UCL_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL112003,4819,2781,2374,3366,4012,4506,3639,1639,588,27714,3,7,3,0,3,3,6,3,0,32,98,187,209,126,172,185,215,89,47,1320,0,4,7,16,24,11,9,0,0,73,17,13,19,20,10,21,17,0,0,117,0,0,0,3,0,0,0,0,0,7,0,3,9,8,7,9,0,0,0,32,0,0,0,0,0,8,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,0,116,204,250,172,216,239,240,91,47,1569,121,210,255,176,216,238,246,91,47,1605,4938,2989,2630,3544,4232,4742,3885,1731,631,29315
UCL112004,3389,1956,1429,2020,2592,2714,3247,2083,795,20222,0,4,0,0,3,0,5,7,0,25,74,112,104,75,110,106,105,66,34,791,0,3,4,3,6,6,12,4,0,48,7,0,4,4,7,8,13,0,0,42,0,0,0,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,5,3,3,0,21,0,0,0,0,0,0,0,0,0,0,84,126,117,88,127,136,137,80,32,921,82,129,119,87,131,136,143,83,37,946,3474,2081,1546,2114,2722,2851,3391,2168,829,21171
UCL112005,4152,2638,2755,2495,2470,2461,1965,1175,528,20628,8,6,7,3,6,0,0,3,0,30,102,143,141,99,94,91,64,47,26,805,0,4,0,3,3,0,0,0,0,11,3,4,9,3,8,5,3,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,148,146,100,104,103,69,50,26,854,110,157,153,107,112,103,66,52,25,886,4259,2795,2911,2598,2580,2565,2029,1225,550,21510
UCL112006,8448,5082,4814,5123,5803,6138,5196,3271,1553,45414,7,10,11,10,9,7,5,11,9,76,244,340,318,270,347,404,404,198,79,2605,18,12,43,23,25,92,205,91,12,504,30,47,57,54,55,106,95,19,4,475,3,5,3,0,6,11,39,15,0,86,6,0,10,4,8,8,3,5,0,46,4,0,4,8,3,4,34,6,0,71,0,4,3,3,0,0,0,0,0,14,3,0,3,0,3,19,31,16,0,78,0,0,0,0,0,0,0,0,0,0,312,417,435,355,448,649,807,351,105,3875,321,424,450,365,459,658,811,358,106,3959,8767,5508,5262,5485,6261,6794,6008,3626,1661,49365
UCL112007,7026,4073,4743,3864,3839,3606,2585,1731,741,32206,10,4,7,8,3,3,8,9,3,48,288,419,366,302,317,334,249,141,52,2475,17,11,33,39,33,64,100,24,0,335,37,10,37,27,23,34,29,0,0,208,0,3,3,5,10,16,31,11,0,83,0,0,3,4,4,6,15,0,0,34,0,0,0,4,4,3,15,0,0,31,0,0,0,4,0,3,0,0,0,3,0,6,0,4,4,4,3,0,0,28,0,0,0,0,0,0,0,0,0,0,340,463,449,387,396,473,445,177,53,3183,354,467,448,390,404,479,454,190,63,3231,7378,4540,5194,4249,4242,4084,3036,1917,805,35437
UCL112008,3939,2515,2773,2566,2779,2599,2116,1304,637,21230,10,3,4,0,0,4,5,4,0,27,89,144,298,206,182,111,67,46,22,1167,8,3,13,13,3,14,26,11,3,86,7,3,8,3,10,6,3,3,0,42,0,0,0,0,6,3,4,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,3,4,0,0,11,0,0,0,0,0,0,0,0,0,3,3,10,14,7,6,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,101,155,331,232,219,151,110,64,24,1379,108,162,336,234,219,157,118,65,24,1411,4047,2678,3107,2800,3001,2757,2234,1370,659,22645
UCL112009,4802,3406,3022,3066,3406,3515,2486,1566,897,26164,10,9,6,7,4,5,0,4,4,52,124,235,189,125,119,148,131,84,50,1204,0,5,3,3,6,5,8,0,0,35,15,48,66,31,30,38,13,3,0,241,0,9,0,0,3,0,0,0,0,14,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,143,293,265,160,157,197,152,91,49,1514,152,305,277,167,164,199,156,92,58,1566,4952,3705,3293,3232,3569,3715,2640,1657,956,27726
UCL112010,481,211,251,259,281,238,181,80,18,1997,0,0,0,0,0,0,0,0,0,3,3,6,3,0,5,0,0,0,0,21,6,14,7,6,15,12,5,5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,12,13,17,16,11,5,0,119,11,27,16,12,17,16,16,5,0,123,498,236,269,272,299,257,194,82,20,2124
UCL112011,5836,3453,3698,3306,3397,3572,3161,1845,816,29092,14,12,9,0,4,3,3,4,0,47,137,235,217,163,163,157,108,82,52,1314,0,5,4,8,17,19,6,3,0,56,11,13,4,7,16,5,5,0,0,55,3,3,0,5,5,0,0,0,0,11,0,0,3,3,4,3,0,0,0,13,0,0,0,0,3,7,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,9,10,11,21,0,3,0,63,0,0,0,0,0,0,0,0,0,0,151,256,248,189,220,204,122,88,57,1537,161,273,257,194,222,206,125,93,57,1582,5998,3724,3950,3497,3623,3781,3289,1937,871,30672
UCL112012,7711,4223,4830,4464,4250,3884,2946,1956,852,35121,18,12,4,3,6,3,7,3,3,63,208,453,342,275,280,237,130,70,36,2038,6,16,12,10,21,13,14,3,0,92,3,22,18,18,26,17,23,0,0,116,0,0,0,3,0,0,0,0,0,7,3,3,8,9,5,3,0,0,0,27,0,0,5,0,0,5,0,0,0,14,0,0,0,0,3,3,0,0,0,5,0,17,4,0,3,6,5,0,0,35,0,0,0,0,0,0,0,0,0,0,215,509,389,317,338,280,176,72,36,2344,231,522,397,325,346,280,180,80,44,2399,7949,4749,5228,4787,4592,4168,3126,2030,894,37521
