UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL112010,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,13,3,7,0,23,0,4,5,0,11,29,9,5,0,43,15,9,11,0,37,23,22,8,0,53,29,24,10,0,59,18,15,0,0,35,21,23,3,0,39,29,39,0,0,71,13,26,3,0,39,13,21,0,0,30,5,11,0,0,12,10,18,0,0,32,12,42,7,0,68,3,4,0,0,4,224,268,74,5,573
UCL112011,36,4,17,0,60,24,5,16,3,45,22,9,64,3,96,12,7,107,3,121,136,27,145,7,317,99,43,214,13,364,629,99,222,19,959,253,144,227,18,644,358,239,181,20,802,332,314,116,9,768,158,266,68,12,508,180,248,59,5,487,293,419,73,7,788,147,279,14,6,450,60,148,3,0,209,33,74,4,0,112,46,111,7,0,170,206,355,149,9,717,73,30,56,3,162,3090,2823,1732,124,7775
UCL112012,36,5,31,5,82,34,3,18,0,54,18,4,50,3,82,11,3,68,0,86,165,21,109,0,295,92,36,235,6,362,449,71,238,10,776,247,122,198,9,576,347,244,200,19,808,324,293,136,17,772,195,304,87,10,592,241,334,64,0,637,409,640,118,6,1170,263,491,38,6,794,140,313,17,3,465,74,171,18,0,264,161,350,3,0,522,213,439,162,7,818,76,19,57,3,160,3498,3869,1840,114,9322
UCL112013,50,10,29,0,93,24,3,14,0,45,33,6,33,0,77,20,4,69,0,99,265,10,117,3,401,166,37,254,3,466,1094,88,281,15,1474,578,167,282,20,1040,695,315,256,19,1290,626,357,166,17,1174,275,337,115,3,734,329,297,94,9,733,495,664,88,6,1267,306,479,26,5,815,147,284,11,0,445,90,162,16,0,265,194,320,13,0,527,335,417,167,5,927,121,40,56,3,217,5847,4007,2092,131,12082
UCL112014,25,9,15,0,52,18,3,13,0,30,12,6,50,4,75,0,5,81,0,86,129,27,148,4,314,95,22,259,0,375,484,61,263,23,830,301,120,241,22,689,351,253,222,28,851,343,276,160,14,792,208,260,87,7,568,205,250,88,11,553,386,500,78,8,977,209,304,26,8,544,80,189,8,6,288,49,98,13,0,162,119,169,15,0,303,213,386,167,12,781,74,42,56,3,177,3308,2978,2001,158,8437
UCL112015,46,13,25,3,90,31,5,16,3,60,20,10,73,0,96,17,3,93,0,119,186,39,164,8,403,101,42,268,4,416,558,85,252,23,920,359,153,276,30,818,454,297,268,35,1050,477,359,203,24,1071,286,415,145,13,854,344,417,116,16,899,612,842,119,22,1593,346,648,39,10,1043,205,413,22,6,645,87,245,23,0,352,178,401,13,5,603,368,567,187,5,1125,98,49,78,6,236,4786,5003,2376,226,12388
UCL113001,10,0,9,0,21,12,0,6,0,18,8,4,18,0,33,10,0,33,0,39,96,12,64,0,172,62,10,96,3,170,401,34,122,9,569,222,59,111,14,406,268,122,112,7,519,243,119,70,9,434,116,93,31,3,247,133,104,37,6,280,201,189,36,3,430,111,118,10,0,240,47,61,5,0,120,27,40,3,0,67,64,64,3,0,127,104,137,71,3,318,49,6,31,0,94,2188,1177,871,70,4298
UCL113002,23,4,8,0,31,13,3,9,0,26,13,4,18,0,40,7,3,24,0,37,82,12,41,7,144,40,15,90,3,147,322,35,81,7,449,152,33,84,11,279,215,85,74,5,377,180,111,47,3,345,66,63,20,0,143,68,70,16,5,157,105,94,20,0,220,47,59,9,0,110,25,31,0,0,54,7,6,3,0,21,25,29,3,0,56,84,87,48,3,220,49,8,27,0,84,1518,766,618,37,2935
UCL113003,16,0,7,0,24,6,0,15,3,26,15,0,32,3,53,7,0,58,0,65,124,18,89,3,229,51,21,141,3,225,355,39,116,12,521,161,75,135,4,371,182,113,96,10,400,154,94,69,9,330,67,98,54,4,217,100,131,30,5,269,193,181,42,10,420,124,157,10,0,292,67,111,3,0,175,30,64,5,0,97,54,112,7,0,174,132,235,92,3,462,76,23,50,4,149,1909,1465,1052,75,4501
UCL113004,7,3,0,0,12,5,0,3,0,7,6,4,3,0,8,7,0,7,0,9,43,0,13,0,57,22,3,18,0,41,155,8,18,0,172,67,7,26,3,99,99,35,27,0,161,67,67,15,0,141,38,44,5,3,93,39,40,10,0,88,84,84,11,0,173,31,87,5,0,122,21,49,0,0,63,5,17,0,0,24,15,41,0,0,56,50,63,19,0,132,21,0,4,0,26,768,554,174,8,1511
UCL113005,49,9,11,0,60,30,0,10,0,43,18,4,26,0,44,20,0,41,0,59,209,19,83,3,318,89,17,101,3,217,749,59,159,10,981,311,68,150,16,546,367,130,121,18,639,256,145,76,5,479,109,111,40,0,260,136,99,27,0,265,166,156,26,9,366,95,114,10,3,215,39,52,0,0,96,33,45,3,0,78,63,57,7,0,126,169,180,89,3,449,101,18,32,0,149,3010,1296,1015,77,5394
UCL113006,11,0,15,0,23,8,0,10,0,18,17,6,41,0,62,8,3,49,0,64,104,11,72,9,194,50,26,163,5,238,346,52,145,9,549,167,80,156,18,422,187,137,119,7,456,165,156,69,7,394,85,149,30,0,262,84,132,32,4,256,136,187,28,0,355,54,148,11,0,213,36,54,6,0,96,15,30,10,0,52,36,50,5,0,85,93,177,79,9,356,35,11,28,0,78,1620,1418,1052,80,4171
UCL113007,43,8,4,0,62,17,8,3,0,31,6,10,18,5,33,6,0,25,0,32,92,29,41,10,168,39,21,88,4,153,221,62,75,10,371,109,108,94,9,318,151,153,71,5,380,160,213,57,9,436,113,203,52,7,376,111,167,26,3,313,208,305,34,6,561,99,215,23,3,341,69,130,3,3,205,41,68,6,0,106,55,126,9,3,184,102,265,59,4,425,52,32,33,3,129,1691,2107,737,77,4615
UCL113008,5,0,3,0,12,10,0,8,3,23,6,3,23,0,33,7,3,33,4,43,54,9,63,4,131,37,7,129,4,177,216,35,101,8,356,92,52,101,6,257,104,85,86,0,283,91,81,49,0,217,38,75,33,3,156,32,66,15,0,118,54,96,21,4,170,14,46,13,0,73,15,27,3,0,44,4,7,7,0,14,10,11,0,0,26,45,77,73,3,201,32,13,42,0,91,862,708,802,47,2424
UCL113009,19,0,7,0,26,12,0,0,0,18,9,0,11,0,26,8,3,16,0,29,72,8,20,0,102,54,16,46,0,113,198,16,49,8,275,149,29,48,3,234,208,73,53,4,338,173,89,30,0,291,117,86,35,0,236,118,121,23,0,268,190,240,33,3,464,110,181,17,3,311,70,167,3,0,240,37,110,5,0,161,76,234,6,0,317,109,219,51,4,382,28,9,8,0,44,1759,1598,471,31,3861
UCL113010,17,3,11,0,27,12,0,5,3,23,13,12,32,4,54,4,3,51,0,53,94,12,86,4,195,58,22,132,5,218,300,44,134,11,488,139,79,113,18,357,137,143,107,15,398,146,205,48,3,402,87,175,41,3,309,79,192,34,8,314,178,246,32,3,464,83,204,9,0,298,35,103,8,0,149,17,63,5,0,87,23,82,7,0,113,78,209,103,0,391,42,17,42,3,100,1542,1818,1003,77,4444
UCL113011,6,3,10,0,19,12,4,7,3,28,4,6,24,0,41,4,0,44,0,51,57,12,46,0,121,47,17,96,3,164,226,39,101,7,374,120,40,69,9,241,157,80,57,0,293,86,85,42,3,219,38,87,27,0,149,54,85,22,3,160,117,131,37,4,281,47,108,8,3,162,38,61,5,0,103,17,49,0,0,67,26,92,3,0,123,71,113,52,0,233,30,19,16,0,66,1165,1025,673,44,2900
UCL113012,17,16,11,0,37,13,8,10,0,27,18,3,27,3,57,12,0,29,0,38,121,15,60,3,195,66,25,86,3,177,411,41,102,5,557,277,84,96,6,461,272,127,113,16,525,210,147,73,4,440,105,161,63,3,328,128,151,28,6,311,212,306,44,4,566,134,224,22,0,387,54,126,7,0,185,42,80,4,0,123,53,123,3,0,179,134,237,85,8,467,46,22,23,0,94,2308,1898,885,67,5162
UCL113013,10,4,0,0,14,5,0,7,0,17,4,4,16,3,29,6,4,28,0,38,43,6,38,3,93,12,9,61,0,90,140,28,68,3,248,75,35,67,7,182,104,93,39,3,237,102,90,29,3,231,53,78,18,0,155,60,84,14,0,157,112,185,34,4,328,76,130,5,3,208,42,88,0,0,131,28,76,3,0,110,67,121,3,0,187,59,140,43,5,251,22,6,13,0,38,1017,1181,493,42,2736
UCL113014,21,3,15,0,30,9,0,13,0,23,10,4,24,0,38,5,0,36,0,41,47,7,55,0,109,22,10,87,3,120,106,29,64,7,206,76,43,60,0,180,74,64,44,4,189,75,72,29,3,181,47,75,24,0,146,52,71,21,4,153,111,193,33,3,333,88,146,4,3,241,55,95,10,0,154,31,53,0,0,90,49,105,5,0,159,78,115,42,0,240,18,14,27,0,62,971,1103,582,33,2682
UCL113015,22,3,11,0,39,27,3,7,0,32,16,3,17,3,41,10,3,17,0,26,112,9,32,0,154,37,14,55,0,107,276,24,71,3,375,177,44,76,3,302,235,80,74,10,397,209,87,58,4,355,95,98,36,0,232,102,105,25,0,231,179,195,31,3,406,96,154,6,0,252,47,89,5,0,143,33,57,3,0,88,78,111,3,0,194,128,193,44,4,373,52,10,11,0,71,1926,1288,577,31,3817
UCL113016,11,3,7,0,26,4,0,5,0,9,6,3,33,0,46,3,3,49,0,53,64,5,66,3,140,42,6,140,0,193,172,44,124,10,347,108,74,104,13,295,138,110,108,13,368,109,134,65,5,311,71,136,48,3,267,88,104,34,0,227,140,202,34,0,379,79,147,26,3,251,16,68,3,0,85,9,40,10,0,54,11,62,3,0,69,63,166,57,4,294,18,4,25,0,54,1165,1320,931,53,3466
UCL113017,13,4,11,0,25,11,3,6,0,12,0,4,23,0,28,3,0,29,0,33,44,8,44,0,91,26,16,85,0,133,121,27,63,4,214,66,35,68,12,184,101,82,74,7,262,93,102,41,5,237,61,100,17,3,190,67,106,35,5,214,166,263,37,7,475,83,213,12,4,309,66,122,6,3,199,37,93,7,0,137,87,197,5,0,295,104,200,48,0,349,26,17,10,0,58,1171,1595,620,50,3442
UCL113018,17,0,12,0,34,8,0,0,0,11,11,9,14,0,31,12,0,23,0,36,105,8,45,0,161,51,13,58,3,121,342,35,103,3,479,155,56,77,5,291,167,100,70,3,336,131,113,27,0,270,45,96,29,0,173,46,79,15,0,140,68,121,14,0,201,30,72,9,0,112,17,30,0,0,47,10,14,4,0,27,12,15,0,0,29,92,104,46,0,237,43,12,20,0,74,1361,860,562,33,2819
UCL113019,18,9,12,0,42,14,4,18,0,38,15,3,53,3,75,7,0,61,0,66,104,24,91,3,221,68,23,167,14,268,465,68,169,9,708,196,107,139,21,463,213,169,108,12,512,216,175,60,7,449,100,154,43,4,306,105,118,36,3,264,115,189,25,5,327,69,113,3,0,187,24,51,0,0,74,15,24,6,0,40,25,46,3,0,75,128,176,86,6,390,60,21,38,3,121,1952,1474,1117,91,4631
UCL113020,37,3,7,0,42,9,0,5,0,16,19,3,21,0,42,13,3,23,0,39,138,11,38,0,180,74,18,66,0,158,435,40,85,8,571,188,63,93,6,362,238,139,63,9,450,199,118,39,6,361,87,103,14,0,206,70,85,13,0,166,125,143,18,3,293,60,103,4,0,167,32,46,3,0,81,14,24,0,0,37,30,44,0,0,74,121,146,58,9,337,66,17,13,0,92,1949,1109,588,40,3684
UCL114001,8,0,0,0,7,0,0,0,0,5,0,0,8,3,16,0,0,8,0,14,22,0,11,0,30,13,0,26,0,44,120,7,32,0,161,75,21,22,5,118,102,44,39,4,183,55,46,25,4,132,31,38,20,0,88,35,54,18,0,97,47,83,7,4,142,23,48,7,0,74,21,20,3,0,42,6,18,0,0,22,14,25,0,0,38,43,63,28,0,131,13,3,6,0,21,620,476,260,18,1372
UCL114002,3,3,3,0,5,8,0,0,0,10,0,5,3,0,6,0,0,11,0,11,33,5,20,0,55,21,9,18,0,45,115,6,21,0,143,57,16,30,0,107,59,41,20,0,120,48,42,18,3,109,29,45,11,0,86,30,47,7,0,83,43,94,9,0,145,24,61,8,0,94,15,31,0,0,52,3,18,0,0,21,16,39,3,0,53,47,99,29,3,174,19,3,4,0,24,561,559,212,11,1348
UCL114003,12,0,11,0,23,3,0,3,0,6,6,0,10,0,16,3,3,9,0,18,23,10,28,0,53,13,14,48,3,75,69,17,33,3,120,48,18,31,4,110,74,50,46,7,176,90,48,31,3,183,53,52,16,0,121,65,55,8,8,133,79,100,21,3,210,58,57,9,3,120,36,44,0,0,79,20,26,7,0,53,57,87,4,0,152,77,104,46,0,228,14,9,7,0,33,800,702,369,37,1905
UCL114004,16,0,3,0,20,12,0,4,0,19,9,0,7,0,18,4,0,16,0,25,90,3,26,0,117,42,9,40,0,90,377,13,34,3,431,175,28,43,4,247,180,33,31,0,246,111,55,17,3,192,57,41,14,0,107,44,30,9,0,87,67,60,11,0,138,27,42,0,0,66,14,23,0,0,37,8,10,4,0,19,13,14,0,0,32,89,70,32,0,190,37,6,10,0,59,1387,439,300,14,2145
UCL114005,8,5,5,0,19,3,0,0,0,9,8,3,18,0,26,3,0,32,0,39,74,7,51,7,140,28,18,73,3,119,222,40,98,7,373,102,51,90,7,248,117,115,69,13,309,97,117,41,5,262,56,92,20,3,171,42,84,18,0,145,70,110,20,3,205,25,58,6,0,92,10,27,0,0,33,3,12,0,0,17,9,8,0,0,13,45,80,48,4,190,27,11,29,0,67,943,836,635,59,2472
UCL114006,0,0,3,0,6,6,0,3,0,9,7,0,17,0,21,4,0,16,0,19,32,3,26,0,62,18,0,30,0,55,120,17,43,0,182,60,24,31,3,117,70,37,33,4,149,60,51,31,3,140,43,52,12,0,102,44,53,15,3,114,74,88,13,0,179,43,49,6,0,99,22,29,0,0,52,10,21,4,0,32,22,33,0,0,56,66,71,35,0,168,15,6,12,0,38,713,534,336,20,1598
