UCL_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL101001,83,87,43,207,291,263,559,765,3795,27,4587,50,231,32,316,94,111,207,522,1084,6,1618,100,885,89,1070,327,444,772,1844,2838,21,4696,137,1020,72,1233,238,353,588,1823,3072,17,4914,280,1708,145,2133,348,516,870,3002,5091,24,8112,918,3355,245,4522,408,648,1055,5574,6475,31,12079,2106,3529,265,5894,290,399,687,6587,7080,61,13725,3669,3660,326,7662,296,278,574,8229,6734,63,15027,5641,3623,346,9607,241,276,518,10129,6911,58,17103,5378,2769,306,8461,218,183,395,8857,5045,42,13940,5102,2006,253,7356,122,106,232,7589,3681,37,11296,4570,1461,195,6226,105,83,183,6413,2832,34,9277,8092,2038,344,10477,124,101,221,10703,3720,41,14456,3587,970,154,4710,61,44,101,4818,2037,9,6866,1845,411,97,2352,32,18,47,2407,715,11,3131,2841,493,109,3443,50,24,69,3515,590,10,4118,2472,386,96,2955,37,20,60,3017,1049,15,4077,5059,2531,502,8090,301,224,526,8610,5768,340,14725,378,250
UCL102001,3,0,0,3,0,3,3,4,14,0,23,3,0,0,3,0,0,0,3,6,0,9,0,7,0,6,0,4,3,10,22,0,34,3,9,8,15,3,7,9,26,28,0,56,0,13,0,15,8,3,10,27,37,0,65,3,25,0,31,3,7,7,44,51,0,93,21,37,7,58,3,0,5,69,59,0,122,48,48,0,95,0,4,4,91,49,0,141,64,32,4,105,0,0,0,107,37,0,142,78,29,4,105,0,0,0,110,32,0,142,80,13,10,100,0,5,3,106,17,0,123,68,19,0,91,0,0,4,91,22,0,112,130,18,6,152,0,3,3,151,20,0,179,46,3,0,54,0,0,0,54,20,0,70,26,3,0,25,0,0,0,25,6,0,34,23,3,3,31,0,0,0,34,4,0,34,23,3,0,26,0,0,0,26,0,0,27,78,14,9,97,0,3,3,105,36,0,140,3,0
UCL102002,8,6,0,11,17,13,31,42,173,3,221,3,23,4,32,3,7,7,38,64,0,104,14,70,9,90,39,25,67,152,208,0,361,13,112,11,134,43,49,86,228,301,0,532,22,206,24,255,55,53,108,366,555,6,921,95,539,46,678,92,82,178,850,856,3,1706,217,498,44,753,50,57,112,865,875,7,1742,383,563,40,986,35,51,88,1073,829,8,1908,557,514,55,1134,21,30,48,1183,721,8,1909,530,304,30,868,15,10,27,891,440,5,1338,480,218,33,732,11,14,26,752,249,3,1010,435,138,24,594,10,4,14,608,184,3,801,579,160,23,757,4,4,8,768,209,0,976,226,50,8,283,3,3,9,293,76,0,368,111,18,9,139,0,0,0,138,18,0,160,82,21,4,106,0,3,3,113,28,0,135,49,22,3,68,4,0,6,73,42,0,117,504,340,45,891,50,37,84,972,559,30,1564,35,29
UCL102003,0,3,0,4,3,3,5,7,27,0,35,0,5,0,9,0,6,4,10,10,0,25,0,22,3,26,6,3,7,35,27,0,62,0,26,0,30,10,0,10,36,48,0,87,3,47,3,53,10,11,18,71,94,0,164,17,114,8,138,16,26,40,181,142,0,328,52,106,9,162,3,6,8,172,179,0,354,68,110,10,195,3,6,13,206,152,0,357,122,86,13,222,3,3,4,229,170,0,398,101,65,6,177,5,7,9,190,78,0,267,71,43,7,122,3,0,0,122,56,0,177,72,22,4,101,0,0,3,101,27,0,128,71,30,3,102,0,0,0,104,38,0,133,35,5,0,42,0,0,0,45,10,0,50,12,3,0,15,0,0,0,15,0,0,14,3,3,0,10,0,0,0,10,4,0,11,4,3,0,12,0,0,0,12,3,0,12,70,72,15,151,6,3,9,163,105,6,272,4,6
UCL102004,9,4,7,13,14,18,36,51,125,0,179,8,15,4,23,14,3,15,43,53,0,95,12,62,5,80,47,22,65,148,211,3,365,16,102,7,125,35,55,94,212,290,0,505,17,177,14,207,66,59,122,332,589,0,918,76,478,35,589,67,97,162,749,785,3,1539,211,507,45,761,36,43,75,836,851,11,1701,346,516,41,904,39,27,64,971,784,7,1754,568,495,42,1104,18,22,40,1151,701,3,1851,558,296,23,878,20,13,34,907,435,3,1349,473,189,18,686,12,6,18,704,256,5,965,418,133,16,574,3,8,9,584,180,0,771,553,159,28,739,3,0,0,747,192,3,941,226,61,12,302,0,0,0,304,64,0,370,78,11,3,93,0,0,0,93,21,0,115,101,20,7,129,3,0,7,132,15,0,149,85,14,7,107,0,0,0,108,42,0,147,417,277,45,737,43,18,58,793,490,39,1324,19,23
UCL102005,5,4,3,17,8,13,27,36,125,0,167,7,14,3,20,7,6,16,39,60,0,105,9,52,5,62,33,19,55,121,212,0,331,5,66,5,82,32,37,65,147,266,0,423,22,146,15,182,40,49,88,268,502,3,779,66,389,19,471,65,81,147,619,654,3,1280,170,419,37,620,18,36,57,675,718,7,1404,280,420,28,731,27,26,48,783,619,3,1401,413,340,23,784,31,17,41,827,564,7,1397,389,212,27,628,16,12,25,649,365,5,1019,372,134,17,527,15,3,20,548,215,0,764,330,115,14,451,5,6,8,463,144,3,603,484,134,23,643,0,0,4,649,180,0,829,191,43,12,246,0,0,0,248,88,0,331,93,21,0,117,0,0,0,117,20,0,144,52,12,8,71,0,0,0,73,20,0,92,76,11,0,88,3,0,3,88,34,0,128,342,218,32,595,34,26,56,651,448,25,1127,25,29
UCL111001,0,0,0,0,3,0,3,6,22,0,24,0,5,0,7,0,3,3,10,13,0,20,0,10,3,13,9,9,13,27,46,0,69,3,28,3,33,10,12,22,53,50,0,103,3,49,0,53,12,16,37,84,102,0,195,8,80,11,100,11,9,27,128,131,0,259,48,74,6,128,10,8,19,146,122,0,268,66,76,10,151,11,4,16,169,107,0,271,78,66,9,159,8,8,11,174,74,0,245,63,38,9,113,3,3,9,114,41,0,155,63,20,7,88,0,0,3,92,27,0,123,59,17,8,77,0,0,0,79,15,0,92,64,13,3,78,0,0,0,78,17,0,92,25,7,0,32,0,0,0,32,9,0,38,5,0,0,8,0,0,0,9,0,0,9,14,3,0,18,0,0,0,16,3,0,20,10,0,0,10,0,0,0,10,5,0,15,58,35,5,99,8,3,9,104,49,0,162,7,4
UCL111002,3,0,0,3,11,4,8,11,40,0,49,0,8,3,4,0,0,4,12,16,0,24,0,15,0,21,14,9,17,37,48,0,85,4,29,3,37,16,13,27,61,97,0,160,4,40,6,52,24,16,41,91,144,0,235,24,128,15,165,26,28,50,215,226,0,444,60,169,15,245,21,25,41,285,255,0,545,108,121,11,241,12,14,26,267,204,3,474,159,113,5,282,15,8,22,299,166,0,468,166,74,8,244,3,0,3,245,105,0,352,128,36,3,170,3,0,8,170,62,0,238,79,24,8,115,0,3,3,121,38,0,159,155,30,3,192,0,0,0,198,37,0,237,49,11,4,65,0,0,0,65,13,0,78,20,4,0,22,0,0,0,27,0,0,25,18,0,0,23,4,0,4,23,0,0,25,9,0,0,7,0,0,0,7,12,0,22,111,69,9,190,10,5,11,200,90,3,303,6,7
UCL112001,0,3,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,5,0,7,17,14,0,28,0,5,0,7,5,0,5,13,22,0,37,0,11,0,13,3,3,6,26,34,0,61,8,23,3,29,6,11,18,47,68,0,120,16,31,0,53,7,4,12,60,54,0,118,33,38,3,76,0,0,0,76,44,0,120,31,33,3,62,0,0,3,70,34,0,106,42,11,0,55,0,0,0,50,14,0,67,32,13,0,47,0,0,0,47,11,0,54,23,4,0,31,0,0,0,31,10,0,37,25,3,0,29,0,0,0,29,10,0,37,9,3,0,16,0,0,0,16,4,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,3,0,7,3,0,0,3,0,0,0,3,0,0,5,25,15,0,38,0,3,3,46,14,4,61,3,0
UCL112002,0,0,0,0,3,0,3,6,12,0,10,0,3,0,3,0,0,0,3,9,0,13,0,9,0,10,3,3,3,14,31,0,47,5,12,4,25,6,5,14,32,34,0,71,4,22,3,31,9,3,9,38,61,0,101,11,62,3,78,6,24,29,108,100,0,205,32,45,9,87,3,9,16,101,91,0,192,41,50,6,96,4,4,9,100,75,0,182,74,57,0,131,0,0,0,131,47,0,183,56,32,3,91,3,0,6,98,39,0,134,53,27,4,78,0,0,0,78,17,0,93,43,11,0,55,0,0,0,55,18,0,77,54,7,3,71,0,0,0,71,11,0,79,17,3,0,24,0,0,0,24,0,0,19,12,0,0,12,0,0,0,12,0,0,12,4,0,0,11,0,0,0,11,3,0,10,4,0,0,4,0,0,0,4,3,0,7,48,26,3,72,5,5,7,80,53,6,137,4,0
