UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL222005,0,30,22,16,12,75,10,88
UCL222006,0,30,56,24,17,129,3,135
UCL222007,0,21,30,11,7,72,3,80
UCL222008,6,41,37,16,7,109,3,111
UCL222009,8,49,43,27,11,137,8,141
UCL222010,0,17,38,23,18,102,0,102
UCL222011,0,16,39,30,23,105,3,105
UCL222012,3,31,49,29,16,121,0,126
UCL222013,0,28,41,10,10,85,3,92
UCL222014,3,34,78,19,3,140,8,146
UCL222015,0,34,42,36,38,144,4,152
UCL222016,0,22,41,31,23,120,6,134
UCL222017,3,77,74,26,3,186,13,196
UCL222018,3,27,49,30,16,126,9,134
UCL222019,3,34,40,15,6,95,9,104
UCL222020,4,38,38,11,3,101,10,111
UCL222021,0,20,18,6,0,43,5,43
UCL222022,0,21,43,30,22,112,9,122
UCL222023,4,19,37,17,12,93,8,97
UCL222024,3,30,44,17,7,109,0,113
UCL222025,3,29,72,31,8,142,3,150
UCL222026,22,15,13,0,0,50,6,51
UCL222027,0,32,30,10,3,74,6,81
UCL222028,0,20,50,26,13,111,3,114
UCL222029,0,30,59,23,7,117,5,128
UCL222030,3,98,73,24,3,196,17,211
UCL222031,0,21,42,18,17,95,3,104
UCL222032,3,32,70,28,18,152,6,160
UCL222033,3,31,39,13,3,89,9,98
UCL222034,3,32,29,16,6,90,3,93
UCL222035,12,32,34,16,9,105,7,112
UCL222036,8,41,45,13,4,108,9,119
UCL222037,0,18,38,15,7,78,10,88
UCL222038,0,35,46,10,3,96,3,100
UCL222039,14,49,57,8,6,138,13,151
UCL222040,0,33,22,12,9,79,7,85
UCL222041,0,36,36,15,6,82,4,86
UCL222042,0,11,34,12,13,67,4,68
UCL222043,0,16,57,12,19,108,3,111
UCL222044,5,54,66,10,6,144,3,144
UCL222045,9,38,43,17,4,100,4,111
UCL222046,3,33,44,15,7,99,6,107
UCL222047,3,52,72,31,11,175,7,185
UCL222048,6,52,74,19,9,154,9,169
UCL222049,9,43,48,15,9,127,7,131
UCL222050,0,15,42,16,4,88,5,89
UCL222051,3,53,61,19,15,146,12,157
UCL222052,6,35,33,13,0,96,0,96
UCL222053,8,34,38,11,3,94,5,100
UCL222054,3,41,27,10,3,89,6,97
UCL222055,6,54,80,18,7,162,12,171
UCL222056,0,63,48,20,6,144,6,153
UCL222057,10,56,64,27,15,175,9,185
UCL222058,3,41,47,15,16,129,4,132
UCL222059,5,46,60,18,26,161,11,164
UCL222060,0,23,54,15,9,92,0,93
UCL222061,8,80,51,11,10,164,8,173
UCL222062,3,9,0,0,0,14,4,18
UCL222063,0,28,35,20,8,89,3,96
UCL222064,15,12,0,0,0,22,3,27
UCL222065,0,31,35,13,6,87,0,86
UCL222066,0,27,43,15,6,90,0,90
UCL222067,0,10,32,12,22,69,3,71
UCL222068,15,61,67,27,10,174,3,176
UCL222069,6,55,62,25,5,149,10,160
UCL222070,3,19,62,35,16,136,12,148
UCL222071,0,12,26,18,12,74,0,71
UCL222072,0,18,23,22,7,73,4,74
UCL222073,4,37,35,19,4,101,11,112
UCL222074,9,62,57,10,8,154,14,162
UCL222075,3,42,23,13,7,87,7,97
UCL222076,0,34,67,22,9,136,7,137
UCL222077,0,11,24,13,16,64,3,65
UCL222078,4,69,77,16,10,176,9,185
UCL222079,0,51,57,23,5,142,3,144
UCL222080,3,51,41,9,3,115,3,119
UCL222081,0,32,34,14,0,76,3,83
UCL222082,0,26,27,16,0,73,3,74
UCL222083,0,29,55,39,26,146,3,148
UCL222084,18,68,59,21,4,176,16,189
UCL222085,11,36,30,9,6,83,4,88
UCL222086,10,76,73,27,12,201,12,215
UCL222087,7,47,35,15,0,101,14,119
UCL222088,3,39,72,23,3,144,3,150
UCL222089,4,81,94,24,12,212,7,220
UCL222090,11,47,54,16,8,135,10,143
UCL222091,0,32,41,0,3,71,4,74
UCL222092,3,31,28,3,0,66,10,75
UCL222093,4,17,35,9,10,73,0,74
UCL222094,0,50,72,22,15,153,7,159
UCL222095,11,82,56,24,12,176,8,182
UCL222096,3,30,36,11,5,79,3,82
UCL222097,6,39,32,21,15,113,3,114
UCL222098,0,22,59,26,15,123,6,131
UCL222099,9,70,69,22,6,178,10,189
UCL222100,9,54,60,18,5,144,12,156
UCL222101,12,35,36,21,11,119,6,126
UCL222102,5,28,30,13,13,86,3,90
UCL222103,0,12,32,26,9,84,6,85
UCL222104,0,42,64,28,13,150,5,148
UCL222105,4,39,50,14,8,115,5,125
UCL222106,0,17,50,29,13,108,3,110
UCL222107,4,33,69,39,21,175,5,182
UCL222108,7,90,58,21,13,187,15,201
UCL222109,11,47,49,19,5,128,4,135
UCL222110,0,32,66,31,14,134,3,143
UCL222111,0,17,34,17,17,90,0,90
UCL222112,4,20,33,13,3,75,4,81
UCL222113,3,40,51,8,8,116,0,115
UCL222114,3,21,32,13,8,69,5,78
UCL222115,10,52,33,7,3,96,9,108
UCL222116,0,23,39,15,8,83,3,85
UCL222117,0,51,61,18,7,131,0,133
UCL222118,0,10,27,19,11,62,0,61
UCL222119,0,12,35,13,9,74,3,75
UCL222120,0,31,39,17,11,103,3,107
UCL222121,0,26,29,19,16,92,4,96
UCL222122,0,18,28,13,12,62,8,65
UCL231777,1896,26273,54396,29062,24733,136358,5342,141696
UCL279997,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0
UCL301001,48931,249262,267404,86158,42954,694710,20856,715565
UCL302001,9989,67885,74569,23245,11372,187060,6697,193760
UCL303001,3713,19090,19024,5363,2252,49443,2114,51562
UCL303002,4351,34269,35637,10438,4462,89164,2846,92008
UCL303003,2889,14770,13151,3903,1825,36538,1318,37861
UCL303004,3419,20384,23414,7091,3017,57334,1840,59174
UCL311001,1661,7620,6346,1877,844,18351,875,19222
UCL311002,1359,8752,6628,1937,802,19482,840,20325
UCL311003,1721,9345,10551,3401,1305,26314,976,27293
UCL311004,1712,7815,7759,2625,1232,21148,847,21991
UCL312001,667,3971,4785,1528,632,11577,318,11898
UCL312002,893,3591,2653,832,340,8311,428,8739
UCL313001,143,1748,1727,439,144,4206,147,4352
UCL313002,632,3686,2468,657,290,7735,363,8097
UCL313003,265,1421,1478,565,309,4035,120,4155
UCL313004,134,1266,1765,655,271,4091,151,4248
UCL313005,109,1133,1452,471,217,3384,96,3476
