UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL615001,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,38,24,12,20,4,0,135,0,0,0,0,0,0,0,0,37,45,24,10,25,4,0,141,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,13,28,4,10,3,0,0,66,0,0,0,0,0,0,0,0,14,28,6,10,10,3,0,76,56,65,32,27,30,9,0,212
UCL615002,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,0,4,0,3,0,0,9,27,24,14,13,11,3,0,94,0,0,0,0,0,0,0,0,26,27,17,17,16,3,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,10,13,6,7,8,4,0,49,0,0,0,0,0,0,0,0,10,20,9,6,7,4,0,61,39,52,25,23,27,6,0,167
UCL615003,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,38,45,22,16,8,8,0,134,0,0,0,0,0,0,0,0,43,50,20,16,15,8,3,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,18,8,4,4,0,0,53,0,0,0,0,0,0,0,0,10,18,7,4,6,0,0,53,55,67,26,23,16,6,3,197
UCL615004,3,6,7,3,0,0,0,23,4,4,4,0,0,0,0,19,0,4,6,0,0,0,0,15,68,84,52,17,44,12,0,283,0,0,0,0,0,0,0,3,79,102,69,25,45,17,0,335,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,19,33,24,13,9,4,0,100,3,0,3,0,0,0,0,8,15,36,33,17,10,4,0,116,101,132,108,39,59,16,0,457
UCL615005,4,3,3,0,3,3,0,12,15,15,9,3,5,0,0,46,8,12,4,3,3,0,0,26,180,179,112,64,74,28,17,650,0,0,0,0,0,0,0,4,203,204,121,68,92,34,17,737,0,0,0,0,0,0,0,5,3,5,11,8,7,0,0,35,0,3,6,3,3,0,0,16,44,78,48,41,41,7,3,255,3,0,0,0,0,0,0,5,49,92,62,53,48,7,3,317,256,299,183,120,138,40,18,1053
UCL615006,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,11,4,0,0,0,3,0,0,10,24,37,25,18,22,6,10,135,0,0,0,0,0,0,0,0,30,37,31,17,24,12,10,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,9,13,8,3,0,0,46,4,3,0,0,0,0,0,3,15,9,13,13,8,0,0,59,50,47,41,31,33,12,5,215
UCL615007,3,4,4,0,0,0,0,7,13,6,3,4,8,0,0,36,11,15,5,0,3,0,0,28,131,158,94,69,70,10,5,535,3,0,3,0,0,0,0,4,159,182,107,72,75,9,5,617,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,16,0,0,4,0,0,0,0,8,70,86,53,33,39,3,0,287,0,3,0,0,0,0,0,10,78,97,56,36,45,9,0,317,237,280,167,105,119,16,5,932
UCL615008,0,0,0,0,0,0,0,4,3,6,3,0,3,0,0,21,7,4,4,4,4,0,0,25,116,110,59,41,51,6,4,386,0,0,0,0,0,0,0,0,122,122,69,42,59,7,9,428,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,8,3,0,0,0,0,0,0,3,17,18,14,13,12,8,0,85,0,0,0,0,0,0,0,3,18,21,17,13,10,8,0,97,143,147,86,53,69,19,10,525
UCL615009,4,4,0,0,0,0,0,12,9,7,4,0,0,0,0,18,9,3,0,0,0,0,0,10,75,67,23,20,23,3,0,214,0,0,0,0,0,0,0,0,94,78,29,27,28,8,0,264,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,11,0,0,0,0,0,0,0,0,21,34,22,17,10,3,0,110,0,0,0,0,0,0,0,3,26,32,28,14,21,7,0,125,124,107,59,38,43,7,0,384
UCL615010,15,3,0,3,4,0,0,22,9,3,0,0,0,0,0,9,3,0,0,0,0,0,0,8,126,133,69,51,40,9,0,435,0,4,0,3,0,0,0,7,156,143,69,57,48,11,0,484,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,3,0,0,3,40,61,41,14,28,5,0,182,0,0,0,3,0,0,0,0,42,68,41,14,31,5,0,196,193,207,110,74,74,15,3,684
UCL615011,12,4,6,3,3,0,0,39,6,15,5,4,6,0,0,39,11,8,5,7,4,0,0,37,138,138,90,66,84,26,6,542,0,0,0,0,0,0,0,0,170,167,110,77,100,25,9,661,0,0,3,4,3,0,0,9,0,0,3,3,3,0,0,14,3,7,0,0,0,0,0,13,15,25,21,8,14,3,0,78,0,0,0,0,0,0,0,0,19,27,31,14,24,3,0,110,185,201,134,93,125,30,9,776
UCL615012,0,6,0,0,0,0,0,9,3,0,4,0,3,3,0,9,4,0,0,0,3,0,0,13,122,103,71,49,57,19,4,414,0,0,0,0,0,0,0,0,134,109,74,51,58,23,3,451,0,0,0,0,0,0,0,0,3,9,4,4,0,0,0,16,0,0,0,3,0,0,0,3,50,32,20,19,20,0,3,145,3,0,0,5,0,0,0,7,53,40,24,24,23,0,3,174,183,152,99,74,85,21,3,617
UCL615013,3,8,3,3,3,0,0,16,13,7,10,5,10,3,0,43,12,4,4,0,0,0,0,22,177,136,62,38,50,10,3,484,0,0,0,0,0,0,0,0,203,161,81,49,67,12,7,570,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,5,3,3,5,0,0,12,16,26,25,10,21,5,0,108,0,0,0,0,0,0,0,3,22,38,29,19,31,7,0,133,222,194,111,68,89,20,7,706
