UCL_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL101001,100907,92983,47907,30882,44980,31712,17281,366645,25135,24545,13367,7898,10070,4865,2320,88200,23494,21254,10245,5937,7852,3958,1957,74693,85031,83837,45881,28380,36044,17310,8296,304771,1245,1233,600,436,351,164,75,4102,235812,223844,117998,73527,99297,58004,29928,838416,7585,11702,8475,6558,10416,7209,4436,56382,3834,5340,3405,2413,3131,1397,750,20262,2235,3580,2250,1614,2254,1079,556,13564,12539,16443,10611,7295,9676,3694,1917,62174,1303,1328,768,461,516,189,90,4657,27490,38382,25502,18348,25996,13568,7747,157033,263304,262230,143503,91871,125294,71576,37669,995448
UCL102001,363,284,149,99,122,63,31,1118,124,157,89,59,82,44,20,576,165,149,74,44,57,21,16,527,1259,1216,686,448,674,207,80,4572,0,11,5,3,5,0,0,26,1914,1814,1009,653,934,343,142,6814,25,23,13,15,22,15,9,116,26,44,17,14,14,7,4,123,17,15,11,9,8,10,3,78,272,318,166,123,177,55,18,1137,16,10,8,3,3,0,3,47,359,414,218,167,225,85,36,1502,2273,2229,1228,821,1163,423,180,8314
UCL102002,1252,1376,775,510,658,317,147,5038,1284,1394,790,484,659,249,114,4971,1144,1205,650,380,499,198,84,4153,10084,10141,5814,3552,4670,1576,696,36543,71,89,60,38,39,6,3,296,13831,14207,8089,4966,6517,2347,1047,51002,67,185,148,118,166,67,35,790,311,446,305,213,288,97,31,1697,159,276,196,142,193,49,29,1045,2563,3383,2158,1462,1936,503,229,12238,129,124,86,42,57,7,0,447,3238,4416,2901,1971,2643,728,330,16216,17069,18624,10990,6940,9160,3068,1374,67223
UCL102003,206,229,122,67,116,26,11,780,252,220,119,76,102,25,14,808,219,212,94,76,85,36,8,729,1641,1591,897,630,784,247,88,5883,10,6,3,3,4,0,0,32,2327,2266,1235,849,1097,338,120,8226,16,35,30,16,33,14,3,142,61,84,58,39,50,16,3,302,25,42,37,26,58,18,4,210,338,530,359,227,361,108,37,1954,16,17,11,11,8,3,0,66,454,704,490,318,506,152,49,2680,2780,2969,1729,1167,1602,486,168,10906
UCL102004,1254,1218,619,352,511,215,115,4285,1047,1083,600,325,452,181,83,3771,1112,1033,480,324,425,171,80,3619,11913,11197,6267,3969,5318,1994,955,41619,74,48,38,22,23,7,3,211,15404,14577,8005,4995,6727,2570,1234,53508,94,142,122,76,116,56,43,654,226,311,205,144,230,66,37,1219,95,197,133,99,171,60,31,790,2275,3189,2067,1486,1880,588,278,11766,100,84,65,43,46,9,3,357,2788,3924,2595,1858,2430,780,394,14775,18195,18500,10602,6846,9165,3352,1626,68285
UCL102005,1466,1512,777,520,793,467,264,5799,1020,1170,662,448,686,313,154,4448,998,1033,610,380,546,234,120,3930,8679,8729,4912,2975,3853,1496,628,31267,53,84,38,28,24,7,4,251,12219,12529,6994,4360,5903,2521,1168,45687,93,188,151,123,244,118,72,995,255,320,227,182,284,110,47,1423,92,164,129,111,152,78,46,773,1877,2470,1522,1068,1350,417,176,8878,93,89,58,43,41,13,5,337,2403,3237,2091,1528,2068,739,341,12411,14628,15763,9083,5890,7973,3256,1513,58098
UCL111001,272,226,95,65,77,43,18,790,101,113,73,30,63,21,3,405,110,83,52,44,47,9,3,346,1783,1596,898,600,774,208,54,5913,7,4,9,8,3,0,0,28,2271,2023,1130,744,966,274,76,7486,20,20,9,17,14,10,3,88,47,37,34,28,16,3,4,168,20,17,23,9,13,0,6,85,448,616,388,252,320,59,18,2094,15,23,18,15,6,0,0,79,542,710,473,320,361,74,32,2519,2813,2737,1599,1063,1326,352,109,10000
UCL111002,250,244,138,94,107,44,16,896,235,216,130,63,92,30,7,764,200,210,80,68,89,28,15,690,3648,3541,1860,1156,1487,439,195,12321,13,13,9,4,0,0,0,46,4343,4222,2212,1384,1776,545,234,14722,17,22,15,10,22,12,3,102,77,70,52,36,43,12,4,290,22,40,32,28,28,8,5,168,982,1168,722,396,572,128,78,4048,39,24,17,9,0,0,0,91,1137,1324,837,484,670,162,92,4698,5478,5544,3047,1869,2444,704,325,19416
UCL112001,164,134,59,33,53,12,0,460,51,59,30,12,27,3,0,178,42,40,26,18,20,4,0,150,569,530,314,188,249,50,13,1924,7,7,10,0,0,0,0,21,831,770,436,251,352,73,16,2733,12,21,10,13,11,5,0,67,18,19,13,12,10,3,3,78,8,9,9,6,13,0,0,41,190,224,158,113,139,20,11,858,14,10,3,4,0,0,0,32,241,280,195,150,177,29,10,1073,1070,1042,634,399,528,107,25,3806
UCL112002,91,98,63,42,63,19,3,385,75,74,43,34,32,12,6,282,82,91,41,27,34,13,6,286,1312,1349,765,455,600,129,41,4654,9,5,4,0,0,0,0,26,1572,1618,915,560,732,179,50,5628,8,10,10,7,13,0,0,49,19,35,11,17,23,3,4,106,13,11,12,14,20,4,0,76,404,488,311,207,239,58,15,1711,23,16,9,3,4,0,0,57,461,561,351,241,294,75,15,2002,2031,2177,1272,800,1025,252,72,7631
UCL112003,65,87,48,33,50,16,14,322,132,169,98,65,98,20,16,597,117,142,87,50,68,21,10,490,855,824,516,303,408,100,53,3066,6,3,0,0,4,0,0,22,1177,1225,759,459,629,153,95,4497,5,14,18,18,26,4,3,90,30,42,40,28,53,17,8,207,18,40,29,23,29,3,3,146,184,260,145,89,137,39,18,875,8,15,5,0,3,0,0,28,236,369,241,160,246,62,37,1341,1419,1593,1001,611,870,219,128,5838
UCL112004,76,71,38,32,38,14,7,271,79,113,53,30,62,15,3,353,81,90,38,29,36,12,3,283,553,679,392,254,330,68,29,2309,0,6,4,3,0,0,0,16,786,956,522,349,464,107,38,3221,4,4,10,11,12,9,0,39,19,23,16,22,35,3,0,117,3,17,11,7,20,0,0,67,83,126,97,74,90,24,9,499,4,3,0,4,4,0,0,13,110,173,135,117,166,35,14,746,895,1129,659,469,629,137,50,3968
UCL112005,29,19,8,7,5,5,0,88,31,38,19,3,12,0,3,102,35,38,13,15,10,6,0,122,782,753,416,285,343,79,26,2683,3,15,3,0,0,0,0,26,886,857,463,316,370,91,29,3017,3,3,3,3,10,3,0,22,11,20,14,12,8,0,0,61,4,5,8,0,3,0,0,31,452,464,242,166,153,31,13,1516,13,12,4,0,0,0,0,35,481,501,268,180,174,35,18,1658,1365,1361,734,493,548,127,45,4676
UCL112006,253,249,144,89,118,41,9,901,146,157,83,41,56,15,3,498,140,129,73,45,60,12,8,472,1377,1520,792,508,679,132,49,5055,16,12,12,10,4,0,0,48,1929,2062,1098,692,923,197,65,6968,42,64,61,44,63,38,15,325,41,72,38,25,47,7,3,234,20,36,24,29,29,7,0,141,405,642,388,276,327,65,18,2119,19,32,19,9,11,3,0,92,518,850,531,392,471,113,34,2911,2449,2908,1624,1083,1395,316,102,9880
UCL112007,173,145,62,44,44,17,7,479,60,45,16,15,19,3,0,164,63,51,24,18,17,3,0,179,1483,1353,724,448,567,102,20,4693,7,10,9,3,0,0,0,25,1785,1609,832,524,647,118,22,5545,4,13,13,5,12,0,0,56,13,18,13,10,20,0,0,70,5,15,3,0,5,0,0,33,575,663,325,215,269,44,14,2111,18,19,10,4,3,0,3,67,622,729,366,240,308,49,19,2334,2406,2341,1199,763,953,168,48,7878
UCL112008,88,67,24,20,34,6,3,246,38,45,32,30,19,5,3,169,51,64,27,18,14,5,3,182,799,801,424,242,348,61,21,2696,11,3,3,0,3,0,0,21,988,974,515,313,422,75,32,3316,4,8,3,4,8,0,0,32,14,23,3,14,11,0,3,64,6,9,3,3,3,0,0,29,265,295,182,117,168,19,9,1053,12,9,9,4,0,0,0,38,301,347,204,133,197,19,14,1211,1290,1323,713,446,613,94,41,4528
UCL112009,68,52,31,12,29,9,0,198,64,67,39,27,39,9,0,240,57,65,38,19,24,9,3,204,864,861,510,313,386,92,22,3045,11,3,4,0,3,3,0,20,1064,1045,619,365,476,123,24,3709,6,17,15,10,19,10,3,75,23,45,23,18,42,3,3,165,10,34,19,11,15,7,0,99,290,449,303,174,247,56,24,1537,12,11,8,4,10,0,0,45,347,551,376,213,331,79,25,1920,1404,1596,994,582,806,198,50,5632
UCL112010,5,0,0,0,0,3,0,10,0,0,0,0,3,0,0,8,3,3,0,0,0,0,0,6,129,133,71,31,41,4,0,416,0,0,0,0,0,0,0,0,142,144,71,31,46,11,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,17,20,9,14,3,0,83,0,0,0,0,0,0,0,6,19,26,27,9,14,3,0,90,161,163,96,44,57,15,3,536
UCL112011,81,77,38,33,30,6,4,269,73,104,47,33,44,9,0,305,96,84,36,23,29,11,7,282,1174,1073,554,309,412,91,31,3644,3,4,4,3,0,0,0,18,1423,1345,683,395,518,109,36,4523,4,13,12,9,12,3,0,54,9,28,31,17,26,3,0,126,18,14,14,9,13,7,0,72,424,495,300,196,216,47,11,1695,20,19,14,12,4,0,0,77,486,577,367,247,274,59,19,2024,1906,1924,1044,642,789,167,57,6544
UCL112012,195,165,78,50,50,19,0,558,97,102,51,24,41,5,3,330,69,67,37,30,32,5,0,245,1707,1602,780,458,579,120,32,5279,4,10,7,6,3,3,0,29,2079,1952,953,565,709,147,38,6441,19,14,9,11,19,5,3,72,20,46,21,24,22,8,0,141,3,12,10,7,11,3,0,44,492,544,314,189,250,57,14,1865,25,14,11,7,7,3,0,67,563,623,367,237,308,74,13,2190,2644,2574,1328,802,1018,226,52,8631
UCL112013,113,124,81,49,76,15,3,454,141,175,83,56,73,14,0,548,132,153,88,43,65,8,0,496,1289,1427,855,502,732,139,31,4968,9,0,5,0,3,0,0,20,1681,1883,1112,655,949,169,36,6483,0,12,14,6,13,0,0,52,31,53,28,30,31,3,3,181,12,29,18,18,26,4,0,105,346,505,305,231,314,55,16,1773,5,15,13,8,4,3,0,54,408,605,379,290,391,62,24,2163,2089,2491,1494,944,1337,237,52,8645
UCL112014,118,95,53,34,49,4,3,359,59,53,23,19,17,4,0,180,51,28,24,15,13,3,0,136,1192,1172,651,411,493,80,16,4018,16,18,7,0,0,0,0,32,1436,1363,754,481,576,90,16,4726,8,9,5,4,7,3,3,41,21,18,17,17,15,0,0,87,4,16,10,8,13,0,0,49,595,655,384,254,256,35,11,2186,23,29,11,13,3,0,0,87,649,728,434,289,296,43,15,2450,2089,2088,1188,775,872,134,29,7169
UCL112015,312,303,151,81,101,35,7,996,97,121,59,41,37,10,6,362,100,87,39,39,48,6,0,312,1889,1893,1068,723,893,190,50,6716,5,3,4,0,3,0,0,26,2400,2419,1314,883,1083,242,63,8411,39,45,18,16,13,3,5,144,41,35,14,10,25,8,0,131,11,20,7,6,14,0,0,60,555,680,378,304,372,59,21,2368,28,21,16,6,3,0,0,74,677,802,438,338,426,75,28,2779,3077,3219,1758,1224,1514,319,86,11186
UCL113001,27,36,18,8,17,4,0,111,45,37,16,14,21,0,0,134,57,46,15,14,10,4,0,148,352,357,201,143,178,39,11,1276,0,3,0,0,0,0,0,5,474,476,247,185,226,45,18,1674,0,4,3,3,3,0,0,21,6,25,16,12,14,5,0,81,3,17,11,9,5,3,0,52,92,185,111,97,110,26,3,626,7,3,4,4,4,0,0,28,118,227,144,122,131,42,8,800,591,707,399,307,360,89,24,2477
UCL113002,12,14,7,9,3,3,0,48,14,21,16,6,11,0,0,66,16,21,6,8,8,3,0,68,277,287,165,95,99,28,3,960,3,3,0,0,0,0,0,9,330,351,197,124,125,36,4,1155,0,0,6,0,3,0,0,14,6,20,16,8,10,0,0,57,4,6,6,0,8,3,0,24,128,179,93,70,79,12,0,569,6,9,4,3,3,0,0,26,145,214,127,89,99,19,3,694,475,565,327,210,225,54,9,1850
UCL113003,26,28,8,3,4,3,0,68,11,11,4,6,4,0,0,44,27,23,14,5,9,0,0,76,480,549,303,196,229,36,7,1792,3,3,3,0,3,0,0,17,550,611,329,217,248,38,7,1997,0,0,0,0,0,0,0,3,12,14,5,4,0,0,0,36,0,0,0,0,0,0,0,11,279,280,179,138,165,20,3,1058,20,16,4,8,0,0,0,50,312,312,189,148,172,23,0,1158,863,927,517,360,421,62,7,3149
UCL113004,12,6,6,3,3,3,0,36,6,4,3,4,6,0,0,24,3,18,3,0,0,0,0,30,241,248,120,110,114,25,3,853,4,0,0,0,0,0,0,5,268,276,134,121,121,28,3,944,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,8,0,3,0,0,0,0,0,5,32,45,32,16,28,9,0,152,3,0,0,0,0,0,0,3,35,51,33,14,34,9,0,171,296,321,162,136,158,35,3,1117
UCL113005,22,19,8,9,10,3,0,72,28,24,8,12,22,6,3,105,30,20,14,10,14,5,0,95,422,431,275,187,262,39,8,1621,7,0,0,0,0,0,0,8,501,498,312,218,313,54,11,1904,3,3,3,3,6,0,0,20,13,22,9,10,15,0,0,68,9,8,3,4,3,0,0,33,201,256,157,95,137,14,0,857,7,12,6,9,5,0,0,43,231,303,173,120,167,18,7,1020,732,799,485,336,478,70,18,2923
UCL113006,24,31,16,6,17,0,0,90,18,31,11,5,12,0,0,84,29,34,15,10,9,8,0,103,568,579,326,206,285,44,11,2023,3,4,0,3,5,0,0,11,645,682,364,228,332,48,11,2304,0,7,0,0,0,0,0,7,12,8,4,5,5,0,0,39,12,12,8,0,8,0,0,36,269,312,197,133,137,18,9,1077,11,9,11,12,0,0,0,41,299,351,213,148,159,18,9,1203,942,1032,582,382,488,73,17,3507
UCL113007,274,221,145,83,105,16,8,866,61,50,34,23,14,0,0,190,50,29,16,12,12,0,0,115,649,640,341,210,288,44,5,2177,9,7,3,4,0,0,0,26,1040,955,542,332,417,65,19,3372,26,34,18,10,13,0,3,112,28,20,11,18,17,4,0,101,8,16,8,0,6,0,0,29,148,148,95,54,69,17,5,527,17,13,12,3,0,0,0,48,221,229,145,87,96,16,5,810,1262,1184,692,420,519,82,21,4180
UCL113008,14,3,7,3,4,0,0,33,11,18,12,10,8,0,0,59,20,14,9,5,4,0,0,55,275,297,164,106,135,9,8,993,0,0,0,0,0,0,0,3,324,336,182,127,159,16,8,1144,0,0,0,0,0,0,0,3,13,12,3,0,0,0,0,36,0,6,7,7,4,0,0,26,281,275,168,104,118,11,3,962,14,17,3,5,0,0,0,37,302,313,182,118,125,17,3,1066,622,650,363,241,285,28,10,2208
UCL113009,31,45,33,16,22,17,4,167,44,57,39,25,29,16,10,213,75,53,20,12,22,17,3,197,454,439,302,181,249,94,52,1772,3,0,0,0,0,0,0,9,606,584,401,235,320,136,74,2360,3,3,5,3,3,3,0,26,13,13,15,3,15,10,3,64,0,10,5,0,4,10,0,30,52,67,56,42,57,21,16,302,0,0,0,0,0,0,0,5,64,91,88,51,79,37,18,425,667,673,483,289,403,176,85,2780
UCL113010,23,14,14,4,15,3,0,73,24,23,14,13,18,0,0,96,25,26,8,3,7,0,0,76,703,752,344,242,334,71,30,2463,8,6,3,0,3,0,0,17,780,815,385,257,366,77,32,2718,0,0,0,0,0,0,0,3,8,11,9,6,11,0,0,47,0,6,3,0,3,0,0,17,273,321,191,117,133,23,8,1063,13,12,12,5,6,3,0,44,296,351,210,138,160,23,4,1181,1083,1163,601,395,522,100,38,3903
UCL113011,24,30,22,14,11,3,0,92,18,21,11,7,11,0,0,71,22,22,11,6,9,0,0,82,390,329,167,126,160,43,7,1215,0,7,4,0,0,0,0,15,455,409,209,147,198,44,9,1469,3,8,6,3,3,0,0,16,7,9,10,0,16,0,0,39,3,6,3,7,11,0,0,37,157,179,94,56,80,15,3,579,16,7,0,8,0,0,0,31,178,205,106,71,108,18,4,692,637,609,320,221,304,62,10,2163
UCL113012,55,56,46,19,46,24,18,258,54,61,35,24,37,19,3,238,74,72,38,24,27,14,7,258,601,555,327,235,280,69,32,2096,5,0,0,4,0,0,0,9,790,737,446,303,394,123,64,2854,3,11,3,6,9,3,0,45,7,25,17,10,21,5,3,88,7,13,15,3,8,0,7,54,169,201,117,73,105,30,16,705,7,4,3,0,0,0,0,16,197,260,156,90,143,40,24,910,983,997,607,394,529,163,85,3761
UCL113013,23,14,21,6,14,0,0,76,19,26,15,9,3,3,0,74,34,21,7,9,8,0,0,81,608,523,255,142,150,22,7,1701,0,10,3,0,0,0,0,17,686,584,304,167,177,28,7,1948,0,0,0,0,0,0,0,3,6,0,3,0,3,0,0,16,6,0,0,3,3,0,0,16,131,147,83,59,68,6,0,505,3,9,3,4,0,0,0,14,149,156,94,66,83,6,0,553,831,741,391,234,256,31,5,2506
UCL113014,47,54,30,20,14,6,3,163,10,20,15,3,11,3,0,55,31,32,17,9,7,0,0,93,452,421,239,151,170,38,8,1474,0,3,0,0,0,0,0,8,530,526,291,188,198,46,10,1791,3,5,0,0,3,0,0,16,7,13,6,3,7,0,0,36,4,4,5,0,0,0,0,17,180,191,105,80,83,12,0,648,8,11,9,3,3,0,0,36,206,224,128,93,93,13,3,753,742,750,420,278,286,61,13,2546
UCL113015,47,52,31,27,39,5,3,213,34,58,30,23,22,14,3,184,58,52,29,17,19,3,3,171,323,388,235,137,192,55,22,1354,3,0,0,0,4,0,0,6,462,558,327,201,273,77,34,1927,3,4,10,3,6,3,0,25,11,11,3,12,12,0,0,52,5,9,10,8,6,0,0,37,66,153,105,66,74,21,3,490,4,5,0,3,0,0,0,7,93,184,123,90,105,21,3,614,550,737,448,293,386,95,39,2541
UCL113016,29,26,11,3,11,3,3,89,30,30,12,17,21,0,4,110,22,15,16,5,11,0,3,78,483,500,292,166,209,55,29,1733,3,13,4,0,0,0,0,17,569,583,335,194,247,61,37,2030,0,3,0,0,4,0,0,15,12,12,14,8,9,3,0,53,3,4,5,3,5,0,0,24,266,298,137,98,103,22,8,931,11,10,4,5,6,0,0,27,289,328,156,116,124,30,8,1052,859,905,493,309,371,86,49,3075
UCL113017,41,59,27,19,24,6,0,168,22,30,13,10,15,4,0,91,56,48,18,14,11,10,0,155,621,560,281,201,260,61,18,2005,5,7,8,3,0,0,0,16,736,696,340,247,311,82,16,2439,4,11,3,7,4,4,0,21,11,14,9,5,4,0,0,43,3,6,3,4,7,0,0,19,158,201,98,77,88,27,7,651,3,7,0,4,0,0,0,11,171,232,110,90,103,31,5,750,914,930,451,335,413,115,29,3186
UCL113018,10,20,17,7,3,0,0,51,19,20,12,13,12,3,0,72,25,17,16,4,4,0,0,72,286,326,202,122,154,23,3,1115,0,3,0,0,3,0,0,8,342,378,244,143,178,35,7,1323,0,0,3,3,0,0,0,7,7,10,3,7,6,5,0,38,7,4,9,6,6,0,0,34,98,147,110,75,82,6,3,523,0,6,0,0,0,0,0,10,113,168,132,82,95,10,3,610,459,545,376,229,276,47,8,1931
UCL113019,37,45,19,10,15,0,0,136,34,29,23,6,13,3,0,102,21,24,16,19,10,3,0,88,557,535,344,216,284,53,12,1991,5,3,3,0,4,0,0,17,652,640,401,250,317,60,13,2336,0,3,4,3,0,0,0,12,10,15,19,7,12,0,0,58,3,8,11,9,3,4,0,32,297,359,212,143,175,32,3,1222,19,30,11,6,5,0,0,67,329,414,250,162,192,34,10,1396,981,1055,654,412,510,99,19,3730
UCL113020,11,12,17,9,13,7,4,78,21,40,18,8,6,0,0,96,39,43,12,12,21,0,0,126,377,384,224,156,192,26,4,1363,4,6,3,0,3,0,0,13,449,479,274,192,234,37,9,1675,3,12,5,3,3,0,0,20,7,7,9,5,12,0,0,41,3,4,14,3,8,0,0,37,86,133,89,60,87,7,3,466,3,7,5,0,0,0,0,13,96,165,118,73,106,9,3,574,551,646,392,270,336,43,14,2247
UCL114001,5,9,0,3,0,0,0,31,16,21,12,7,0,0,0,60,29,17,13,4,6,0,0,74,175,177,66,59,67,30,9,580,0,0,0,0,0,0,0,4,225,236,89,75,80,29,10,745,0,0,0,3,0,0,0,3,0,3,5,6,6,3,0,29,0,3,3,4,11,3,0,25,32,46,40,31,42,4,0,196,0,0,0,3,0,0,0,3,34,55,52,42,60,11,0,254,256,291,143,114,144,39,14,1000
UCL114002,9,14,4,5,11,3,0,44,15,17,6,8,8,3,0,57,9,21,13,12,14,3,3,71,152,160,108,86,104,25,11,646,3,0,0,0,0,0,0,8,184,213,128,121,134,41,17,824,0,0,0,3,3,0,0,3,3,3,3,3,0,0,0,14,3,3,3,3,3,0,0,16,33,36,29,31,35,4,3,175,0,5,3,0,0,0,0,7,36,45,37,38,44,3,3,209,225,250,166,155,176,40,19,1036
UCL114003,42,49,18,15,15,4,0,146,48,36,29,20,12,0,0,140,56,52,23,8,10,3,0,150,182,168,92,56,84,20,7,605,0,3,4,0,0,0,0,12,327,301,160,98,126,26,13,1044,0,6,5,9,9,0,0,25,11,13,13,6,10,0,0,56,5,10,5,10,6,0,0,33,27,43,35,28,33,10,3,178,0,0,0,0,0,0,0,3,50,73,54,47,60,11,3,301,372,379,216,143,183,39,10,1343
UCL114004,5,3,5,3,7,0,0,28,10,7,3,4,6,4,0,33,10,19,3,9,7,0,0,37,135,152,70,69,70,16,3,506,0,0,0,0,0,0,0,0,157,177,85,80,89,19,3,610,0,0,0,0,0,0,0,0,4,5,3,5,4,0,0,26,3,0,10,3,3,0,0,18,42,70,55,25,51,13,0,258,3,0,3,0,0,3,0,13,56,86,67,40,57,9,0,310,207,263,147,118,149,29,6,922
UCL114005,11,11,4,9,5,0,0,41,5,14,4,3,7,0,0,33,16,8,8,3,10,0,0,41,408,341,162,129,146,30,3,1222,6,0,0,0,0,0,0,11,442,376,176,146,159,38,3,1344,0,0,3,0,3,0,0,9,3,5,9,6,4,0,0,31,0,6,3,3,3,0,0,13,192,230,109,83,98,14,4,731,10,7,4,4,0,0,0,28,213,245,132,93,109,17,4,804,656,624,305,236,265,56,9,2149
UCL114006,12,19,14,4,12,3,0,61,7,13,6,4,3,0,0,38,12,16,5,4,15,7,0,57,186,188,107,48,83,13,5,628,0,0,0,0,0,0,0,3,217,237,133,62,111,18,6,783,6,4,5,0,4,0,0,21,10,4,4,3,5,0,0,35,0,4,5,3,8,0,0,19,55,82,50,34,40,6,3,275,0,3,0,0,0,0,0,3,70,98,62,43,52,14,3,345,293,337,194,108,160,27,12,1133
UCL114007,6,11,3,3,3,0,0,27,9,11,3,6,0,0,0,33,9,5,4,0,0,0,0,19,164,196,112,62,77,15,3,617,0,0,3,0,0,0,0,6,188,225,129,66,80,13,3,707,0,0,0,0,0,0,0,0,7,7,8,0,0,0,0,19,3,0,0,0,3,0,0,11,55,79,52,33,24,3,0,250,6,5,6,0,0,0,0,16,65,91,64,40,33,3,0,290,257,308,191,105,112,22,5,998
UCL114008,8,7,3,0,0,0,0,28,8,4,8,3,9,3,0,36,4,8,4,0,3,0,0,28,171,189,112,66,97,12,4,655,0,0,0,0,0,0,0,3,197,218,124,75,106,19,5,743,0,0,4,0,0,0,0,7,3,5,0,0,0,0,0,6,3,3,3,0,0,0,0,7,41,57,39,33,40,4,0,210,0,5,0,0,4,0,0,8,50,71,42,35,44,3,0,245,246,280,174,112,155,21,13,988
UCL114009,14,9,3,3,3,0,0,35,5,9,5,4,0,0,0,27,4,10,8,3,5,0,0,28,297,278,174,105,116,24,3,998,0,0,0,3,3,0,0,9,319,308,187,116,130,29,3,1094,4,4,0,0,0,0,0,7,0,5,4,5,4,0,0,17,3,0,0,0,3,0,0,12,112,135,69,48,64,6,5,441,3,3,0,0,0,0,0,10,117,149,77,60,72,12,5,488,439,458,259,170,202,38,7,1583
UCL114010,15,6,9,3,4,0,0,40,9,10,4,0,4,0,0,25,4,8,3,0,3,0,0,18,239,237,146,83,102,17,0,820,0,0,0,3,0,0,0,5,261,261,161,98,115,18,0,916,0,4,3,0,3,0,0,9,3,3,7,3,4,0,0,14,0,0,3,5,0,0,0,16,69,80,47,39,51,9,0,304,6,5,0,0,0,3,0,12,76,90,59,51,62,13,0,352,339,354,220,143,173,30,0,1271
UCL114011,16,10,3,0,3,0,0,34,5,11,8,0,4,0,0,26,9,5,7,3,6,0,0,27,276,271,119,99,110,20,5,908,4,0,0,0,0,0,0,7,309,305,140,107,119,24,5,997,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,11,4,0,0,3,0,0,0,5,98,112,69,44,55,5,3,385,8,11,7,3,5,0,0,33,106,132,82,49,61,5,3,437,410,432,217,157,182,27,9,1434
UCL114012,12,7,7,3,4,0,0,27,8,3,3,0,3,0,0,19,9,11,3,0,0,3,0,24,177,182,72,66,71,5,3,578,0,0,0,0,0,0,0,3,202,204,86,66,81,13,4,646,0,0,0,0,4,0,0,4,4,4,0,6,0,0,0,15,3,7,0,0,3,0,0,13,76,85,58,28,42,0,3,303,0,4,5,3,3,0,0,21,87,101,72,36,47,0,3,354,291,301,154,109,122,15,5,999
