UCL_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
UCL101001,169643,385509,92950,10036,658137,100745,17414,776295,15523,21307,8139,962,45926,22301,3495,71723,29826,51812,18492,1893,102018,28920,7737,138679,45346,73114,26632,2855,147949,51220,11230,210402,19395,17605,8247,1402,46654,34117,6527,87299,38525,31252,14498,2707,86983,50657,13284,150929,62028,38159,13798,4106,118090,66054,21910,206051,386,356,173,23,944,613,139,1699,120330,87380,36716,8243,252669,151442,41868,445979,72,31,17,5,132,210,10,355,130,64,68,9,268,455,20,745,33,52,28,3,115,143,15,277,1377,1461,676,138,3648,1769,789,6204,1613,1606,797,150,4169,2583,832,7578,1268,1405,468,82,3232,2402,443,6074,338207,549012,157558,21374,1066150,308395,71778,1446323
UCL102001,2111,3657,1035,80,6875,1458,176,8513,306,251,169,14,745,763,47,1549,286,222,147,23,677,499,54,1229,595,471,313,38,1419,1259,97,2775,128,110,83,6,324,574,37,934,85,73,32,5,193,272,23,490,182,123,61,12,368,511,42,925,0,7,0,0,7,3,0,8,390,307,171,19,893,1357,101,2355,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,11,6,0,13,7,4,6,0,12,12,0,24,7,10,0,0,18,10,3,32,3107,4445,1528,137,9220,4100,377,13701
UCL102002,24017,31079,12245,885,68230,17884,2548,88662,2351,653,1056,98,4160,4932,230,9325,1260,849,982,45,3141,2246,246,5632,3609,1501,2038,148,7303,7180,483,14959,1243,467,669,64,2438,3330,247,6012,362,153,190,18,722,701,97,1522,459,182,189,20,849,673,85,1606,12,4,6,0,23,41,0,64,2075,808,1055,98,4032,4739,432,9204,60,12,32,0,102,212,19,327,83,37,66,4,188,298,23,514,0,8,0,0,4,11,0,19,51,56,46,3,154,59,10,221,184,114,143,10,453,585,50,1083,98,60,40,5,213,280,11,504,29990,33562,15521,1146,80219,30670,3520,114410
UCL102003,4291,4370,1563,116,10340,2635,443,13419,1046,389,469,47,1949,1688,152,3786,520,322,313,15,1168,673,101,1940,1563,715,774,64,3122,2358,248,5726,308,120,203,13,640,852,89,1581,314,120,209,18,654,580,83,1316,301,49,55,6,415,317,22,751,3,0,0,0,4,0,0,5,929,288,466,31,1712,1754,192,3656,136,10,19,3,164,345,10,525,98,8,16,3,119,179,9,305,0,0,3,0,3,0,0,3,7,8,3,0,19,9,0,28,242,25,35,5,307,540,18,855,33,8,3,0,53,55,4,109,7058,5401,2843,221,15522,7333,909,23767
UCL102004,26404,33231,11998,1058,72680,18989,3638,95313,1759,659,942,100,3459,4386,419,8262,1823,981,941,92,3842,2649,674,7171,3580,1644,1888,194,7301,7035,1092,15434,876,270,471,60,1674,3434,358,5462,453,124,193,35,807,1329,225,2359,746,167,114,11,1042,1046,163,2250,41,17,16,5,79,103,14,195,2120,577,795,104,3593,5909,765,10271,24,9,4,0,33,42,9,75,48,8,20,0,78,241,11,324,6,0,3,0,9,7,0,26,47,34,34,3,125,111,23,257,123,54,63,3,244,395,36,684,82,54,28,4,163,193,41,395,32309,35549,14766,1359,83986,32527,5578,122093
UCL102005,18031,26977,8793,699,54500,11385,1644,67527,1239,577,784,69,2675,2725,235,5639,1450,1246,1103,80,3880,2445,386,6717,2684,1826,1892,152,6553,5176,625,12358,1076,633,737,87,2543,3197,495,6237,569,287,243,44,1146,1403,386,2935,1263,417,260,71,2013,1399,477,3891,3,11,10,0,22,22,3,52,2916,1349,1251,200,5719,6029,1365,13114,40,13,18,8,84,175,14,263,72,11,22,3,112,172,4,289,0,0,0,0,0,4,0,4,56,63,50,3,170,91,24,281,168,88,93,14,362,441,44,845,157,67,46,3,271,268,21,564,23969,30306,12068,1071,67413,23297,3696,94407
UCL111001,4204,4410,1829,122,10568,3538,555,14662,430,238,272,23,969,1780,159,2907,69,26,37,3,132,245,34,416,500,262,309,27,1096,2031,196,3325,28,24,21,8,80,196,18,294,11,11,0,0,18,38,0,52,7,0,0,0,4,16,0,29,0,0,0,0,0,0,0,0,44,34,22,8,106,252,26,379,3,0,3,0,7,17,0,21,11,3,0,0,12,19,0,29,0,0,0,0,0,0,0,0,3,3,9,0,17,5,0,25,23,5,7,0,37,42,0,82,12,8,7,0,25,34,3,65,4787,4720,2172,162,11833,5888,778,18506
UCL111002,6695,9099,3385,272,19454,4228,594,24276,457,171,295,28,951,1014,65,2027,82,44,76,5,201,315,23,541,536,218,366,30,1149,1330,82,2563,58,26,58,9,148,405,21,572,3,0,0,0,3,30,0,33,6,0,0,0,12,22,3,32,0,0,0,0,0,0,0,3,64,26,64,9,165,457,18,645,0,3,7,0,14,31,0,41,0,0,0,0,0,3,0,3,0,3,3,0,7,3,0,9,19,8,9,0,30,13,3,54,22,18,15,0,52,50,3,102,77,12,21,5,116,257,5,376,7397,9367,3849,320,20932,6324,704,27965
UCL112001,1522,1500,776,81,3876,1475,291,5638,118,91,68,8,284,405,58,746,18,8,12,6,44,83,12,136,131,99,78,12,331,487,72,888,69,29,32,8,132,284,38,450,8,3,0,0,16,29,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,39,32,9,148,308,41,497,0,0,0,0,3,0,0,4,0,0,0,0,4,8,0,9,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,8,3,4,3,0,8,12,0,22,14,10,4,0,27,28,0,56,1754,1652,893,100,4387,2314,404,7104
UCL112002,2594,3215,1322,83,7209,2062,381,9652,195,91,144,13,445,598,80,1124,36,22,59,4,125,174,25,327,230,117,202,19,568,775,111,1452,74,33,40,10,160,357,47,571,0,0,0,0,4,4,0,11,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,77,33,40,10,170,363,51,581,0,3,3,0,8,6,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,3,4,0,0,0,10,5,0,17,6,4,6,0,21,11,0,38,11,9,0,0,22,114,3,140,2918,3379,1571,115,7985,3329,545,11861
UCL112003,2899,2897,1209,65,7069,3005,410,10485,50,16,37,0,108,204,14,326,35,14,26,4,82,113,9,203,91,36,61,3,188,321,28,533,36,16,33,6,93,249,24,368,12,0,7,0,20,62,12,95,0,0,0,0,0,3,0,9,0,0,0,0,0,6,0,6,53,14,37,11,115,330,39,483,0,0,0,0,0,3,0,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,6,10,0,25,7,4,0,0,13,15,0,28,14,6,3,0,28,25,4,60,3065,2960,1306,82,7414,3693,478,11578
UCL112004,2552,2037,698,52,5341,1694,146,7179,117,30,30,3,177,275,17,468,89,20,21,0,128,131,7,258,201,45,51,7,304,401,17,726,33,19,12,0,65,137,4,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,23,12,0,70,140,4,210,0,3,0,0,4,27,0,35,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,4,3,0,0,7,3,0,18,7,4,3,0,14,32,4,51,20,8,4,0,30,23,3,52,2815,2115,768,59,5762,2291,170,8225
UCL112005,1733,1917,1149,82,4888,1477,188,6558,142,50,134,6,339,417,27,777,11,3,8,0,26,67,9,102,156,60,145,10,362,490,30,887,12,5,12,0,32,97,9,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,12,3,35,97,9,135,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,10,0,14,0,0,6,0,10,15,0,22,7,3,12,0,15,8,0,27,1913,1986,1319,95,5313,2083,232,7631
UCL112006,3854,3815,1731,85,9489,2437,418,12339,365,163,273,11,814,848,61,1727,304,159,180,10,645,440,76,1169,673,316,454,25,1465,1292,141,2889,316,168,306,21,814,1075,132,2017,49,33,37,3,119,158,22,291,88,22,23,3,124,151,14,301,0,0,0,0,3,5,0,5,451,218,358,23,1060,1385,173,2614,21,4,5,0,27,79,4,104,42,7,7,3,62,107,9,178,0,0,0,0,0,3,0,3,9,5,3,0,13,7,0,30,63,19,14,3,103,197,9,313,55,36,16,0,106,85,15,210,5102,4405,2571,142,12216,5394,751,18365
UCL112007,2710,3215,1593,140,7650,2096,326,10074,167,89,108,13,378,483,48,908,13,3,3,3,17,30,3,55,177,89,115,14,397,514,54,962,242,79,62,9,398,719,48,1157,0,0,0,0,3,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,79,62,9,399,730,49,1172,6,4,0,0,7,15,3,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,11,23,10,0,44,13,3,56,14,27,12,0,51,30,3,88,10,12,3,0,25,21,0,55,3164,3414,1786,167,8530,3390,433,12359
UCL112008,1948,2055,994,83,5077,1847,170,7095,121,60,70,9,261,445,21,729,13,14,21,0,56,64,9,124,139,75,95,9,315,511,31,852,33,21,21,3,72,204,14,283,4,3,3,0,11,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,34,20,24,3,83,254,15,353,4,3,0,0,3,19,0,27,5,3,0,0,9,17,0,21,0,0,0,0,0,0,0,0,10,6,3,0,14,25,0,33,12,10,4,0,25,62,0,87,11,8,0,0,16,16,0,37,2148,2163,1122,88,5518,2690,219,8421
UCL112009,2081,2188,1337,99,5709,1978,413,8097,169,54,143,5,371,652,40,1071,64,28,79,9,175,250,32,459,240,82,220,17,552,899,71,1525,76,35,84,13,207,375,48,630,11,0,14,0,29,58,6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,96,13,236,435,53,724,8,3,13,0,20,101,0,127,8,0,4,0,10,22,3,34,0,0,0,0,0,0,0,0,3,0,3,0,7,4,0,14,14,6,15,0,37,133,3,171,8,3,3,3,26,25,0,49,2431,2321,1676,126,6560,3466,547,10572
UCL112010,209,267,63,3,542,138,12,689,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,0,4,0,13,29,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,13,29,3,48,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,7,3,0,0,0,3,0,0,3,218,265,73,6,561,175,15,755
UCL112011,2700,2690,1482,106,6983,2155,265,9398,181,68,113,17,370,669,49,1093,18,7,25,0,54,136,5,192,199,71,134,21,427,803,56,1287,49,23,39,3,114,206,15,337,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,49,22,41,4,117,213,15,350,12,7,8,0,25,34,3,57,26,3,0,0,27,64,0,98,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,12,36,5,14,0,56,102,3,163,20,5,8,0,37,60,7,103,3001,2808,1685,125,7615,3340,346,11298
UCL112012,3127,3711,1592,104,8529,2698,355,11591,199,85,123,4,403,743,55,1208,21,17,18,4,59,123,13,198,219,103,142,9,465,867,72,1402,64,23,37,3,126,351,19,488,4,4,0,0,6,27,3,39,6,0,0,0,6,8,0,17,0,0,0,0,0,3,0,3,77,24,37,3,142,385,20,545,0,0,0,0,0,14,0,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,9,0,3,0,0,8,20,0,33,12,15,3,0,28,90,3,121,3429,3848,1777,113,9171,4060,451,13690
UCL112013,4105,3592,1320,80,9093,2310,328,11728,616,145,266,20,1056,1098,93,2246,264,101,146,12,522,319,36,879,886,251,414,31,1576,1423,132,3125,256,51,133,13,456,865,66,1391,99,23,66,9,199,286,39,524,308,53,70,3,437,465,71,973,0,0,0,0,0,0,0,0,661,127,276,21,1088,1620,172,2881,5,0,0,0,7,15,0,25,49,3,11,0,63,126,8,200,4,0,0,0,4,3,0,5,8,5,3,0,16,11,0,21,67,10,14,0,93,158,10,259,23,16,11,0,45,30,4,82,5741,3990,2037,133,11895,5537,642,18070
UCL112014,2868,2792,1604,122,7384,2488,352,10220,196,69,144,13,421,883,64,1368,55,15,34,0,110,210,27,345,255,86,175,17,532,1089,92,1715,36,23,34,3,102,207,14,319,4,3,3,0,6,11,0,24,4,0,0,0,8,13,0,13,0,0,0,0,0,0,0,0,42,27,36,4,111,233,14,357,0,0,0,0,0,9,0,9,12,3,0,0,9,17,0,25,0,0,0,0,0,0,0,0,52,35,113,8,204,58,10,274,62,38,113,8,215,82,10,308,19,12,17,0,49,25,7,78,3236,2957,1946,158,8296,3914,473,12685
