UCL_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL112003,11,245,1763,5021,2577,545,126,187,10485,12,88,106,99,8,4,0,12,326,0,14,69,114,3,0,0,6,203,12,108,173,211,8,6,0,15,533,11,141,148,42,5,0,0,21,368,0,19,53,14,0,0,0,4,95,0,0,9,0,0,0,0,0,9,0,3,0,0,0,0,0,0,6,13,165,215,54,5,0,0,27,483,0,9,6,10,3,0,0,0,28,0,5,10,14,6,5,6,7,60,38,530,2165,5306,2602,557,137,250,11578
UCL112004,3,86,695,2855,2664,614,124,144,7179,0,21,288,124,15,0,0,14,468,0,0,87,144,18,0,0,3,258,0,22,373,271,37,4,0,16,726,4,54,110,25,5,0,0,14,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,110,26,5,0,0,11,210,13,14,7,6,3,0,0,0,51,0,0,16,17,9,0,4,3,52,22,179,1206,3169,2719,617,127,181,8225
UCL112005,4,81,988,3418,1657,219,33,155,6558,3,64,405,241,4,3,0,67,777,0,50,31,21,6,0,0,7,102,3,112,431,256,9,3,0,72,887,0,66,44,17,0,0,0,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,46,17,0,0,0,7,135,0,3,10,7,0,0,0,3,22,0,5,13,8,0,0,0,3,27,13,270,1487,3705,1667,219,33,240,7631
UCL112006,19,100,936,6083,4108,745,139,212,12339,10,91,945,548,51,4,0,77,1727,4,77,380,575,85,7,0,36,1169,11,168,1327,1117,137,10,3,117,2889,23,276,1213,390,31,4,0,86,2017,3,41,193,38,0,0,0,12,291,3,50,139,87,10,3,0,6,301,0,3,0,0,0,0,0,3,5,28,369,1540,519,42,4,0,110,2614,26,114,112,25,13,0,0,26,313,6,23,60,62,16,5,3,31,210,94,771,3977,7808,4312,770,145,492,18365
UCL112007,9,44,645,4488,4065,528,79,223,10074,0,57,600,184,37,0,0,22,908,0,3,28,16,0,0,0,4,55,0,64,630,202,39,0,0,30,962,15,234,757,88,14,0,0,51,1157,0,4,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,238,766,88,14,0,0,51,1172,7,11,15,14,29,6,0,4,88,0,6,20,14,4,0,5,4,55,32,376,2065,4803,4150,535,79,315,12359
UCL112008,14,69,845,3504,2140,286,78,161,7095,3,97,311,244,30,9,0,37,729,0,0,70,40,9,3,3,4,124,3,102,377,283,36,9,3,40,852,0,75,180,15,3,0,0,11,283,0,26,37,0,0,0,0,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,104,218,14,10,0,0,9,353,12,28,24,11,3,0,0,12,87,0,6,6,7,4,0,3,3,37,28,307,1469,3824,2188,296,79,231,8421
UCL112009,11,60,818,4347,2163,431,88,191,8097,9,121,632,247,21,0,0,36,1071,7,39,205,169,10,3,0,19,459,17,162,836,413,29,5,3,52,1525,22,124,314,104,15,3,6,45,630,0,20,67,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,144,385,104,14,3,6,49,724,25,78,46,11,0,0,0,14,171,0,8,16,16,7,0,0,6,49,75,450,2091,4890,2216,445,100,310,10572
UCL112010,0,7,47,373,202,36,3,19,689,0,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,0,12,33,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,0,0,0,0,48,0,0,0,3,0,0,0,3,7,0,0,3,0,0,0,0,0,3,0,21,90,378,206,36,4,19,755
UCL112011,5,86,730,4364,3414,497,84,214,9398,5,133,641,249,24,4,0,43,1093,3,71,76,34,0,0,0,10,192,5,208,709,284,22,4,0,56,1287,0,74,164,71,10,3,0,19,337,0,3,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,82,172,72,10,3,0,19,350,9,37,88,9,7,0,0,8,163,6,27,40,17,3,0,0,10,103,32,439,1744,4736,3458,499,85,303,11298
UCL112012,15,77,963,5537,4051,584,85,272,11591,9,144,726,262,11,0,0,46,1208,0,76,59,45,6,0,0,3,198,12,223,788,305,19,0,0,53,1402,6,152,253,45,5,0,4,23,488,0,4,33,0,0,0,0,0,39,0,0,11,7,0,0,0,0,17,0,0,0,0,0,0,0,0,3,6,153,300,56,5,0,4,26,545,7,6,7,5,0,0,0,6,33,0,13,32,15,12,0,5,58,121,35,472,2080,5914,4093,593,98,412,13690
