UCL_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL112003,9,78,271,409,389,439,206,50,21,1879,3,38,160,297,322,284,126,29,6,1258,0,16,138,267,335,292,87,16,3,1145,0,3,102,189,271,217,53,5,0,850,0,5,88,266,383,318,56,21,5,1143,0,7,22,102,133,118,34,19,8,441,140,90,177,246,255,371,375,263,169,2077,1688,1311,2534,3532,4232,4812,3887,1729,632,24358
UCL112004,0,52,185,211,263,250,258,112,40,1377,0,16,128,135,197,190,129,56,19,881,0,7,97,143,196,171,100,52,15,783,0,4,51,124,162,149,66,24,13,596,0,3,60,224,238,210,86,43,15,884,0,4,21,133,194,175,122,33,25,712,136,70,107,163,252,213,263,238,112,1554,1335,775,1516,2125,2725,2917,3483,2231,827,17929
UCL112005,3,82,255,252,250,190,53,28,4,1111,0,30,162,144,125,106,22,3,0,593,0,19,101,119,110,98,10,0,0,453,0,10,87,94,91,59,7,3,0,351,3,8,108,175,158,103,20,3,5,581,0,5,36,55,47,40,19,10,5,213,136,234,547,402,303,250,237,206,158,2477,1303,1491,2932,2627,2577,2594,2087,1230,553,17401
UCL112006,8,144,541,622,685,514,263,78,49,2907,3,63,386,404,434,343,138,30,13,1822,0,21,235,287,355,280,72,21,7,1280,0,5,144,241,257,214,46,15,7,933,0,4,138,284,302,224,47,21,6,1027,0,5,52,138,123,115,55,25,11,520,280,242,437,372,508,570,534,573,570,4085,2876,2615,5153,5413,6165,6612,5615,3443,1627,39520
UCL112007,7,191,656,484,506,381,152,48,15,2449,3,71,443,345,292,243,56,16,12,1483,0,36,295,294,306,207,46,10,6,1208,0,19,184,254,200,166,33,11,0,865,0,9,192,275,311,197,31,6,3,1022,4,3,60,86,120,79,38,18,7,416,233,218,462,346,349,338,329,272,146,2694,2135,2299,5099,4111,4113,3874,2804,1862,793,27090
UCL112008,4,98,387,282,298,277,93,29,15,1488,0,49,200,200,219,171,56,4,6,906,0,15,161,210,173,161,38,12,8,769,0,9,93,153,160,131,14,0,3,564,0,10,99,172,198,128,24,8,0,636,0,0,18,36,42,43,22,9,3,183,150,193,418,348,299,224,272,289,211,2406,1332,1386,2965,2696,2896,2760,2280,1378,667,18355
UCL112009,3,96,351,348,376,335,101,47,22,1677,4,26,192,211,220,190,40,8,4,907,0,8,112,157,176,130,28,12,3,630,0,3,52,102,126,103,14,8,0,402,0,5,54,114,120,107,24,10,3,441,0,0,11,33,40,42,21,5,10,166,185,239,325,250,295,350,257,211,159,2268,1724,1922,3267,3196,3577,3708,2656,1635,946,22629
UCL112010,0,6,50,30,28,21,5,3,0,150,0,5,19,25,22,11,4,3,0,96,0,0,19,23,15,9,4,0,0,76,0,0,7,23,18,5,3,5,0,59,0,0,7,17,14,16,3,0,0,59,0,0,5,16,0,5,7,0,0,40,22,10,23,14,16,19,22,13,0,145,123,110,280,269,296,264,207,86,20,1659
UCL112011,8,106,430,325,345,296,102,48,21,1693,0,57,297,230,225,161,53,21,5,1038,0,14,209,203,165,143,32,6,10,786,0,5,108,159,138,120,14,3,0,554,0,4,86,174,168,99,21,3,3,558,4,7,35,50,53,47,13,15,4,218,233,267,546,479,419,383,396,344,264,3328,1776,1962,4020,3515,3544,3828,3387,1960,851,24849
UCL112012,8,179,654,525,480,395,156,51,12,2472,3,95,469,368,339,242,80,21,7,1629,0,47,362,375,279,248,60,21,5,1396,0,18,227,295,299,173,38,17,4,1066,0,14,288,427,357,210,46,11,4,1356,0,5,51,166,153,97,44,14,5,539,256,174,378,374,385,328,330,302,163,2693,2365,2179,5150,4738,4484,4117,3263,2070,892,29257
UCL112013,10,117,482,550,582,471,300,132,54,2698,0,54,332,377,386,339,146,34,13,1688,0,20,240,339,387,249,74,19,12,1336,0,5,127,266,318,191,50,20,7,990,0,4,146,335,349,240,57,22,15,1166,3,0,49,168,190,140,70,27,10,659,203,149,327,281,383,435,646,620,602,3646,2509,1865,4182,4760,5596,5932,6419,4147,1965,37370
UCL112014,12,144,607,454,448,405,158,53,32,2315,0,69,362,270,261,234,58,14,3,1270,0,20,219,218,250,182,39,11,3,942,0,5,111,155,174,154,21,3,6,640,0,4,128,210,229,166,24,22,0,781,3,4,49,56,113,82,25,23,12,373,292,237,434,376,353,402,355,305,178,2922,2085,2170,4642,3804,4038,4030,3152,2133,984,27033
UCL112015,13,283,921,731,701,645,223,79,24,3632,3,103,644,507,502,422,123,33,7,2336,0,47,448,449,428,277,72,20,5,1751,0,9,247,390,352,261,49,22,3,1334,0,9,222,450,446,294,72,13,7,1513,7,14,55,148,200,157,61,22,12,668,265,264,423,378,383,418,423,325,177,3052,3170,3477,6619,5885,5819,5663,4135,2480,1170,38413
UCL113001,0,24,154,183,200,210,119,57,26,971,0,8,97,103,136,127,42,24,8,539,0,3,47,86,95,90,39,17,15,394,0,0,39,79,69,82,28,12,0,312,0,0,42,88,75,81,41,13,6,352,0,3,10,29,44,46,19,16,11,183,76,56,122,132,173,222,252,265,344,1655,733,673,1427,1635,2041,2537,2487,1714,1036,14303
UCL113002,3,12,75,97,102,129,82,28,10,546,0,13,44,50,68,82,47,18,8,331,0,3,12,30,45,51,16,3,3,168,0,0,15,26,35,37,13,3,5,129,0,0,12,23,33,49,10,7,7,146,0,0,10,21,13,20,13,11,8,90,68,40,88,97,138,153,250,221,194,1242,541,423,874,1029,1297,1733,1969,1183,546,9590
UCL113003,3,81,214,181,208,193,60,25,5,973,0,42,151,114,165,147,20,3,3,652,0,22,130,101,149,99,23,0,0,535,0,18,107,113,118,107,12,3,0,469,0,4,126,143,177,129,15,7,3,604,7,6,17,40,39,41,9,10,4,173,103,106,229,189,232,258,277,248,223,1863,944,956,2096,1850,2333,2645,2039,1220,593,14672
UCL113004,0,25,72,82,81,63,37,13,3,385,0,8,78,52,49,37,14,10,0,244,0,0,36,51,46,23,7,0,0,155,0,0,22,30,48,18,9,0,0,129,0,0,21,46,34,20,5,0,0,131,0,0,4,11,31,19,12,0,0,82,29,14,47,36,36,70,106,101,33,474,288,206,613,568,623,701,953,524,160,4636
UCL113005,0,33,123,137,197,213,142,65,35,928,3,19,73,88,104,112,82,20,11,507,0,3,51,72,97,94,42,13,14,377,0,0,29,57,71,77,16,4,5,259,0,0,27,61,72,94,30,14,7,299,0,3,9,30,42,49,32,20,7,192,123,61,124,140,172,249,395,423,367,2065,953,660,1406,1642,2128,3006,3800,2539,1224,17363
UCL113006,3,35,154,168,180,152,67,40,21,819,0,16,91,116,92,67,23,8,0,420,0,8,66,91,86,67,21,9,3,339,0,3,47,68,79,63,12,0,0,265,0,3,33,68,71,67,15,0,4,257,0,0,12,33,27,32,12,7,0,117,137,108,244,214,196,172,208,217,185,1683,1051,886,1822,1902,2026,2127,1862,1303,662,13634
UCL113007,8,89,351,227,239,228,77,20,17,1256,0,29,207,172,174,130,41,13,3,762,0,11,125,147,126,91,40,11,4,548,0,4,69,90,94,68,21,9,0,357,3,6,75,120,125,72,24,8,11,434,0,4,17,54,58,50,15,11,3,214,159,140,301,244,232,257,232,249,247,2066,1149,1183,2797,2292,2295,2091,1468,1118,588,14988
UCL113008,0,23,100,77,91,71,35,5,10,417,0,11,35,42,52,34,9,4,0,175,0,0,19,29,22,29,11,0,3,114,0,0,11,26,33,24,3,0,0,85,0,0,10,23,22,19,3,0,0,80,0,3,14,3,6,12,3,4,0,51,132,160,368,241,219,222,168,168,183,1860,659,663,1296,1116,1204,1360,1219,674,358,8556
UCL113009,0,61,170,157,180,223,119,30,10,948,3,31,147,105,137,157,72,16,3,664,0,5,104,131,161,132,42,18,3,596,0,3,68,100,131,117,20,8,0,455,0,0,76,165,213,177,23,19,3,674,0,0,18,93,95,68,26,4,4,306,50,39,60,82,100,111,118,121,89,782,765,690,1215,1480,1769,2148,1773,955,435,11229
UCL113010,3,69,265,204,217,148,47,9,5,963,0,22,177,129,144,102,14,0,0,596,0,7,103,119,91,78,12,0,0,408,0,11,63,80,71,62,10,0,0,289,0,9,92,116,106,62,6,0,0,390,0,3,17,46,20,9,4,3,0,104,101,89,168,136,155,159,198,142,75,1222,1088,1069,2210,2022,2066,2137,1683,734,323,13331
UCL113011,5,51,136,100,124,125,56,25,8,625,0,21,91,76,114,75,12,7,0,392,0,13,55,51,64,68,14,4,0,271,0,4,34,33,58,39,6,6,0,187,0,12,69,84,103,69,9,0,0,352,0,0,22,27,42,33,16,4,3,152,74,77,131,104,119,127,182,138,68,1020,651,643,1299,1209,1416,1537,1506,928,366,9566
UCL113012,5,61,256,199,245,234,113,47,18,1178,0,27,173,136,158,157,38,11,6,712,0,8,123,147,153,115,34,8,9,593,0,3,56,99,134,82,32,3,0,408,0,5,73,111,151,124,25,6,0,493,0,0,20,39,60,48,16,9,4,189,70,64,112,106,131,193,210,228,251,1364,1121,1098,1911,1925,2266,2474,2346,1688,792,15621
UCL113013,0,56,147,114,133,87,37,28,7,605,0,19,109,81,65,61,19,3,5,363,0,14,75,78,73,41,14,9,0,305,0,6,66,84,63,44,9,3,3,276,0,15,156,151,110,64,9,3,0,515,0,4,75,75,48,24,14,8,4,252,92,52,138,123,133,134,120,92,33,924,613,613,1550,1350,1387,1136,953,651,285,8533
UCL113014,6,45,124,95,105,79,32,12,3,500,0,35,109,88,87,50,15,4,0,380,0,9,89,74,85,57,14,0,0,331,0,6,79,56,81,49,4,0,0,291,0,12,132,165,215,109,13,0,0,642,0,0,35,45,63,30,8,0,0,185,73,50,125,111,116,106,99,71,42,782,647,634,1489,1280,1457,1195,802,414,139,8057
UCL113015,10,32,135,178,178,182,154,40,15,920,0,8,113,109,126,103,54,13,11,538,0,4,58,124,101,90,41,12,4,439,0,3,33,76,97,57,29,6,3,310,0,3,38,108,139,87,33,12,3,421,0,0,12,52,61,60,41,17,5,245,60,42,88,100,128,127,244,225,228,1246,715,592,1146,1498,1738,1982,2352,1242,530,11800
UCL113016,3,68,200,202,190,165,47,12,8,891,0,24,102,89,124,99,14,6,0,456,0,7,84,94,107,76,16,3,0,392,0,3,38,58,71,49,6,0,0,226,0,0,26,63,71,49,5,4,3,224,0,3,8,20,22,20,4,5,3,87,74,74,158,130,166,149,131,82,36,1005,842,946,1681,1562,1705,1669,1172,664,268,10513
UCL113017,5,76,177,125,175,96,30,17,5,705,0,43,123,114,112,85,13,6,0,499,0,23,140,96,128,67,8,6,0,471,0,30,109,90,113,70,9,0,0,419,0,20,209,269,234,138,15,4,0,888,3,0,60,105,99,75,8,0,0,358,79,50,152,128,129,108,88,65,51,840,900,874,1862,1761,1855,1431,878,551,276,10395
UCL113018,0,23,86,103,111,86,58,12,0,482,0,9,59,59,70,52,23,0,0,271,0,3,30,64,54,39,9,0,0,200,0,0,16,38,45,22,5,3,0,128,0,0,4,33,40,27,3,3,0,115,0,0,7,6,10,8,3,4,0,45,56,53,59,56,114,108,158,142,86,817,583,428,828,1010,1224,1479,1673,951,258,8434
UCL113019,3,44,174,150,185,180,69,42,20,862,0,19,100,99,107,88,35,14,3,460,0,3,71,55,76,76,22,3,0,307,0,4,22,45,48,54,6,3,3,192,0,5,24,40,42,45,5,3,0,152,0,3,7,22,31,34,23,6,3,125,136,81,126,109,172,203,255,250,240,1573,1068,979,1757,1765,2131,2398,2305,1598,816,14819
UCL113020,0,15,118,136,128,161,115,52,11,731,0,5,68,75,85,76,42,11,4,374,0,3,37,55,64,59,20,14,3,253,0,0,18,38,54,38,9,10,3,175,0,4,15,63,41,62,19,13,3,215,0,0,14,23,11,22,20,11,8,110,79,41,75,86,120,154,221,166,74,1019,648,418,1006,1267,1547,2142,2216,1366,446,11059
UCL114001,0,8,36,76,74,71,37,20,10,327,0,3,27,45,39,39,17,5,6,180,0,0,13,34,29,28,10,5,3,134,0,0,11,21,36,25,7,3,0,106,0,0,11,30,23,33,10,0,3,109,0,0,3,14,12,3,5,3,0,41,18,7,27,40,32,49,72,65,81,385,272,149,347,565,575,702,687,538,354,4197
UCL114002,0,21,30,62,75,47,22,14,3,278,0,8,36,39,58,38,12,0,0,187,0,0,21,38,42,39,5,0,0,149,0,0,8,28,40,26,8,0,0,110,0,0,7,39,66,30,7,0,0,150,0,3,5,25,16,23,6,0,0,74,32,16,28,27,47,77,139,85,27,483,365,250,374,554,718,738,739,379,88,4204
UCL114003,0,15,132,125,124,122,52,23,5,602,0,5,85,71,65,53,24,12,4,326,0,0,53,72,57,64,27,6,0,289,0,0,24,52,51,50,21,5,0,208,0,0,34,57,75,64,21,6,0,260,0,3,30,62,52,55,39,7,0,238,85,98,275,227,236,243,150,63,50,1428,416,476,1487,1345,1278,1483,894,321,223,7928
UCL114004,0,6,33,44,72,69,55,25,11,321,0,3,28,34,50,43,18,5,0,181,0,0,10,15,39,40,11,7,4,124,0,0,8,12,24,28,3,4,5,77,0,0,11,28,15,22,9,7,5,100,0,3,3,5,14,10,8,14,10,66,39,12,42,35,59,83,193,177,155,799,274,159,404,489,833,1251,1678,1177,479,6747
UCL114005,4,27,115,100,107,91,27,28,12,505,0,8,55,54,37,32,7,6,0,206,0,0,12,30,25,25,14,0,0,111,0,0,11,17,21,27,5,0,0,77,0,0,9,23,13,14,9,0,0,65,0,0,5,4,13,5,10,3,4,44,99,49,80,101,126,101,124,122,81,893,642,578,1051,976,1139,1224,1159,831,380,7980
UCL114006,0,12,82,61,90,68,35,15,8,382,0,8,48,44,63,40,21,3,5,234,0,9,38,32,33,50,15,9,4,183,0,0,19,26,44,32,11,3,3,134,0,0,26,31,50,31,4,3,3,149,0,0,8,8,29,16,13,0,3,77,54,32,128,114,109,91,103,92,71,801,380,343,740,702,878,855,745,510,235,5390
UCL114007,4,17,59,58,49,62,44,19,7,314,0,9,34,33,43,28,16,0,0,163,0,0,22,20,29,21,0,3,0,101,0,0,10,14,29,17,4,3,0,76,0,0,15,24,27,17,3,4,0,91,0,0,4,16,5,13,4,7,0,46,36,19,46,36,51,67,82,89,78,500,266,239,511,561,606,840,852,608,267,4744
UCL114008,0,21,71,60,78,56,37,16,5,340,0,11,40,37,68,57,22,4,0,235,0,3,22,36,52,30,6,0,0,155,0,0,6,23,28,24,3,0,0,90,0,0,7,28,33,25,7,0,0,97,0,0,4,4,13,11,0,0,0,34,45,26,30,37,63,71,80,109,81,533,317,262,440,470,683,790,767,530,217,4473
UCL114009,0,30,81,75,88,86,43,24,3,429,0,10,44,47,51,49,16,4,0,226,0,5,31,36,41,43,6,4,3,166,0,0,12,24,28,32,8,0,0,111,0,0,23,26,30,17,10,0,0,110,0,5,4,16,13,20,9,0,0,61,65,45,80,70,93,94,128,130,70,777,486,458,792,820,996,1084,1036,726,372,6769
UCL114010,0,30,72,89,100,86,25,14,6,429,0,6,41,59,51,58,19,0,3,241,0,0,41,47,37,39,13,3,0,187,0,3,8,35,36,23,3,0,0,109,0,0,10,40,37,34,14,6,3,151,0,0,12,17,18,16,6,7,0,72,59,47,66,66,85,130,142,103,54,753,375,404,697,747,807,1010,796,581,271,5682
UCL114011,0,37,94,69,81,76,38,9,11,419,0,13,63,45,52,35,9,4,0,220,0,8,46,51,37,32,0,8,0,188,0,0,19,28,25,22,3,0,0,107,0,0,24,40,37,27,7,4,0,137,0,0,5,12,14,10,8,6,3,59,65,46,81,68,85,90,118,95,22,668,487,385,763,709,833,851,840,563,175,5602
UCL114012,0,8,48,46,37,64,21,7,3,234,0,11,27,20,28,28,13,5,0,127,0,3,9,31,13,17,11,0,0,81,0,0,7,15,15,13,0,0,3,49,0,0,9,19,14,10,4,0,0,52,0,0,3,9,4,4,0,0,0,25,43,34,60,55,52,69,102,73,65,547,277,270,531,500,522,738,706,426,223,4189
UCL114013,3,32,105,87,84,91,29,14,6,446,0,24,93,51,46,57,24,8,0,304,0,10,74,48,44,38,4,0,4,233,0,15,56,42,31,28,3,0,0,182,0,13,122,64,66,37,10,8,0,317,0,3,36,41,30,23,6,6,4,143,51,54,85,81,93,77,91,104,47,669,436,465,1139,835,911,904,788,615,283,6372
UCL114014,0,31,89,100,100,74,17,6,3,417,0,18,83,95,100,58,10,0,0,369,0,5,83,112,78,46,10,0,0,332,0,6,45,86,77,42,7,0,0,256,0,3,73,121,117,50,3,0,0,371,0,3,18,43,39,18,4,0,0,118,29,18,28,40,47,52,44,10,5,279,422,360,695,999,920,677,376,156,60,4653
UCL114015,0,35,137,112,112,80,37,10,10,531,0,18,59,52,41,52,17,6,3,245,0,3,34,50,42,26,6,0,3,171,0,3,21,28,34,33,7,3,3,124,0,3,17,30,32,20,3,0,0,107,3,0,4,4,6,14,7,9,0,49,77,56,89,83,86,117,130,106,75,826,588,629,1131,1001,1047,1055,1065,756,307,7580
UCL114016,4,46,101,84,108,101,34,13,0,489,5,19,75,54,74,43,15,3,0,287,3,3,45,51,53,38,5,0,0,211,0,3,26,43,48,25,3,0,4,154,0,0,22,47,43,25,7,0,0,143,0,0,3,6,13,15,3,0,0,42,67,40,71,66,93,113,81,98,57,679,468,398,815,750,898,851,666,513,204,5555
UCL114017,3,11,62,108,100,88,49,8,5,440,0,0,63,63,60,57,21,3,0,271,0,0,47,81,79,54,18,4,3,284,0,0,25,58,63,54,16,9,0,220,0,3,26,62,103,55,12,0,3,262,0,0,13,48,48,40,16,4,4,188,37,18,39,63,58,68,51,16,11,367,408,224,602,873,938,959,580,202,89,4870
UCL114018,0,34,148,170,138,88,29,0,0,617,0,25,118,131,139,61,24,6,0,498,0,16,100,131,122,54,11,3,0,434,0,0,53,92,72,45,10,3,0,270,0,0,54,121,106,67,4,0,0,356,0,0,3,42,41,23,11,0,0,117,65,38,105,121,70,78,52,36,3,558,609,483,1120,1381,1253,980,737,253,40,6852
UCL114019,0,9,62,70,109,99,92,23,12,479,0,7,39,49,70,69,37,9,9,287,0,3,36,35,59,62,24,5,0,227,0,3,16,35,36,40,13,8,0,150,0,0,11,33,35,41,15,8,3,150,0,3,3,14,25,25,18,0,0,89,46,23,46,41,67,89,106,123,74,624,336,303,554,634,905,1283,1417,829,327,6592
UCL114020,3,45,129,88,95,84,36,12,0,501,0,16,85,62,77,59,20,5,0,328,0,10,60,50,43,41,18,3,0,222,0,3,27,34,31,30,7,4,0,127,0,3,34,41,35,20,14,10,4,169,0,0,12,26,22,23,14,7,0,104,98,64,140,133,155,130,154,116,46,1039,388,464,978,908,951,858,729,420,131,5826
UCL114021,0,35,127,104,110,99,54,23,3,551,0,10,62,61,79,53,26,0,0,296,0,3,45,52,71,54,20,4,4,263,0,3,37,40,49,38,7,3,0,189,0,3,18,74,53,66,12,3,3,229,0,0,12,12,32,23,12,3,0,93,104,22,72,84,68,74,84,55,19,590,606,350,854,882,1002,1028,984,536,135,6380
UCL114022,3,23,101,114,148,109,44,18,4,564,0,8,42,71,71,45,10,0,0,247,0,3,25,42,37,41,4,0,3,165,0,0,14,42,31,19,5,3,0,113,0,0,16,25,31,19,3,3,0,100,4,4,0,14,12,11,4,7,5,56,73,30,68,61,108,111,94,134,145,835,560,391,845,1017,1236,1293,1046,695,422,7501
