GCCSA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
9OTER,46,44,162,217,236,200,81,12,0,999,48,15,49,53,47,92,102,65,23,501,11,9,28,18,47,48,24,14,3,199,107,63,240,290,332,340,210,91,29,1702,18,67,222,309,355,300,118,9,0,1397,41,28,79,98,123,110,66,17,4,563,3,9,25,22,16,28,11,0,0,121,9,6,7,12,14,12,3,3,0,69,70,114,333,442,504,443,201,29,4,2151,5,0,5,9,3,3,0,0,0,34,0,0,4,4,0,11,0,0,0,20,9,0,7,13,6,19,0,0,0,53,79,113,344,453,515,460,203,29,4,2200,108,55,156,137,111,152,205,130,42,1087,24,30,74,43,88,87,57,24,6,430,205,199,566,633,707,701,463,182,51,3714
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
99499,0,4,0,4,3,0,0,0,0,11,0,0,0,3,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4,0,3,3,3,3,0,0,18,0,0,0,3,3,5,9,0,0,22,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
8ACTE,6865,11274,26901,24102,21323,12418,2467,217,37,105599,4775,3393,4842,3960,3457,8003,12135,6977,3052,50604,484,858,1892,1365,1173,1142,896,723,751,9280,12124,15525,33639,29423,25955,21558,15503,7913,3839,165485,2011,10832,38433,34555,31695,16735,2502,148,17,136935,7974,8872,10670,11136,8380,6659,2889,381,32,57001,409,666,2752,1862,1269,1131,329,39,10,8471,331,532,721,573,455,253,98,21,17,3014,10736,20908,52577,48137,41795,24780,5821,594,78,205419,377,798,1278,1007,774,541,73,7,0,4863,1960,1120,769,511,359,407,156,22,6,5305,2336,1914,2050,1527,1134,947,230,24,4,10167,13069,22827,54629,49660,42928,25728,6050,622,81,215586,10442,6762,7424,5721,5476,13529,21641,12430,5001,88427,962,1762,3959,2919,2511,2171,1737,1300,1073,18398,24468,31354,66008,58298,50915,41426,29428,14352,6155,322415
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,7,22,28,23,11,18,0,0,0,115,10,7,11,8,10,10,8,4,3,66,3,8,3,9,5,7,0,0,0,32,20,42,44,40,26,34,9,4,3,209,3,21,38,28,18,15,0,0,0,126,9,19,7,9,7,10,3,0,0,62,0,3,7,6,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,10,39,57,41,28,26,3,0,0,202,3,3,11,4,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,8,6,15,11,5,3,0,0,0,44,15,45,71,50,34,32,0,0,0,248,15,21,21,28,21,22,19,4,3,153,9,9,12,30,18,21,3,0,0,107,35,79,108,107,68,78,24,8,3,506
7RNTE,830,1468,4265,3592,3635,2369,489,49,5,16695,1752,1409,2606,1901,1561,1402,1112,510,152,12404,444,483,1118,796,809,601,256,84,29,4622,3023,3357,7988,6283,6009,4366,1852,639,192,33722,504,1812,5552,4603,5030,3544,675,52,7,21784,666,512,1453,1446,1196,907,354,45,5,6579,51,83,360,292,266,250,53,6,0,1375,83,130,273,190,177,112,39,8,0,1014,1306,2545,7640,6536,6668,4817,1125,115,9,30752,393,582,863,638,503,182,26,3,0,3200,111,129,262,191,140,87,18,0,0,939,506,714,1131,831,646,269,41,3,0,4139,1806,3256,8765,7361,7319,5086,1164,116,11,34892,3693,2577,4700,3480,2887,2465,2234,958,242,23237,939,1069,2217,1583,1685,1251,574,191,54,9572,6446,6905,15691,12427,11887,8810,3969,1266,310,67701
7GDAR,1834,3245,9241,7752,6877,4182,863,55,6,34055,1418,618,2151,1594,1133,1700,2156,1036,303,12102,306,492,1417,972,856,729,369,134,48,5321,3560,4355,12810,10315,8858,6612,3393,1226,356,51481,968,4540,14836,12513,11165,6595,1203,73,9,51904,2018,1688,3387,2903,2259,1781,695,80,6,14809,100,281,918,625,568,463,106,11,0,3080,116,223,441,279,281,160,47,11,3,1568,3203,6740,19584,16319,14271,9000,2053,172,21,71357,207,340,541,441,425,266,44,0,0,2260,344,162,245,175,134,101,34,0,0,1204,552,503,787,616,555,368,80,0,0,3466,3752,7237,20373,16936,14828,9365,2128,171,21,74817,3155,1199,3126,2419,2009,2995,4423,2014,521,21855,690,1117,3360,2430,2114,1685,857,280,85,12625,7600,9555,26858,21789,18951,14042,7413,2470,626,109301
79799,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,0,8,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,8,9,9,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,0,0,0,0,25,0,4,12,12,3,0,0,0,0,29,0,0,4,5,0,0,0,0,0,17,0,3,30,19,9,3,0,3,0,72
79499,7,36,88,47,46,50,3,0,0,280,4,18,59,59,79,118,83,6,0,427,0,32,89,73,71,46,17,5,0,338,17,85,239,180,203,212,105,10,0,1043,15,55,107,70,81,61,12,0,0,399,0,10,26,10,23,23,0,0,0,103,0,0,24,13,6,6,0,0,0,52,0,4,9,3,0,3,0,0,0,18,18,75,169,97,111,89,11,0,0,574,0,7,9,14,12,8,0,0,0,56,0,0,8,5,7,0,0,0,0,24,0,5,21,18,16,16,0,0,0,76,23,78,182,117,129,108,14,0,0,647,8,39,89,122,158,236,210,27,0,889,3,68,189,148,175,97,54,9,0,745,32,183,457,396,461,438,278,38,0,2281
