GCCSA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
5GPER,773386,800146,1573536,363315,201826,565148,99927,206352,306272,24161,24620,48775,44578,36904,81482,531981,469701,1001684,188907,280385,469289,8.4,7.9,8.1,68.8,58.7,63.7,63,54.1,58.5,36944,33532,70476,11808,21116,32920,112861,144603,257460,64914,81829,146738,177409,78999,256410,6766,11541,18307,11027,20149,31179,195204,110692,305893,715593,735620,1451214,151480,156111,307594,443462,458608,902063,387426,398538,785966
59799,408,26,434,286,17,301,20,3,23,15,0,18,0,0,0,322,17,341,11,6,20,0,0,0,78.9,65.4,78.6,78.7,76.9,78.8,9,0,9,0,0,0,31,3,31,52,4,55,130,4,134,3,0,5,13,0,13,139,4,145,259,11,272,73,12,84,143,9,147,187,18,206
59499,3336,2220,5559,776,364,1143,222,206,431,125,74,195,303,143,444,1428,792,2215,962,882,1845,21.2,18.1,20,42.8,35.7,39.8,33.7,29,31.8,62,54,117,16,32,48,225,302,522,151,155,308,748,217,969,28,37,65,51,63,114,829,317,1147,814,434,1248,1691,1346,3036,493,234,725,1945,1495,3440
4RSAU,155949,155286,311230,61887,29256,91144,17441,39557,57000,5075,5091,10166,6488,4646,11133,90894,78550,169447,54020,66177,120195,7.1,5.9,6.6,58.3,50.6,54.4,54.1,47.6,50.9,1528,1866,3392,1080,2411,3484,7772,14413,22186,7913,13277,21190,40298,19435,59736,1994,3316,5316,2902,3757,6656,45202,26509,71708,149177,147741,296920,21944,22938,44879,107249,104582,211829,56246,58839,115090
4GADE,517997,551769,1069769,218451,125112,343558,70829,142343,213169,13367,16960,30332,27472,21578,49051,330113,305996,636107,161755,218993,380752,8.3,7.1,7.7,63.7,55.5,59.5,58.4,51.5,54.9,24007,23540,47543,7889,13726,21617,68116,89866,157982,40965,52798,93765,113267,58233,171499,5680,8608,14287,8317,12202,20520,127265,79042,206310,495955,520058,1016016,85275,89735,175004,341319,356926,698246,217712,231847,449563
49799,6,0,3,6,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,4,4,0,3
49499,1627,1016,2648,266,131,404,139,107,250,60,27,82,199,106,301,669,367,1038,587,454,1040,29.7,28.9,29,41.1,36.1,39.2,28.6,26.1,27.8,38,26,59,7,17,24,99,111,219,65,82,145,305,102,402,16,11,25,22,28,47,345,137,482,366,183,552,899,699,1592,251,122,372,958,720,1680
3RQLD,957411,994854,1952257,409925,239777,649705,111621,239832,351455,28633,29731,58366,48396,40632,89036,598581,549977,1148556,276401,368032,644430,8.1,7.4,7.8,62.5,55.3,58.8,57.5,51.2,54.3,21134,22978,44113,9185,18572,27763,76604,125118,201725,64227,98453,162678,264303,122731,387034,9710,16265,25981,15259,23362,38621,289272,162355,451634,866942,886345,1753287,196690,211725,408424,540888,544261,1085150,475601,509432,985031
3GBRI,889380,937019,1826402,420744,260960,681706,113439,225863,339295,23839,28938,52783,45182,40460,85640,603202,556220,1159423,231493,324913,556409,7.5,7.3,7.4,67.8,59.4,63.5,62.7,55,58.8,45729,44127,89862,14109,24761,38864,125320,164230,289552,71243,95905,167153,198586,100882,299466,8145,12776,20924,12974,19868,32842,219698,133532,353230,818685,849173,1667859,194256,203427,397686,506042,525194,1031241,463357,486799,950163
39799,65,81,144,23,11,32,7,11,16,4,13,10,0,0,4,30,35,68,27,32,57,0,0,5.9,46.2,43.2,47.2,52.3,43.2,40.3,0,0,3,0,0,0,0,3,5,3,7,12,11,6,18,0,3,3,0,0,0,13,12,26,52,57,102,6,17,22,33,49,84,25,21,45
39499,6509,5179,11693,1106,640,1749,428,552,978,205,149,354,612,375,986,2360,1712,4074,2632,2514,5145,25.9,21.9,24.2,36.3,33.1,34.8,26.7,25.9,26.3,143,123,266,48,71,118,448,701,1147,327,452,779,1395,508,1898,48,67,113,95,112,202,1534,683,2221,1610,1127,2737,3598,3312,6907,1044,637,1684,4011,3681,7693
2RVIC,570369,602974,1173346,234794,118914,353709,68491,156564,225059,18618,21202,39816,21485,17739,39226,343395,314414,657811,184566,244136,428695,6.3,5.6,6,60.2,52.1,56.1,56.4,49.2,52.7,11878,13870,25751,7883,16687,24568,45455,74426,119877,39014,60587,99599,151078,71971,223051,4831,9643,14474,8163,12724,20885,164071,94335,258412,541896,561765,1103667,88947,96643,185586,373929,383807,757736,228433,248102,476528
2GMEL,1779168,1886350,3665515,832140,483498,1315635,237273,457903,695178,47531,57147,104679,79219,74403,153625,1196169,1072952,2269119,476594,702548,1179140,6.6,6.9,6.8,67.2,56.9,61.9,62.8,52.9,57.7,117203,116849,234048,33627,60941,94567,306975,370617,677594,152216,194798,347014,319171,151130,470297,10794,18699,29489,23105,36199,59301,353062,206028,559093,1675034,1747492,3422525,328552,342514,671061,1096453,1151547,2247996,823346,858437,1681782
29799,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0,0,0,85.2,0,92,70.4,0,76,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
29499,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
1RNSW,1052624,1105649,2158275,418117,234162,652283,123559,263912,387471,30350,34061,64405,43178,35237,78414,615204,567378,1182580,359273,457951,817222,7,6.2,6.6,58.4,51.3,54.8,54.3,48.1,51.2,27345,28666,56011,11275,21821,33097,87606,135225,222826,68256,108207,176459,288213,136401,424613,10302,20984,31288,18118,34438,52561,316637,191830,508464,993444,1027032,2020483,174202,186140,360342,677976,693573,1371549,438426,471647,910069
1GSYD,1914314,2009383,3923700,910114,570101,1480218,243808,438797,682605,51004,58887,109892,75539,70645,146187,1280466,1138432,2418899,515700,751080,1266780,5.9,6.2,6,66.9,56.7,61.6,62.9,53.1,57.9,146564,141535,288103,27022,43101,70126,344760,408013,752774,156477,209509,365989,322677,150288,472968,12035,23465,35504,31293,50922,82214,366004,224681,590682,1813259,1882487,3695742,347545,356145,703690,1174217,1227942,2402160,895491,922415,1817909
19799,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
19499,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
