GCCSA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,18,7,0,7,33,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,0,38,9,47
69499,0,0,0,9,8,10,0,0,0,0,0,0,0,0,0,72,43,113,16,8,23,0,0,0,4,0,4,4,0,8,3,0,10,9,11,18,120,72,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,45,3,0,3,152,98,247
5RWAU,70,51,116,9077,1393,10467,43,11,54,7,7,14,189,176,362,76779,65526,142307,7419,6404,13823,2174,89,2262,1083,313,1396,1534,773,2301,3328,897,4231,6509,6158,12660,108199,81790,189991,10,18,33,0,0,0,0,3,3,59,67,126,4,12,14,16,0,14,89,99,193,7,0,7,0,0,0,225,65,288,57,50,110,123,23,139,408,134,540,1007,420,1427,1503,656,2165,10,6,22,95,30,125,84,24,108,187,59,248,6285,7484,13770,12096,13185,25277,2483,1494,3978,130758,104674,235431
5GPER,12401,13320,25725,19538,14526,34063,146,62,210,87,54,142,1139,538,1679,320619,269492,590114,18835,23372,42208,6030,176,6208,3916,431,4344,7311,2094,9405,8986,2281,11269,9622,9324,18947,408640,335676,744313,7341,6837,14172,7,5,11,9,7,13,4576,4886,9466,623,1002,1617,576,192,767,13124,12927,26047,25,14,41,9,4,9,714,816,1532,454,815,1271,414,165,577,1610,1821,3430,3840,1703,5546,18572,16449,35022,2131,2516,4651,269,137,404,180,64,244,2578,2717,5298,13812,21723,35527,38707,52487,91191,5098,3753,8846,487403,432800,920196
59799,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,0,13,3,0,3,0,0,0,0,0,0,0,0,0,218,11,226,55,5,56,296,11,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,6,14,0,14,316,17,334
59499,11,14,24,175,34,207,3,0,3,0,0,0,3,0,3,398,200,603,91,53,138,28,6,32,7,3,9,11,7,12,72,25,97,113,130,244,899,472,1371,9,8,21,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,12,30,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,4,5,5,15,28,20,48,3,0,3,0,3,3,0,0,0,5,3,8,16,33,48,135,99,229,46,17,69,1128,648,1773
4RSAU,45,32,77,783,192,976,32,12,39,8,12,15,111,98,214,56496,47965,104463,3525,3791,7318,1314,43,1353,587,75,662,613,156,766,1183,347,1534,4231,3480,7710,68921,56211,125137,9,6,11,0,0,0,0,0,4,58,79,140,8,0,13,0,3,3,78,88,165,0,0,0,0,0,0,125,66,196,24,15,33,18,13,28,162,92,255,670,224,896,911,411,1316,10,19,31,20,9,20,65,15,74,88,40,131,5965,5618,11583,7432,10693,18128,1085,936,2019,84403,73903,158308
4GADE,4212,4755,8965,12474,16104,28580,81,27,106,1174,1567,2743,750,412,1159,212368,175168,387534,10279,16328,26600,3065,80,3150,2490,286,2771,5038,1639,6677,2714,894,3611,6621,6309,12930,261276,223552,484831,820,712,1531,3,0,3,88,109,197,780,982,1760,105,169,283,144,43,189,1942,2012,3960,4,0,3,140,177,315,1079,1752,2826,350,848,1198,194,150,343,1771,2915,4684,2705,1937,4638,6419,6869,13283,339,457,793,179,231,409,148,73,222,661,758,1422,9079,11998,21075,22793,39043,61839,2413,2185,4601,302646,284414,587060
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
49499,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
3RQLD,1765,1404,3165,8815,4903,13715,421,155,577,745,961,1708,813,816,1632,371948,338087,710039,27263,31345,58611,10184,334,10515,7867,960,8834,7090,2626,9720,6614,2756,9366,20123,18975,39095,463650,403326,866980,292,327,620,0,3,3,16,23,37,926,607,1537,111,108,217,103,23,128,1450,1086,2536,169,42,206,220,342,564,608,241,845,289,473,754,209,114,319,1485,1203,2689,5140,2503,7648,8079,4796,12881,408,291,694,861,302,1163,364,145,512,1628,743,2374,27227,35941,63168,43695,59534,103233,5896,5001,10891,550177,509346,1059525
3GBRI,18579,20520,39105,22213,27721,49938,1156,1203,2356,85,50,137,1141,772,1914,359341,298314,657654,22315,31239,53563,9180,210,9392,9761,1015,10776,9348,2573,11918,4249,1971,6224,15667,15294,30962,473039,400901,873942,3209,3296,6506,27,39,65,3,7,7,4968,5324,10291,863,1277,2139,686,191,882,9761,10128,19886,286,303,587,3,9,15,1666,2312,3974,672,1519,2200,415,319,732,3044,4464,7505,5082,2787,7870,17895,17371,35263,1507,1574,3079,394,386,787,304,128,436,2207,2089,4299,20214,28942,49157,40289,62831,103120,4378,3625,8001,558022,515756,1073778
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,3,3,0,0,0,0,0,0,0,0,0,0,3,5,4,0,4,11,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15,38,0,0,0,31,33,60
39499,13,26,36,83,86,172,3,5,10,3,0,3,8,4,10,811,453,1259,162,174,334,35,5,36,20,3,23,24,14,41,63,38,100,182,223,407,1398,1030,2428,11,6,17,0,0,0,0,0,0,3,5,8,0,3,3,4,0,4,19,11,29,0,0,0,0,0,0,7,0,3,0,0,0,0,3,3,5,5,9,25,10,28,46,25,72,3,6,8,3,0,3,4,0,3,12,5,20,35,56,93,208,197,404,46,25,64,1743,1336,3087
2RVIC,2967,1938,4907,1944,1758,3704,117,50,170,96,100,198,470,372,842,223511,192856,416367,13460,15153,28609,4666,148,4812,1942,311,2259,3238,988,4230,2738,1064,3797,13028,11329,24354,268174,226076,494252,164,146,317,0,0,0,157,144,302,1106,684,1789,117,127,240,167,35,202,1710,1143,2853,6,0,6,8,0,7,122,126,243,109,196,298,70,32,97,304,346,653,2152,1071,3223,4166,2563,6722,637,540,1177,46,31,84,152,32,185,844,606,1448,18750,19409,38164,25878,44366,70247,4092,3666,7753,321909,296681,618583
2GMEL,80490,72252,152741,11543,13472,25018,311,117,430,22883,27971,50856,2683,1345,4035,715011,559254,1274268,33752,48012,81763,11660,236,11892,6851,760,7608,20938,8770,29712,6853,3603,10456,30867,32349,63214,943841,768143,1711982,11088,9583,20671,12,13,21,7895,8120,16010,15196,11330,26525,2078,3716,5787,2148,927,3076,38409,33685,72094,11,4,14,1150,1614,2764,722,693,1417,592,1082,1679,210,190,401,2685,3584,6268,8566,5818,14391,49661,43094,92754,8938,9196,18137,306,349,649,498,297,797,9744,9842,19583,37056,51638,88695,66345,117387,183729,10311,8445,18750,1116953,998542,2115493
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
29499,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
1RNSW,3170,2293,5458,4186,4034,8224,175,94,275,59,59,111,672,712,1385,399703,355049,754752,26214,29103,55318,12895,432,13328,5588,664,6251,5245,1574,6824,4715,2214,6928,20078,18948,39029,482694,415180,897875,433,366,800,3,9,5,24,4,27,1327,794,2123,180,212,393,196,43,247,2168,1426,3589,23,15,37,3,8,12,276,299,573,244,386,638,103,87,190,656,799,1450,4530,2161,6691,7352,4384,11731,391,327,724,100,87,188,303,94,396,795,509,1306,29302,34710,64010,45043,71238,116274,6850,6118,12963,572026,532137,1104163
1GSYD,128732,118320,247051,57711,67791,125503,4359,3112,7467,1302,1313,2617,3315,1989,5301,680851,516418,1197269,36051,53220,89273,19227,314,19540,13179,1714,14890,12856,3613,16471,7685,4090,11778,44379,47194,91577,1009651,819089,1828741,29027,30238,59264,883,736,1619,763,696,1460,18268,13805,32078,3327,6175,9500,2197,1011,3206,54461,52666,107128,775,605,1383,206,242,450,2703,2638,5340,1004,2203,3208,807,650,1457,5495,6348,11842,8289,4406,12700,68249,63413,131666,7469,6930,14393,524,475,998,402,148,553,8393,7554,15943,40909,57994,98906,66059,110414,176467,11673,9319,20986,1204929,1067789,2272718
19799,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
19499,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
