GCCSA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
39799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,5,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,4,5,0,4,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,7,5,0,7,4,33
39499,7,0,8,9,3,8,3,17,0,52,10,13,34,25,3,13,20,100,7,223,34,75,117,42,19,19,68,172,22,564,21,42,73,18,8,10,60,64,23,324,29,41,66,10,11,12,60,71,7,310,33,31,42,7,12,3,44,36,4,212,12,4,0,0,0,6,19,3,9,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,144,207,339,121,56,74,271,459,66,1743,3,0,4,9,6,17,0,7,0,50,16,13,8,66,22,19,0,106,0,252,30,92,15,89,39,26,6,142,8,444,12,48,7,16,22,8,7,22,3,147,18,43,5,33,32,12,8,35,6,202,32,39,16,23,47,20,6,36,6,217,3,10,0,3,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,237,54,230,170,114,29,361,24,1336
2RVIC,525,207,4197,1433,320,4100,537,6005,359,17688,1885,1639,9932,2379,827,2872,2037,5959,516,28046,7620,8489,18470,3503,2232,3362,5783,9115,982,59550,12459,9788,14903,3562,2723,3170,7134,7854,1189,62778,15103,9109,14981,4305,3298,3352,10026,9017,1300,70488,13510,8566,11382,3282,3267,3017,8998,7982,1113,61117,6125,2579,2192,736,923,1073,2153,2072,476,18334,1771,329,216,62,111,132,160,328,205,3308,301,34,47,13,14,23,35,56,76,602,59293,40747,76331,19274,13723,21090,36855,48382,6209,321909,240,265,707,4092,928,9515,112,2553,307,18727,1073,3353,1861,7149,3340,5554,241,2503,319,25392,4301,16396,3502,9537,9169,5423,420,3855,625,53221,6595,16427,3221,9472,12300,5444,592,4569,759,59380,8217,15688,3333,12248,15901,6817,940,7116,853,71122,6846,12419,2184,9198,11737,4989,797,6206,691,55072,2854,2092,404,1528,2452,915,126,1289,312,11977,635,132,33,94,204,52,8,161,159,1471,75,39,19,29,53,18,3,33,54,318,30843,66802,15255,53351,56094,38723,3244,28286,4076,296681
2GMEL,663,1100,7531,5552,1298,10838,1525,12315,771,41591,4461,11732,25440,12299,7301,15214,7542,16641,2130,102768,33316,72539,64202,17977,22288,19611,23036,25711,5468,284146,51210,67487,49085,11841,18908,13991,22883,19598,4808,259809,49392,47438,43633,10536,15934,12071,25609,19473,4273,228358,29139,32958,27779,6722,11358,8156,19367,14674,2699,152859,7624,11172,5711,1647,3113,2872,4236,4199,966,41533,1118,1444,522,148,345,347,280,600,303,5108,171,170,84,19,49,46,34,70,120,766,177107,246044,223993,66751,80585,83150,104512,113276,21533,1116953,565,1275,1199,10631,2918,24764,264,4215,691,46521,4774,16102,4881,24088,16579,25279,1101,5385,1510,99704,25306,92848,12820,36018,47552,23324,2441,10165,3975,254436,30285,74774,9657,28062,47723,16636,2952,9836,3274,223203,25829,55624,8585,29254,53861,18076,4340,14001,2967,212541,12801,34095,4729,18032,35366,11285,2908,11028,1662,131905,2612,6876,886,3388,7994,2460,360,2274,630,27484,277,525,71,192,569,195,17,251,226,2316,46,95,22,29,74,28,4,22,108,430,102496,282214,42858,149690,212636,122045,14387,57174,15041,998542
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,6,0,6,6,0,5,4,8,0,42,13,10,26,33,5,11,8,40,3,145,37,85,96,40,21,14,47,71,7,420,28,46,61,17,6,8,47,37,13,264,21,35,31,12,9,5,44,38,11,195,16,29,22,7,10,4,30,20,5,140,5,4,3,0,3,3,3,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,123,203,249,120,56,53,183,214,41,1242,0,0,3,8,0,10,0,3,0,25,8,16,11,48,12,21,3,24,7,142,19,101,21,54,41,27,3,28,3,304,10,35,8,17,25,8,5,7,3,121,13,20,5,17,20,7,4,9,3,102,6,24,0,8,20,6,0,7,0,80,0,6,0,4,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,202,44,161,126,74,17,86,16,786
1RNSW,685,463,8174,2645,499,7297,1371,10285,570,31996,2503,3157,17679,4817,1615,5201,3921,10319,853,50069,11966,16024,33411,7592,4275,6341,12334,15546,1858,109349,19931,18465,28018,7326,5094,5532,15153,13497,2060,115070,23981,17995,27047,7714,6541,5922,19122,15302,2397,126013,20799,15740,19682,5494,5598,5287,16076,13037,1885,103588,8925,4813,3726,1127,1490,1785,3954,3170,779,29774,2571,694,370,95,209,214,340,467,367,5330,432,62,52,13,17,43,31,61,119,829,91793,77415,138156,36826,25337,37622,72308,81673,10897,572026,458,782,1338,8346,2094,15997,258,4293,501,34072,2058,6202,3204,13415,7013,9549,500,3566,552,46056,7881,28660,5766,17910,18794,10282,1108,6214,1180,97810,11662,30569,5496,17443,24762,9971,1212,7462,1462,110036,14134,28687,5548,20662,31000,12077,1623,11308,1440,126491,10783,23172,3482,14700,22285,8760,1158,9206,1141,94689,4191,3848,605,2144,4819,1697,260,1873,554,19994,945,274,72,127,408,140,27,228,323,2544,140,45,11,28,53,24,8,18,110,440,52254,122252,25531,94777,111222,68498,6161,44170,7273,532137
1GSYD,810,1812,10406,5544,1712,10241,2218,12171,979,45892,5489,15399,25860,12721,8676,14291,8038,15948,2698,109120,37792,83767,59744,19542,23458,21143,23105,26002,6971,301533,57710,77443,49560,13563,21168,15250,24863,19550,5756,284869,52564,54439,43304,11085,17532,12615,27908,20149,4953,244549,30604,37105,28354,7129,13060,8865,21830,16186,3187,166319,8128,12692,6242,1953,3617,3108,5139,4236,1021,46144,1118,1889,557,190,443,439,343,468,308,5751,172,237,64,16,53,52,31,40,94,758,194389,284781,224085,71736,89725,86017,113473,114751,25976,1204929,696,2310,1684,12783,4632,22528,393,4129,821,49981,5403,21039,4761,24724,19832,21942,1145,4923,1889,105648,29812,100258,11142,35025,52049,23893,2608,9960,4909,269666,35509,81381,8936,26897,55457,17725,2958,9806,4063,242735,28416,60451,8470,27072,57918,18143,4084,14325,3499,222380,14341,38221,4909,16663,40278,11808,2933,11350,2000,142504,2859,8558,956,3091,10315,2738,391,2021,720,31649,281,731,90,193,840,221,27,179,259,2820,51,72,16,26,86,32,4,17,94,395,117375,313021,40969,146468,241410,119035,14549,56703,18258,1067789
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,9,3,3,3,0,0,0,0,3,0,11,0,0,4,0,0,0,5,3,0,20,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,3,0,0,9,15,3,59,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,17,0,0,0,4,0,0,0,0,0,13,0,7,4,4,0,4,0,0,0,17,0,3,0,3,0,3,0,3,3,11,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,11,18,15,0,3,3,72
19499,0,8,10,17,0,4,3,16,3,63,17,28,58,50,4,24,20,73,10,284,43,117,130,47,25,23,87,143,15,637,49,72,82,27,27,17,79,77,19,441,25,46,61,28,17,22,64,43,11,319,29,28,46,11,12,13,42,34,11,228,8,19,8,0,3,9,8,3,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,167,321,397,186,88,109,314,395,63,2042,0,0,0,18,0,13,0,10,0,44,10,26,16,72,26,30,3,50,5,243,30,133,32,81,41,35,11,76,9,451,19,64,13,24,24,15,6,11,9,183,23,53,15,26,39,4,3,17,11,185,10,37,7,25,34,10,5,16,7,151,3,6,0,3,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,329,80,247,172,111,29,183,37,1291
