GCCSA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
9OTER,24,11,13,7,5,0,75,0,9,18,13,7,6,0,0,53,14,69,83,44,62,32,5,5,318,6,48,72,62,49,22,7,3,270,35,92,115,147,132,56,18,3,600,17,14,14,7,8,8,0,0,58,6,13,20,20,21,16,4,3,99,57,118,147,171,156,78,20,9,761,4,6,4,10,3,0,3,0,30,117,173,128,149,128,84,54,11,835,192,435,476,457,416,232,97,26,2337
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,10,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,6,0,7,5,4,4,0,0,31
8ACTE,9749,7133,5057,2837,914,234,34782,239,2809,3008,2963,2626,1444,280,39,13404,6209,21187,16065,11224,8652,5496,2121,651,71604,1753,6056,6570,6165,4643,2954,1196,396,29724,4220,8655,7102,6201,4523,2705,1339,427,35174,871,641,495,381,295,186,79,36,2990,371,550,853,1032,1106,949,379,153,5398,5456,9848,8452,7619,5926,3843,1798,620,43557,183,408,382,404,406,424,232,105,2538,3467,4580,3574,3156,2826,2530,2038,1508,23688,17702,53358,47794,38658,30129,19523,8580,3555,219307
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,4,4,7,6,0,0,40,0,0,3,0,4,0,0,0,10,14,35,8,7,7,3,0,0,81,3,3,10,4,6,0,0,0,30,10,11,12,11,12,3,0,0,50,7,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,5,13,14,12,11,10,3,0,0,62,0,0,0,0,0,0,0,0,3,26,16,31,20,20,7,0,0,112,58,68,75,54,57,17,3,0,339
7RNTE,397,347,300,111,25,0,1605,13,239,262,269,203,53,9,0,1051,243,1759,1335,992,830,268,65,13,5506,138,776,783,900,688,225,67,7,3578,879,2041,1660,1761,1302,484,108,21,8255,292,368,254,239,118,30,3,3,1309,118,283,265,231,166,73,17,4,1159,1288,2689,2182,2228,1590,592,126,23,10727,30,84,56,78,51,25,15,7,334,3203,3298,2461,2298,1649,850,287,84,14129,4936,9247,7477,7121,5307,2126,591,131,36937
7GDAR,1294,925,719,302,49,3,4646,42,581,654,549,434,134,27,0,2430,890,5442,3850,2418,1635,741,180,42,15194,450,2107,2264,2167,1419,572,155,16,9149,2314,6151,4584,3972,2526,1087,309,52,21000,459,362,257,180,112,41,10,3,1432,197,394,408,389,301,175,46,13,1921,2965,6906,5251,4544,2938,1309,367,72,24352,62,165,166,123,110,61,33,7,729,2529,4122,3100,2700,2118,1206,475,166,16415,6996,20607,16577,13429,9373,4338,1290,317,72912
79799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,17,3,6,0,0,0,0,0,0,8,0,7,4,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,8,3,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,0,0,15,3,27,21,7,3,0,3,0,60
79499,11,9,4,6,0,0,52,0,13,4,6,6,3,0,0,34,18,58,39,19,28,17,0,0,184,13,19,26,30,23,17,0,0,121,20,52,45,51,76,53,9,0,322,9,3,3,4,5,3,0,0,29,14,11,6,3,9,3,0,0,45,49,65,55,59,90,58,6,0,392,3,3,0,9,8,3,0,0,24,82,196,161,193,114,73,14,0,831,162,376,295,324,284,173,22,0,1635
