GCCSA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
9OTER,5,5,7,4,8,9,3,8,3,58,5,13,7,10,16,16,4,13,24,111,121,204,149,209,503,331,236,331,69,2151
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,11
8ACTE,149,820,609,680,1270,1025,621,857,70,6102,185,599,369,370,799,908,347,557,1218,5346,8471,20570,16484,19945,46914,41411,21467,27141,3014,205419
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,5,11,9,28,14,22,35,46,12,35,6,202
7RNTE,67,185,159,174,458,354,111,224,66,1799,88,84,57,75,215,190,74,171,537,1488,1375,2053,1839,2690,7085,5870,2907,5924,1014,30752
7GDAR,63,191,165,212,524,515,253,419,40,2378,125,198,138,193,489,541,213,616,681,3191,3080,4658,4445,5708,15081,13484,7364,15976,1568,71357
79799,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,4,6,9,3,3,0,0,0,0,0,14,10,28
79499,0,0,0,0,0,0,0,0,0,9,4,3,7,0,3,3,0,5,4,36,52,28,40,30,78,93,56,175,18,574
6RTAS,140,628,496,524,913,769,378,533,54,4441,234,524,315,395,639,594,245,452,1003,4397,5318,15643,13217,15457,21595,17674,10183,16012,2294,117405
6GHOB,99,537,416,506,769,593,328,402,30,3670,141,352,248,287,454,423,149,273,636,2958,4077,13011,10880,13293,20929,15740,8535,10975,1448,98883
69799,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,4,3,4,4,0,23,0,47
69499,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,7,0,4,0,18,14,38,27,28,45,38,17,39,10,247
5RWAU,324,1127,801,950,1392,1608,896,1832,144,9080,550,1034,603,724,1023,1412,652,1926,1993,9929,12047,25250,19959,24657,31651,34249,23993,58813,4819,235431
5GPER,962,5110,3857,4153,7173,6817,3377,4937,349,36729,1458,4589,3282,3153,6626,8226,3037,5872,6781,43030,33645,112853,94699,98721,166934,171924,85665,140626,15130,920196
59799,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,50,0,60,16,12,11,0,4,14,11,274,4,334
59499,0,6,3,3,8,6,7,5,0,44,17,9,8,8,6,7,10,27,33,126,140,151,146,136,200,222,136,587,60,1773
