GCCSA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
9OTER,25,11,78,0,0,0,4,13,3,21,0,0,0,3,3,0,7,0,0,0,4,7,0,10,0,0,0,0,7,3,8,3,0,10,5,3,0,14,0,0,9,7,15,8,43,11,8,21,24,26,9,97,9,16,31,12,21,8,103,8,5,18,18,17,3,67,3,0,9,3,4,0,19,0,0,0,6,10,0,16,0,0,0,3,5,5,19,34,27,142,133,187,65,590,0,0,6,7,7,4,19,0,0,9,15,47,8,81,0,0,4,4,17,0,26,0,3,3,4,22,0,35,0,0,4,3,80,3,95,0,0,0,0,7,0,11,0,0,9,18,45,12,86,3,0,23,30,59,20,134,0,0,6,12,37,7,58,0,0,0,3,6,3,14,0,0,0,4,7,0,9,0,0,0,4,9,4,24,3,0,17,11,9,3,33,0,0,10,15,30,16,75,20,16,65,54,115,11,280,17
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8ACTE,759,101,2341,64,34,189,135,178,25,620,160,126,468,145,122,26,1045,134,57,431,265,266,35,1187,62,47,236,212,320,26,904,1325,610,2908,786,705,117,6450,154,76,508,317,440,63,1560,5102,2611,10390,3729,3077,391,25310,2615,1325,4705,1133,1165,139,11085,1801,976,5407,2343,2437,369,13332,205,106,542,163,226,31,1271,213,93,571,498,866,66,2301,157,34,454,218,265,192,1318,12658,6279,29313,11419,12494,1807,73974,50,14,119,64,111,21,384,12,0,14,10,36,0,76,184,49,458,317,1051,69,2123,126,28,292,168,412,32,1063,184,77,969,961,5721,244,8151,107,45,363,217,418,45,1202,561,136,1965,1080,2351,269,6363,452,72,1662,1124,1975,222,5512,306,99,641,504,1029,105,2683,391,203,1030,413,491,59,2584,368,136,913,511,406,68,2401,149,79,498,404,624,51,1805,3870,1241,7376,1913,1543,307,16260,320,131,1010,565,1018,130,3175,11709,4677,20352,7571,6479,797,51587,4852
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,3,0,0,24,4,3,3,0,0,0,14,4,0,3,4,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,35,12,10,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,6,13,4,21,7,4,0,45,8
7RNTE,239,51,575,0,3,42,26,61,13,143,0,3,21,5,7,3,48,3,0,15,21,21,3,62,4,3,20,21,52,10,110,59,36,119,50,75,20,361,4,8,64,49,116,23,269,142,106,456,289,476,86,1549,262,215,797,250,405,102,2031,226,205,839,452,564,140,2423,22,16,77,20,69,16,218,30,22,85,65,175,40,417,13,5,61,35,105,117,330,824,661,2958,1587,2896,712,9633,12,7,90,119,370,60,654,33,10,133,89,413,28,707,6,0,22,31,202,11,270,6,5,32,38,185,6,269,6,16,70,95,914,53,1150,5,0,18,22,88,18,146,31,14,151,132,508,101,941,54,14,238,215,555,92,1159,5,12,105,142,311,53,634,9,3,50,27,57,7,147,7,3,18,28,27,5,93,4,3,33,33,102,7,182,94,50,253,127,213,37,764,19,13,96,86,239,53,502,292,169,839,731,1430,196,3658,375
7GDAR,419,87,1248,17,16,95,86,195,19,429,20,11,89,35,53,10,211,18,15,82,120,162,29,421,14,9,99,108,182,20,437,219,108,578,190,340,46,1485,24,7,160,126,245,53,611,451,373,1479,879,1168,100,4456,541,465,1466,420,631,71,3603,432,302,1763,762,899,125,4294,40,17,142,90,147,18,457,53,16,124,139,356,35,726,23,17,138,94,179,149,606,2046,1454,7376,3839,6238,959,21910,15,0,93,64,196,34,406,71,14,184,115,699,29,1119,36,8,161,158,863,75,1303,85,34,246,153,450,31,1005,153,36,636,590,4169,280,5870,37,11,151,129,442,38,797,132,30,547,327,1123,156,2319,138,25,803,433,850,156,2402,70,32,334,359,1007,103,1914,28,21,157,98,198,14,518,33,19,146,202,214,36,650,33,21,167,167,358,40,789,462,189,1316,426,1356,121,3865,55,15,271,211,547,77,1171,881,590,2602,1999,3321,250,9640,835
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,9,3,30,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,4,0,0,5,0,0,0,7,0,3,4,0,9,0,15,3,0,8,0,3,0,18,4,6,12,10,0,0,40,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,14,57,26,50,14,178,0,0,3,6,10,0,22,0,0,3,0,6,0,7,0,0,0,0,3,0,7,0,0,0,0,3,0,3,0,0,3,3,31,0,46,0,0,0,0,0,0,0,0,0,3,7,8,3,24,4,0,14,11,20,3,49,0,0,0,8,6,4,18,0,0,3,0,0,0,5,0,0,0,3,0,0,4,0,0,0,0,4,0,3,0,0,6,4,12,0,24,0,0,7,0,8,4,13,4,3,8,3,35,0,54,7
