GCCSA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
9OTER,24,15,12,12,8,6,3,8,0,88,19,15,16,36,28,4,0,11,5,131,69,20,211,64,45,11,35,43,12,503,3,3,5,12,7,3,3,11,0,48,8,7,9,19,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,18,16,10,10,17,15,9,10,23,6,110,241,214,278,195,150,48,64,111,29,1335
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
99499,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
8ACTE,1632,2235,684,1075,1788,423,107,233,194,8370,2484,2590,1344,2243,3054,627,177,400,339,13257,3153,2267,9060,3743,4287,1394,1039,1525,563,27020,198,174,158,375,486,262,67,183,30,1940,386,394,191,501,916,266,103,204,74,3029,207,443,130,150,238,77,33,83,48,1423,252,388,289,264,391,180,74,224,311,2371,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
7RNTE,200,329,80,241,131,30,22,37,23,1102,335,323,175,523,306,67,49,83,22,1893,767,536,2103,1084,769,257,435,578,157,6678,58,99,49,182,124,78,27,105,31,755,77,92,53,199,107,43,48,83,33,736,23,49,17,38,32,17,15,30,10,227,98,186,108,226,116,70,76,189,191,1264,2598,5731,2820,3265,2148,717,716,1287,546,19827
7GDAR,474,596,316,398,352,105,76,106,34,2464,855,790,662,1116,883,258,131,204,78,4977,1749,905,7335,2012,2105,744,1167,1258,347,17620,80,80,115,181,240,126,76,125,14,1043,153,125,147,307,311,122,85,134,25,1417,56,115,95,63,74,33,26,69,21,546,149,165,244,191,184,135,135,243,206,1652,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
79499,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
6RTAS,813,1091,387,655,529,160,73,186,62,3955,1097,1049,659,1620,1136,411,159,323,95,6537,3957,1149,10609,4248,3025,1818,2397,2960,438,30598,176,72,196,405,401,391,135,472,26,2277,305,173,219,740,540,301,166,376,40,2854,84,127,54,96,104,53,38,75,13,641,386,252,382,390,271,316,329,599,259,3183,9687,16953,13163,9511,7466,3899,3436,5491,1101,70717
6GHOB,616,1023,364,566,625,179,60,91,53,3565,943,964,621,1245,1133,403,104,185,93,5687,2293,1019,7724,3437,2758,1363,1071,1479,329,21469,96,74,118,256,326,316,58,269,12,1530,191,168,136,537,453,214,81,201,46,2019,72,171,62,75,125,41,30,57,14,638,164,218,235,283,200,180,139,262,164,1847,8279,20710,10233,8480,8267,3467,1748,3036,1011,65228
69799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
69499,0,4,0,0,0,0,3,0,0,7,0,4,4,4,5,0,0,0,0,15,4,0,20,11,3,0,4,9,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,7,45,31,22,13,4,5,23,3,149
5RWAU,1921,2332,1021,1336,1216,426,447,527,93,9315,2091,1780,1658,2717,1886,740,667,799,150,12496,6444,2548,27710,6322,5060,2731,6943,5971,1060,64797,437,237,395,647,858,713,385,866,59,4599,817,368,583,1029,997,511,596,738,69,5706,239,240,173,190,193,93,164,269,32,1589,859,456,750,746,616,524,863,1104,510,6418,19205,29770,34072,15540,13725,6736,10778,11872,2288,143989
5GPER,6688,11485,5438,5965,6591,2658,1580,1958,515,42877,8267,9288,8477,12052,9930,4672,2420,3235,722,59057,16368,8832,77821,22657,18245,10268,13914,14130,2919,185156,852,556,1080,1881,2385,1898,783,1641,134,11206,1858,1502,1982,3843,4301,1985,1364,1739,244,18814,994,1842,1044,978,1324,632,466,787,170,8240,1367,2179,2112,2234,2223,1589,1436,1976,1538,16660,77714,189034,110405,68251,72337,35190,26630,33679,9172,622406
59799,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
59499,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
4RSAU,1262,1649,315,1171,705,280,147,289,66,5887,1545,1244,632,2347,1234,473,242,497,85,8303,5583,1584,13764,5544,3677,2429,3479,4768,540,41363,391,133,259,421,585,491,261,669,36,3258,688,237,308,879,593,413,335,634,53,4136,163,123,116,113,120,61,77,226,21,1028,748,356,486,507,324,379,465,894,332,4491,13889,18439,16507,12519,8691,4974,5189,8865,1303,90371
4GADE,4035,7550,2332,4651,3888,1439,587,954,316,25747,5993,6651,4259,9078,6659,2571,1005,1698,460,38381,11473,5998,42617,17097,14362,8274,7127,9855,1613,118409,661,427,689,1291,1730,1501,507,1323,90,8222,1263,1017,1061,2652,2612,1393,700,1059,161,11926,497,1053,545,576,689,325,254,494,121,4553,900,1218,1209,1340,1174,976,742,1296,922,9786,47811,121148,59007,50089,46981,22994,13086,22192,5264,388573
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49499,4,5,3,0,0,0,3,5,0,23,0,6,3,8,6,3,3,13,0,40,11,3,67,11,9,9,18,33,3,157,0,0,0,0,0,4,0,3,0,7,0,0,3,3,0,0,0,7,0,12,0,0,0,0,0,0,3,4,0,16,4,0,3,0,0,0,8,11,4,31,35,96,77,32,34,20,36,109,7,444
3RQLD,7124,10331,3719,6477,5369,2534,1074,1729,452,38811,11160,10727,7362,18195,12636,5568,2223,3866,870,72604,28604,11464,104075,33176,27133,17602,23241,25797,3558,274648,1330,773,1354,2452,2802,2838,1136,2840,160,15680,2758,1619,2037,4757,4024,2921,1926,2778,289,23108,877,1360,818,869,1006,617,492,902,161,7102,2629,2361,3092,2933,2246,2468,2423,4018,2227,24404,82759,162063,130140,84605,72732,41928,34579,47721,9529,666057
3GBRI,6670,10562,4319,5537,6329,2379,1181,1664,510,39154,11882,12399,8238,17069,15539,6266,2479,4026,958,78851,21017,11078,77393,28024,26053,14339,16090,19791,2922,216701,974,718,1086,1947,2590,2171,969,2010,124,12593,2092,1662,1675,3901,4248,2347,1670,2229,288,20115,882,1826,907,829,1232,611,494,842,175,7802,1552,2203,2209,2030,2117,1559,1715,2532,2010,17931,93695,226016,107311,79601,92265,42405,28291,41462,10453,721503
39799,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
39499,13,22,11,8,3,5,6,14,3,93,15,29,13,42,20,7,8,41,0,171,49,38,242,68,52,28,72,132,14,696,0,0,7,7,0,0,0,10,0,30,6,7,4,7,3,7,5,13,0,43,3,3,0,4,3,0,5,15,5,39,3,13,17,15,4,4,11,25,22,105,163,407,308,245,129,83,129,441,58,1957
2RVIC,5426,7031,2442,4518,3550,1474,621,1231,300,26582,6401,6680,3970,10371,6557,2630,909,2149,485,40147,20460,5992,56117,20400,13750,9638,12007,16757,2123,157239,929,400,747,1503,1666,1386,549,1553,96,8833,1624,731,1105,2832,1976,1401,919,1578,148,12309,521,745,426,403,443,273,222,454,93,3591,2409,1648,1922,2059,1417,1569,1437,2751,1401,16617,57172,100018,70854,51951,39286,22056,17707,29603,5805,394456
2GMEL,16717,23485,11831,13406,16391,7936,3844,4711,1234,99560,21197,23112,17881,29517,25399,12555,5552,7423,1766,144406,35105,16467,130986,41830,34608,21769,24077,28609,4840,338291,1648,1163,1662,3089,4141,2695,1338,2319,200,18258,4138,3188,3214,7316,7633,4257,2582,3122,527,35972,2329,4442,1863,1778,2545,1469,1073,1286,438,17216,3586,5236,4623,4698,4685,3498,3064,4281,4180,37853,212497,486943,202552,151216,182011,93890,53522,71905,22572,1477105
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
29499,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
1RNSW,8770,13185,4004,7961,7145,2493,1018,1824,574,46983,10787,11658,7000,17231,12375,4475,1713,3142,838,69227,33169,13700,103093,36897,31042,17826,24957,27051,4096,291826,1923,929,1317,2786,4375,2948,1210,2941,161,18586,3656,1979,2081,5241,6838,3282,1856,3200,354,28479,996,1491,690,882,1537,684,433,876,136,7741,3349,2614,2768,3325,3006,2639,2448,4289,2192,26625,97780,184992,128310,90117,84933,40525,35415,48306,10501,720873
1GSYD,19548,27775,11081,13614,19457,8631,3981,4669,1531,110287,23046,25496,16288,27188,28346,13038,4894,6779,2142,147211,38068,20452,126162,38257,40564,21634,24566,25533,5632,340875,2216,1680,1669,2940,6171,3127,1485,2338,283,21901,5902,5000,3913,7392,13051,5622,3298,3983,760,48912,3321,6192,2309,2147,4884,2103,1367,1869,595,24781,3798,5837,4078,4157,5781,3418,3104,4477,4905,39564,245781,546829,198365,144994,214837,100049,56609,70514,27562,1605537
19799,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
19499,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
