GCCSA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
9OTER,1211,1194,2402,130,154,281,100,72,176,25,16,38,69,43,108,13,12,22,100,85,185,7,3,8,8,3,19,22,27,50,4,0,5,348,259,611,84,105,186,10,15,27,572,537,1109,515,231,750,2295,1970,4261
99799,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,3,0,6
99499,6,4,14,0,0,0,0,3,3,0,3,5,4,3,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10,14,21,0,9,11,0,0,0,8,21,29,3,7,5,21,32,52
8ACTE,88330,93519,181846,4839,4874,9712,13370,14123,27491,3328,3362,6688,3563,3525,7086,1113,1111,2228,1070,1064,2136,383,418,803,628,644,1266,38288,38576,76862,27,30,58,61771,62850,124620,14077,15185,29261,1165,980,2137,81850,83884,165732,11364,11130,22492,181533,188539,370069
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,35,29,64,14,10,25,33,30,64,7,10,18,6,11,22,3,0,4,6,3,4,0,0,0,4,3,6,71,51,125,0,0,0,134,116,243,29,27,61,7,4,8,180,155,336,90,38,130,306,223,528
7RNTE,23047,23183,46231,2229,2190,4416,928,933,1859,832,890,1725,1472,1310,2784,682,645,1333,491,462,953,104,116,220,3679,3750,7428,84,75,159,5,3,7,8282,8184,16463,1524,1716,3237,537,587,1125,12570,12672,25239,5849,4733,10579,41464,40587,82052
7GDAR,24727,23064,47789,1887,1839,3729,2397,1950,4347,2130,1896,4026,3707,2972,6680,1295,1194,2487,1979,1672,3653,260,236,495,12383,12097,24484,286,221,509,13,0,16,24445,22237,46683,5269,5434,10703,714,528,1242,32313,30043,62358,9717,6820,16532,66758,59922,126676
79799,39,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,8,0,0,0,4,4,8,14,3,19,61,14,70
79499,231,159,395,48,34,79,98,92,188,78,91,176,126,124,242,48,31,82,60,69,135,5,8,16,121,106,223,0,11,13,0,0,0,541,528,1074,71,95,166,9,3,13,666,657,1326,389,307,691,1286,1118,2406
6RTAS,78939,79822,158765,9958,10855,20812,1869,1927,3802,1848,1891,3738,2386,2531,4917,576,578,1154,1403,1454,2851,22004,24527,46527,259,280,534,129,112,236,7,9,18,30471,33295,63771,2370,2475,4844,683,612,1294,43474,47241,90715,10708,11007,21712,133123,138071,271193
6GHOB,57166,60773,117941,6040,6626,12672,1309,1433,2741,1493,1676,3164,1380,1564,2944,313,347,660,657,673,1330,21140,23030,44171,221,192,412,174,198,372,11,7,16,26694,29121,55812,3494,3824,7316,615,582,1195,36844,40154,76996,7263,7158,14425,101270,108089,209354
69799,21,13,37,0,0,0,3,0,3,5,0,4,0,3,4,0,0,0,0,0,3,3,4,7,0,0,0,0,0,0,0,0,0,16,10,24,7,0,7,0,0,0,25,8,29,3,0,5,49,21,68
69499,89,45,133,37,17,46,12,18,38,11,12,20,22,23,48,3,5,6,24,14,38,133,134,264,0,0,3,4,0,4,0,0,0,208,210,418,30,27,57,7,3,15,284,258,541,127,74,200,499,376,870
5RWAU,120394,113848,234247,27359,28059,55413,2504,1972,4476,2228,1971,4195,3798,2921,6723,1248,1003,2254,52062,50868,102934,630,567,1203,972,902,1877,110,99,211,33,33,74,63599,60338,123934,9055,9027,18082,1945,1760,3699,101951,99182,201131,30554,23375,53929,252904,236409,489308
5GPER,443462,458608,902063,49156,50778,99930,7723,7446,15168,7186,7149,14334,7037,6896,13931,2676,2562,5234,226906,234578,461485,1179,1229,2403,1690,1608,3294,789,808,1598,127,93,222,255310,262362,517676,77020,80198,157223,5937,5203,11138,387426,398538,785966,67613,61503,129117,898498,918654,1817151
