GCCSA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,3,3,0,14,11,16,8,0,0,64,0,0,0,0,3,4,0,10,0,13,0,0,7,3,17,6,9,9,3,50,0,0,0,0,0,0,3,3,0,12,4,3,4,14,8,11,3,17,3,66,0,0,3,3,4,0,0,4,0,20,0,0,3,3,4,0,3,3,0,19,3,6,3,5,5,3,0,0,0,32,3,3,3,5,9,3,8,4,4,43,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,7,3,4,0,21,0,3,0,6,0,0,0,4,3,15,3,0,0,0,4,3,3,3,0,17,3,0,0,3,4,6,0,0,0,12,0,3,3,5,4,0,0,0,0,15,0,0,0,3,0,0,0,0,0,9,0,10,0,0,3,3,0,0,0,14,7,3,4,0,9,3,0,7,14,37
3RQLD,813,1702,1442,2219,2909,5200,2804,16445,590,34124,2287,450,480,560,2176,2341,5934,17976,496,32679,1073,1327,1146,2077,10200,9932,7949,9935,459,44099,355,198,193,343,2303,2609,1462,2264,76,9796,2340,3239,3439,6284,11579,20371,11404,25403,1137,85193,359,635,503,752,3595,3802,2672,4336,127,16785,1083,7063,3741,4768,8510,5876,4225,7751,466,43488,839,8342,4259,4480,4828,3781,2693,6270,509,36010,1470,1738,1949,2936,5814,5899,4312,11060,561,35746,162,406,281,414,1391,1299,629,1217,55,5859,154,310,290,438,1492,2008,1016,2121,60,7883,169,649,503,733,1243,1835,1143,3176,102,9549,533,1650,1157,1530,3481,5543,2704,7198,169,23969,441,2098,1667,2189,2998,2741,1365,2897,252,16643,1594,1154,974,1536,10528,9047,5802,6013,425,37069,675,2535,1526,2996,4472,4302,2433,4649,241,23830,1001,1649,2166,3689,6439,6008,2308,4261,264,27796,248,1490,777,1058,1782,1449,724,1256,110,8892,490,1489,1154,1713,4544,5081,2779,5289,271,22806,997,1850,1393,1901,4215,4925,2159,5343,5199,27973
3GBRI,136,416,439,603,831,1112,548,1960,86,6136,510,121,132,185,914,1739,1272,4447,89,9409,943,1256,1410,2290,14625,12120,7997,9659,455,50761,242,137,162,296,1730,2691,1298,2020,59,8636,1761,2649,3072,5045,10835,21331,11450,23004,1010,80149,364,692,635,926,5132,5499,3318,4655,164,21385,954,7264,4527,4661,8776,6642,4233,7251,462,44770,665,8850,4908,3553,3736,3011,2024,4327,457,31532,1463,1695,2494,3789,9071,9043,6036,11493,669,45756,200,543,387,497,2390,2174,1110,1692,70,9073,293,375,482,618,3684,4413,2041,3720,76,15705,168,660,532,746,1540,2170,1215,3388,91,10495,811,2378,1974,2361,7055,13723,6179,12184,259,46926,432,2127,2353,2092,3377,3208,1512,2500,201,17804,1649,1065,1154,1719,12325,10423,6105,5707,378,40520,666,3797,1856,2867,5667,5309,2782,5087,244,28278,959,2098,2302,3691,7822,6698,2885,4885,293,31631,235,1561,760,919,1446,1473,667,1238,78,8371,411,1409,1205,1575,4611,4927,2731,4270,219,21355,721,1835,1548,1745,5532,6011,2230,4813,4895,29336
39799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
39499,4,13,14,43,31,32,15,47,3,204,12,0,0,0,8,5,6,38,0,71,9,0,3,9,31,20,18,21,4,112,0,0,0,0,4,7,3,13,0,25,25,17,18,27,32,53,18,82,12,275,0,0,3,3,11,9,3,7,0,40,5,3,14,7,11,14,8,17,5,87,5,15,11,27,18,23,8,30,3,143,11,9,10,18,15,16,12,34,6,130,3,0,3,3,0,0,0,6,0,15,3,0,0,0,4,3,0,0,0,12,0,0,0,3,3,3,6,3,0,20,9,5,0,3,12,12,7,20,0,64,3,11,5,10,15,11,0,13,0,72,6,3,4,0,19,18,7,10,0,75,10,10,7,6,8,6,3,8,0,50,3,4,6,7,15,13,3,12,0,70,0,7,4,6,5,3,3,7,0,39,0,6,6,3,6,12,8,4,3,52,10,8,5,10,18,28,4,31,63,184
2RVIC,1138,2088,1673,2449,3015,5443,2882,14228,645,33560,300,96,82,80,389,514,665,1936,53,4131,1130,1218,1233,1914,9188,9748,6482,6444,395,37742,363,197,207,309,2036,1953,1150,1332,82,7641,1594,1786,1909,3242,7566,15097,6331,10634,720,48881,285,495,446,515,1975,2371,1620,2228,80,10024,803,4889,2202,2501,5186,4099,2811,3977,363,26828,567,5348,1827,1738,1998,1686,1084,2724,291,17265,841,1089,1171,1428,2603,3522,2486,5940,353,19428,107,318,162,205,866,753,512,616,32,3567,124,164,154,221,943,1337,714,1021,38,4708,95,209,145,164,435,619,403,987,32,3098,348,951,738,1047,2067,3144,1673,2971,105,13046,275,1344,923,969,1421,1336,569,1026,124,7999,1068,745,655,950,4955,5412,2921,2624,176,19512,425,1571,1076,1356,3084,2692,1813,2936,149,15105,691,1291,1415,2481,3205,3291,1500,2119,166,16158,180,981,406,457,841,707,385,725,62,4749,324,892,606,839,2602,3239,1472,2454,145,12577,693,1172,801,942,2454,3030,1138,2440,3218,15896
2GMEL,248,668,673,723,1382,1763,770,1955,149,8327,204,93,66,68,331,705,431,1461,36,3394,2025,3333,3732,4764,32413,29779,16824,19989,1011,113873,300,324,365,486,3868,4373,2030,2871,135,14757,3366,4886,6352,9757,23179,48809,19439,33793,2169,151744,772,1776,1838,1967,10729,13228,6714,9396,319,46744,2033,16080,10074,8590,18241,16251,8981,14162,1075,95488,1371,16728,11338,6619,8507,7605,4737,9275,1064,67244,2226,3590,4878,6744,14934,18874,10687,17040,1214,80188,534,1401,1181,1388,6737,8535,3465,5085,232,28570,981,1076,1331,1847,9279,17348,6304,10802,363,49338,306,999,872,1021,2818,4172,2373,5558,169,18287,1806,5471,4557,5663,17073,34023,13525,24837,714,107676,837,4428,5005,4370,7662,7212,3095,4621,519,37747,1975,2331,2056,2683,14458,14642,7967,7128,481,53717,1093,8693,4206,4317,10717,10561,5651,9959,525,55715,1518,4089,4627,7143,11582,11245,5776,8447,574,54990,602,4784,2188,2356,3534,4293,1921,3530,260,23474,695,2755,2822,2974,8911,9914,4835,7367,496,40779,1522,4333,3920,3875,12223,13858,4753,8795,11620,64905
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
29499,3,0,3,9,8,10,3,7,0,45,3,0,0,0,0,0,0,7,0,7,8,3,5,8,23,26,7,14,8,107,0,3,4,0,3,7,0,4,0,17,5,12,10,13,22,58,20,41,3,182,0,0,3,3,11,8,3,0,0,35,3,5,6,11,15,18,3,10,0,70,3,15,17,14,22,19,12,13,3,116,7,4,0,6,18,25,16,25,4,111,0,0,0,0,4,0,3,0,0,20,0,3,0,0,3,8,0,10,0,26,0,0,0,0,3,4,0,6,0,13,3,3,3,3,10,21,7,15,3,71,3,7,10,4,7,4,5,6,0,52,3,3,3,3,15,20,17,20,0,78,4,7,9,6,3,5,3,6,0,44,4,5,10,11,6,8,3,6,0,51,0,10,4,4,3,12,3,12,0,41,0,10,3,0,7,12,8,14,0,54,9,3,8,4,19,10,5,8,27,94
1RNSW,1291,2566,2430,3241,4188,7431,3783,19104,817,44854,1111,297,415,589,3201,3533,5117,9415,347,24019,1298,1470,1637,2674,12658,12677,8031,9390,530,50372,385,195,256,510,3690,3146,1508,1842,117,11648,2355,3487,4273,6196,13240,24446,10066,19667,1207,84946,329,685,557,737,3072,3760,2506,4038,140,15828,1295,7641,4287,4763,9253,6618,4557,7243,554,46214,1019,9670,4155,4221,4507,3536,2220,5425,560,35314,1438,2289,2477,2931,5148,5668,3953,10222,569,34686,157,459,298,367,1326,1374,707,1031,33,5740,234,372,294,412,1716,2182,1052,1766,63,8093,186,549,381,434,925,1383,887,2125,67,6936,541,1832,1421,1802,3973,5874,2975,6161,226,24800,539,2459,1687,2121,2776,2840,1133,1962,258,15781,1864,1379,1320,1859,15187,9523,7307,5877,450,44774,824,3210,2061,2532,5560,5155,2753,5032,268,27394,1184,2233,3028,4400,7269,6650,2487,4324,356,31920,274,1485,638,751,1328,1125,550,1091,107,7336,552,1460,1153,1484,5104,5843,3113,5480,261,24450,990,1955,1424,1646,4371,4987,2010,3968,5544,26896
1GSYD,117,537,513,553,919,1221,573,1533,112,6067,169,85,105,100,553,810,512,1432,36,3806,1431,2649,3463,3422,23906,22531,12385,17955,806,88549,296,255,324,378,3455,4160,1722,2941,140,13667,3087,6147,8857,10296,20845,48776,20038,39878,2488,160415,701,1540,1859,1760,11455,14621,6820,10794,364,49920,2048,13515,11293,8532,18492,17353,8646,15376,1196,96447,1677,14955,14296,7518,10841,9656,5411,10953,1116,76421,2342,4152,5273,6991,16476,19711,10420,20287,1322,86980,641,1629,1337,1514,8369,11652,4783,7940,270,38142,1438,1575,1806,2761,14753,24233,10161,19405,557,76689,330,1278,1183,1175,3204,6029,2924,6718,194,23036,1894,5693,5534,5623,18226,39993,15350,31882,878,125065,829,4154,5202,4067,7533,8642,3280,5520,531,39758,2391,2026,2208,2690,21057,16363,10966,9969,677,68336,1212,9125,4298,3952,10656,10573,5052,9194,543,54601,1486,4346,5346,6249,13886,14677,5504,10072,599,62173,527,3410,1917,2044,3151,4077,1772,3285,252,20428,699,2918,2851,3049,8493,10660,5198,8804,541,43215,1499,4555,4836,4083,12092,15593,5053,9933,13571,71216
19799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
19499,0,7,9,17,8,9,9,20,3,79,3,0,0,0,5,3,8,12,0,30,4,6,8,7,37,26,21,13,5,134,0,0,3,3,3,4,0,4,0,23,12,24,37,35,49,97,38,55,17,359,4,0,0,0,9,13,3,7,0,48,14,3,9,11,27,28,11,12,3,119,3,20,41,21,37,32,7,31,3,191,10,9,11,11,23,23,14,40,6,152,0,0,5,0,13,3,0,8,0,30,0,0,3,3,11,12,3,8,0,42,0,0,0,0,3,6,5,7,0,26,11,6,16,11,16,45,8,21,0,135,5,15,11,13,13,16,6,4,0,84,10,8,5,3,16,26,23,35,6,134,3,15,3,5,13,9,3,6,0,61,4,0,14,13,18,15,8,7,3,83,3,10,4,6,14,6,3,7,3,62,0,5,5,8,12,20,3,9,0,71,7,20,11,8,23,32,12,22,50,174
