GCCSA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
6RTAS,255,425,376,555,823,1339,731,2360,127,6983,135,25,25,38,120,170,460,762,35,1771,242,278,299,469,1889,1603,1177,1180,61,7202,47,38,37,51,348,287,193,226,10,1240,258,317,350,662,1389,2468,1141,1431,103,8118,71,106,76,152,567,516,314,431,19,2249,147,855,434,489,1170,731,543,799,60,5224,116,894,358,331,371,280,213,480,40,3087,284,278,310,345,653,698,547,1210,68,4387,24,44,38,49,157,115,88,82,5,600,22,39,18,54,167,184,71,132,3,686,27,38,44,47,110,104,68,175,5,613,67,213,121,171,400,436,244,455,16,2134,53,258,171,208,279,212,116,189,34,1525,156,128,120,252,1030,581,337,337,32,2976,80,345,245,270,620,503,282,421,22,2789,131,254,311,504,686,520,244,421,31,3108,33,175,84,97,175,147,57,120,10,896,57,171,136,177,538,581,276,423,40,2404,144,212,143,198,467,480,197,384,584,2810
6GHOB,46,96,96,119,244,286,161,326,18,1395,21,9,6,3,16,38,56,106,0,264,118,175,175,213,970,997,645,572,35,3903,39,27,19,43,517,337,203,224,12,1421,172,259,276,510,1179,2250,825,1136,80,6683,33,80,65,69,344,296,178,225,10,1297,149,850,444,469,1008,643,472,597,54,4684,93,1020,415,378,420,348,280,516,36,3507,113,165,191,235,481,485,361,589,42,2665,29,57,40,63,312,255,143,138,9,1047,26,46,31,57,310,290,133,175,4,1062,13,65,37,33,111,105,86,150,4,606,74,254,176,278,711,827,430,626,23,3416,57,192,146,178,243,231,114,141,17,1309,227,138,165,326,1835,992,618,585,34,4929,85,397,236,296,696,632,317,533,26,3215,117,239,301,578,730,486,267,470,20,3214,34,212,113,149,225,194,111,142,16,1198,36,162,115,164,416,410,208,306,20,1844,79,151,118,155,310,339,125,220,359,1853
69799,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,0,3,0,0,0,4,0,3,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,7,7,3,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,4,0,19,0,0,0,0,3,0,0,7,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,15
5RWAU,684,779,723,911,809,2357,1465,7359,247,15336,1717,447,374,241,742,1394,3832,13295,370,22409,388,364,256,451,1553,1938,1981,2426,90,9450,137,53,47,99,579,477,463,702,28,2592,891,703,710,1243,2113,3761,2076,7121,241,18859,101,134,83,121,449,745,564,1119,27,3350,209,1191,532,647,1266,1160,787,1399,76,7268,216,1121,470,581,685,556,434,1347,96,5509,485,459,450,541,769,1276,1133,3005,132,8244,23,80,21,43,124,134,96,117,5,649,27,33,19,40,92,230,154,218,3,813,53,99,66,92,157,269,149,544,18,1441,157,253,173,240,433,688,371,1590,33,3934,156,432,266,376,352,442,257,793,40,3119,409,240,207,269,1555,1866,1131,1157,81,6909,142,335,248,407,826,910,519,800,46,4241,171,307,336,492,912,766,340,549,30,3891,92,153,89,95,234,253,84,183,16,1192,173,287,224,308,727,1133,697,1556,91,5192,349,443,246,332,631,1015,535,1606,1184,6352
5GPER,167,400,362,393,596,813,397,1121,47,4300,2839,679,653,552,2476,5369,4500,18987,442,36503,883,1241,1158,1484,10259,9492,6398,7255,284,38454,259,144,131,238,1712,1857,1238,1691,53,7335,2243,2932,3495,5236,10191,21867,10136,20746,1039,77889,364,630,570,728,3646,4678,2618,3459,115,16800,875,7088,4204,3497,6678,5566,3364,5670,387,37334,739,7837,4298,2644,3212,2837,1821,3699,365,27446,1128,1524,1785,2920,5243,6564,4470,7701,495,31836,138,563,316,392,1415,1804,731,934,53,6350,228,360,327,539,2060,3596,1548,2523,62,11245,165,588,410,510,1126,1697,970,2255,43,7771,829,2041,1662,2007,5663,11542,5148,8852,213,37960,448,1900,1989,1646,2237,2777,1281,2295,163,14740,1274,1189,1048,1186,8435,8572,4723,4503,269,31198,616,3096,1542,1770,4303,4570,2308,3799,185,22193,647,1775,1923,2485,5601,4858,2213,3393,219,23114,227,1679,725,840,1400,1307,657,1035,79,7951,462,1281,1110,1302,3786,4666,2441,4005,181,19244,876,1836,1516,1527,4453,6142,2436,4931,4031,27743
59799,0,0,5,0,3,0,0,6,3,21,0,0,0,0,0,0,4,109,0,121,0,0,0,0,0,0,0,3,0,11,4,0,0,0,0,0,3,6,0,10,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,4,3,37,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,46,0,55
59499,3,3,8,8,11,18,5,20,0,79,24,4,3,0,5,5,10,141,0,199,3,7,4,5,5,3,7,8,0,40,0,0,0,0,0,0,0,8,0,13,16,11,14,9,17,31,12,87,0,186,0,0,0,0,4,3,0,11,0,19,3,6,4,6,10,3,3,7,0,42,3,5,18,11,12,13,6,20,0,86,10,11,8,6,7,9,3,45,3,94,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,11,0,11,3,8,0,0,0,6,0,24,0,52,0,4,6,3,10,5,3,22,0,49,3,6,0,0,3,6,4,7,6,33,0,4,3,3,4,3,3,4,0,25,3,0,0,0,5,12,0,6,0,29,0,3,0,0,4,0,0,3,0,13,0,3,3,3,6,7,3,6,0,27,6,4,3,5,10,5,3,20,26,88
4RSAU,650,866,798,1261,1759,3058,1785,6699,264,17143,272,73,103,75,270,293,537,2251,58,3936,382,332,323,558,2672,2849,1916,1937,107,11060,63,51,46,79,348,385,221,256,17,1465,320,442,455,846,1718,2458,1250,2072,107,9675,101,119,97,143,516,849,470,642,34,2977,205,1122,510,674,1167,877,758,1060,75,6445,127,1019,371,464,387,296,245,691,70,3658,231,357,375,421,657,693,540,1699,109,5088,14,34,16,23,131,90,55,100,10,477,29,26,20,20,102,176,80,138,3,604,24,52,26,41,111,96,74,179,9,617,58,211,101,139,280,344,206,449,24,1799,88,340,232,308,400,383,202,314,28,2296,205,149,108,200,1395,944,617,485,39,4149,102,306,193,313,502,437,342,614,21,2825,122,258,281,478,697,389,199,377,29,2841,20,141,69,61,118,75,47,96,13,642,96,256,169,227,751,792,416,676,39,3416,169,259,168,216,485,500,233,521,744,3288
4GADE,164,446,327,484,824,849,492,1032,75,4685,326,70,78,82,366,592,478,1869,34,3898,651,1027,1037,1673,10674,7373,5258,4934,255,32879,167,145,124,219,1396,1466,891,1089,43,5541,1036,1768,1740,3312,6676,10733,5208,8668,482,39625,265,554,406,603,3192,2814,1913,2212,75,12036,717,5443,2668,3203,5651,3574,3012,3767,291,28328,426,5252,2423,2282,2013,1564,1399,2260,254,17864,701,914,1204,1882,4027,3446,2840,4266,242,19516,137,381,249,283,1559,1454,591,730,28,5411,201,229,237,424,2126,1938,1096,1442,42,7736,128,319,280,287,735,776,537,1076,38,4188,424,1414,966,1240,3921,5337,2605,4591,121,20620,257,1435,1230,1486,2200,1496,887,1092,115,10204,881,711,676,1152,7885,6196,3547,2721,192,23951,446,2225,1160,1363,3451,2979,1674,2948,115,16360,695,1571,1806,3149,5723,3034,1794,2698,178,20641,129,1022,415,591,706,712,346,564,53,4536,277,885,698,1002,3000,2765,1629,2106,109,12469,397,984,676,908,2440,2063,866,1605,2220,12148
