GCCSA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
69499,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,7,45,31,22,13,4,5,23,3,149
5RWAU,988,208,2799,1139,921,710,769,1079,84,8697,26,19,44,26,22,30,20,65,8,257,194,258,251,232,152,85,310,154,61,1698,652,319,1022,558,438,417,757,920,612,5693,19205,29770,34072,15540,13725,6736,10778,11872,2288,143989
5GPER,3558,971,11796,5342,4134,3417,2015,2905,316,34455,72,68,149,127,98,113,114,226,28,1001,961,1472,1043,1016,957,456,691,544,286,7421,1142,1241,2363,1450,1417,1180,1353,1696,2090,13932,77714,189034,110405,68251,72337,35190,26630,33679,9172,622406
59799,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
59499,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
4RSAU,732,106,2059,790,460,607,286,805,64,5912,19,10,16,17,22,10,13,61,10,176,141,112,112,104,81,40,142,132,48,903,591,230,532,425,261,347,417,778,329,3909,13889,18439,16507,12519,8691,4974,5189,8865,1303,90371
4GADE,2282,559,7860,3059,2238,2201,742,1981,192,21106,37,51,52,74,57,53,30,113,29,498,677,1044,518,727,743,335,425,398,175,5041,781,825,1360,1057,960,875,732,1194,1172,8955,47811,121148,59007,50089,46981,22994,13086,22192,5264,388573
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
49499,3,0,6,0,0,7,0,8,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,8,10,3,25,35,96,77,32,34,20,36,109,7,444
3RQLD,5314,1231,15767,7602,4896,4981,2450,4953,429,47618,116,97,144,139,100,160,87,238,40,1119,1085,1265,1037,1037,981,467,943,754,268,7833,2089,1418,3263,2219,1711,1983,2104,3484,2649,20917,82759,162063,130140,84605,72732,41928,34579,47721,9529,666057
