GCCSA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
9OTER,4,4,4,22,6,13,6,13,0,70,9,10,21,20,12,3,9,27,0,114,42,41,50,73,41,14,25,43,5,333,77,62,75,61,62,20,25,49,11,442,85,41,108,68,69,25,31,68,15,504,73,58,82,34,46,34,36,74,6,443,33,29,30,13,9,20,33,26,9,201,13,3,3,3,0,3,0,4,0,29,3,0,0,0,0,0,0,0,0,4,340,236,379,298,249,130,160,295,51,2151
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,11
8ACTE,461,382,879,2786,630,3670,207,1570,141,10736,1509,3409,2733,4558,3337,3122,427,1445,370,20908,6498,19264,6005,5032,8666,2521,938,2351,1305,52577,9520,17081,4211,3686,7982,1640,863,1798,1353,48137,9278,12700,3367,3242,7941,1487,1069,1571,1132,41795,4585,7672,1917,1879,4915,1094,884,1245,587,24780,809,1941,461,434,1055,366,269,325,161,5821,96,195,39,36,101,45,20,34,35,594,11,15,5,0,7,3,0,7,22,78,32758,62658,19620,21657,34637,13941,4684,10337,5123,205419
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,3,0,0,0,0,0,10,3,11,4,14,5,3,0,4,0,39,4,18,3,10,6,4,7,6,0,57,3,8,6,8,9,0,0,5,0,41,4,3,6,3,3,0,0,3,3,28,6,13,0,0,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,57,14,34,28,12,8,20,6,202
7RNTE,22,66,134,238,101,356,28,290,67,1306,108,333,415,492,301,209,104,460,119,2545,694,1841,1049,1447,853,391,339,751,266,7640,790,1614,790,1185,784,293,315,555,212,6536,1031,1505,721,1082,860,266,386,599,214,6668,812,1160,497,648,615,215,313,434,125,4817,197,237,121,133,140,48,87,123,35,1125,20,21,9,15,9,11,8,12,7,115,3,3,0,3,0,0,0,5,0,9,3682,6777,3740,5232,3673,1783,1578,3230,1050,30752
7GDAR,49,78,447,563,283,1096,93,522,69,3203,331,621,1334,1460,957,798,370,699,173,6740,1796,4257,4027,2688,2618,1116,1033,1693,368,19584,2323,3577,2843,1876,2403,822,864,1285,322,16319,2429,2825,2228,1372,2246,763,974,1144,285,14271,1505,1905,1209,752,1496,443,734,767,182,9000,323,460,227,141,364,138,164,169,63,2053,30,43,23,5,18,22,10,10,8,172,0,0,3,0,0,3,0,3,6,21,8798,13762,12336,8862,10396,5201,4239,6290,1475,71357
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,28
79499,0,0,6,3,0,0,0,0,0,18,0,4,12,18,0,4,3,23,0,75,7,43,23,32,0,10,9,32,3,169,9,30,12,12,8,5,9,16,4,97,7,18,26,9,9,6,20,23,0,111,8,8,17,7,12,3,13,14,3,89,0,0,5,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,108,104,84,34,32,63,104,15,574
