GCCSA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
6RTAS,2274,2237,1804,955,272,111,10848,913,1761,1979,2339,2068,869,182,47,10156,136,333,362,375,334,236,89,25,1895,795,1245,1011,770,537,370,84,27,4849,30,19,10,20,35,52,35,20,225,22,83,106,133,131,63,35,8,583,1502,1131,1265,1626,1825,2154,1589,796,11894,5428,10127,10759,11745,11340,7757,3647,1443,62252,73,337,454,455,453,371,116,33,2297,212,460,385,320,237,101,21,0,1733,1287,2858,3228,3939,4171,3136,1466,396,20479,733,1431,1101,1453,1620,1058,544,111,8052,446,918,1055,1010,698,397,173,37,4740,656,1896,1839,2433,2863,1727,702,232,12344,253,1347,1811,1962,2390,1824,829,211,10616,1303,3091,3323,3381,2911,1710,505,172,16396,1148,2184,2504,2992,2741,1403,352,80,13407,251,550,608,553,559,439,158,46,3164,1108,1779,1613,1297,968,662,208,44,7689,53,34,29,35,83,97,64,32,416,56,192,227,322,306,204,83,23,1414,3216,2401,2610,3500,3822,4175,2848,1272,23833,10800,19474,20787,23651
6GHOB,2312,1955,1447,732,291,169,10379,785,2090,2069,1987,1720,868,240,69,9830,184,525,462,369,282,193,85,28,2120,554,942,695,601,355,224,73,28,3466,29,14,12,9,23,42,25,16,165,39,137,152,133,117,63,22,13,673,1012,939,900,996,1107,1081,965,575,7586,4466,10671,10280,9706,8851,5524,2802,1321,53616,255,928,987,838,647,419,141,61,4279,312,891,642,405,248,105,16,3,2617,686,2031,2182,2510,2524,1956,1080,360,13327,535,1416,1083,1170,1134,678,371,136,6526,144,432,568,546,408,157,68,23,2343,558,2023,1911,2125,2138,1318,627,243,10941,172,1206,1476,1489,2108,1423,638,211,8716,1350,3947,3636,3342,2647,1516,595,270,17302,1115,2937,2922,2830,2580,1466,412,125,14383,314,903,766,629,489,356,142,44,3645,787,1498,1219,996,629,363,129,45,5665,62,35,29,23,43,69,45,18,322,89,250,324,280,262,146,71,33,1461,2123,2131,1958,2150,2252,2097,1704,869,15282,8504,20624,19713,19325
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,3,0,0,21,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,19,6,5
69499,13,4,5,0,0,0,29,3,9,4,3,7,3,0,0,27,0,7,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,12,7,17,6,11,0,0,60,20,47,35,38,46,18,7,0,208,0,7,0,0,3,8,0,0,12,0,3,0,0,0,0,0,0,4,9,17,11,10,9,7,0,0,59,0,3,6,0,6,4,0,0,20,4,3,0,3,0,0,0,0,16,3,7,8,10,11,0,0,0,42,0,3,0,3,4,3,0,0,19,8,11,10,5,7,4,0,0,47,3,9,10,12,12,3,0,0,47,0,10,6,4,0,4,0,0,21,9,12,0,3,0,0,0,0,28,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,7,34,44,34,37,18,13,6,0,186,67,127,93,80
5RWAU,4504,3816,2606,1334,448,114,19645,1208,2914,3042,2743,2402,1006,208,44,13568,293,713,671,511,373,250,102,27,2945,1106,2238,1695,1302,781,472,113,44,7754,69,52,30,37,46,56,54,20,369,56,182,198,235,138,75,20,4,912,3409,3918,3563,3896,3593,2874,2084,1163,24502,10449,23009,22627,20667,17364,9933,4561,1815,110433,250,1140,1302,863,652,381,108,25,4720,338,600,573,369,229,105,20,0,2231,3641,10766,10087,9541,7799,4652,1726,415,48630,1168,2990,2486,2465,2256,1367,603,130,13455,868,1881,2231,1929,1469,829,344,78,9631,973,3758,3906,4056,4257,2363,975,247,20542,753,3270,4231,4309,4107,2110,723,154,19658,2440,6309,6423,5651,4121,2315,716,183,28158,1590,3781,3958,3620,3185,1529,350,84,18102,484,1041,960,752,610,421,145,37,4445,1426,3183,2796,2285,1394,833,232,73,12228,125,88,66,69,83,103,91,32,659,125,441,520,580,407,197,90,24,2378,7715,10131,9277,9457,8229,6036,3924,1881,56648,21898,49371,48832,45940
5GPER,25992,19853,12207,6671,2723,999,105519,6447,17582,15987,12954,9814,4758,1283,330,69166,2867,5876,4025,2530,1457,976,421,151,18303,5044,9410,6529,5224,3062,1920,573,242,31994,258,171,145,131,172,232,193,70,1374,435,1243,1136,962,643,331,177,53,4986,8855,11768,9131,8437,7597,7124,6970,5888,65772,45724,116940,101267,83722,61287,36179,18696,9756,473572,3383,8969,7983,6385,4371,2601,790,256,34745,2360,7920,7448,4116,1951,587,86,7,24477,12104,37194,34801,32610,26610,17702,8319,2242,171572,5048,13738,10127,9365,7163,4930,2769,698,53832,1165,3573,3556,2767,1810,1092,476,128,14577,7005,23629,19664,18071,14516,8332,3903,1259,96373,3092,12259,14486,15315,14259,8117,3339,931,71798,13671,45126,42110,34037,21966,12859,4902,1576,176246,9547,24840,22336,18347,14418,7715,2312,600,100115,5028,9540,6494,4111,2657,1648,682,227,30385,6590,14403,10313,8331,5036,3101,1052,359,49185,562,331,286,269,299,372,326,115,2556,808,2459,2412,2258,1525,857,467,170,10954,19124,26980,21348,19309,16107,13860,12114,8540,137378,89482,230955,203347,175294
59799,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,3,5,0,3,0,0,0,0,22,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,46,51,38,13,3,0,0,163,0,15,0,3,3,0,0,0,22,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,12,0,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,0,8,6,4,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,27,22,21,8,0,0,0,82,11,106,100,83
59499,36,26,46,23,0,0,231,10,48,15,19,37,9,0,0,135,12,25,3,4,5,3,0,0,50,10,29,17,10,22,5,0,0,96,0,0,0,0,0,3,0,0,6,0,0,4,3,3,0,0,0,13,84,151,100,103,74,55,12,5,583,184,440,223,218,263,136,25,7,1493,12,26,18,10,10,3,0,0,73,4,13,10,5,8,5,0,0,45,35,161,90,111,110,70,9,3,593,14,65,42,23,35,18,0,0,197,8,22,16,12,17,12,0,0,82,15,67,23,30,46,25,4,0,205,10,30,16,13,42,26,3,3,138,35,101,57,43,68,41,8,0,354,22,73,26,28,42,16,0,0,212,15,38,10,12,9,10,0,0,85,15,45,31,23,30,10,3,0,161,0,4,0,0,0,3,0,0,13,3,6,11,10,3,4,3,0,44,181,382,320,360,212,130,26,8,1601,374,1033,673,680
4RSAU,3070,2660,1965,974,326,125,13103,1076,2233,2380,2774,2326,1084,196,37,12117,147,336,323,223,223,116,53,24,1449,884,1407,1181,917,617,477,135,31,5653,24,32,32,41,36,58,56,33,323,39,77,109,128,58,68,28,22,522,1946,1538,1591,2120,2371,2441,1972,1436,15408,6737,13142,13473,14132,13575,9044,4127,2159,76399,85,471,498,444,442,376,91,28,2436,167,311,305,219,186,103,17,5,1302,1899,4521,4584,5414,5503,4472,2115,579,29086,663,1374,1096,1309,1473,1213,582,148,7863,714,1571,1950,1664,1151,689,222,97,8057,752,2266,2307,3252,3970,2127,824,270,15769,509,2107,2149,2043,2814,2322,657,187,12794,1481,3805,4274,4015,3331,1980,634,211,19725,1335,2891,3014,3460,3118,1656,379,74,15931,238,493,455,366,387,255,101,44,2335,1217,2097,1870,1514,1118,818,258,57,8953,48,66,53,66,71,95,87,55,540,105,201,250,346,230,232,95,46,1511,4308,3944,4023,4913,5121,5029,3691,2223,33257,13505,26117,26842,29030
4GADE,15888,12301,7811,3899,1370,656,63928,4894,12169,11736,10616,8351,4195,1041,285,53281,1391,3205,2463,1739,1074,696,306,133,11019,3252,5293,3901,3394,2058,1469,474,186,20029,166,96,99,164,127,195,179,92,1112,202,802,923,652,443,285,131,81,3521,4942,5283,4544,4875,4881,5051,4809,3903,38291,27275,69023,62332,54667,44808,27560,13016,7325,306005,1474,4696,4536,3605,2935,1921,700,214,20083,1303,5183,4758,2717,1585,496,74,9,16123,5368,16501,16339,18051,15663,12529,6828,2459,93739,3212,6994,5169,5283,4581,3256,1909,629,31031,961,2447,2317,2061,1456,745,280,101,10368,4538,16098,13918,13580,12800,6660,2881,1228,71692,1610,7677,8067,7919,10251,7727,2452,902,46602,8259,27306,26909,21725,15055,8572,3073,1194,112093,7052,17579,16824,15248,12542,7098,1978,580,78899,2618,5723,4277,2973,2046,1271,501,189,19602,4588,8267,6285,5347,3341,2329,803,281,31228,306,169,172,230,212,289,290,129,1806,459,1620,1819,1473,1115,741,354,180,7774,10418,11452,10151,10679,10066,9386,8205,5884,76231,52158,131717,121543,110892
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,10,15,18,11,0,0,98,9,21,12,21,12,8,0,0,80,3,4,3,3,0,3,0,0,22,5,10,4,10,3,3,0,0,38,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,31,41,41,51,25,15,10,0,211,72,153,92,129,92,47,10,4,604,3,13,3,9,3,3,0,0,32,0,5,3,0,0,0,0,0,11,22,61,33,28,42,36,10,5,229,3,22,11,13,10,13,3,0,83,3,10,7,9,3,8,0,0,40,4,25,17,25,18,3,0,0,92,0,11,7,11,12,13,0,0,51,16,60,14,25,28,16,0,3,167,16,36,16,28,19,15,0,0,130,8,14,9,8,0,5,0,0,43,15,20,14,6,9,3,0,0,66,0,0,0,0,4,0,0,0,10,3,0,3,10,0,0,0,0,18,87,112,127,152,89,49,12,3,630,185,393,264,317
3RQLD,25809,22246,15473,7880,2540,801,112356,8188,16236,17117,16136,12968,5814,1219,221,77903,2177,4280,3720,2677,1812,1155,471,163,16463,7802,11081,9402,7623,4518,3026,746,253,44456,336,150,136,180,215,305,251,150,1718,309,819,1146,1005,736,402,187,60,4666,14335,13811,13257,14439,13742,12872,10111,7083,99654,56636,108671,109183,102650,82684,50228,23194,10990,544227,1537,4023,4249,3645,3044,2181,762,183,19632,2114,3812,3942,2553,1710,763,121,13,15025,12796,33221,33674,35925,32882,25154,11592,2981,188219,4970,14583,14633,14218,13745,9261,4171,928,76519,2481,5284,6430,5596,4077,2140,892,219,27108,7205,21661,21030,22641,20472,11134,4796,1436,110369,3161,14056,18315,18757,17581,10945,4040,1016,87866,16305,36987,38101,34229,24982,14303,4768,1358,171030,11820,22018,23120,21734,17747,9273,2441,458,108615,3832,6700,5659,4135,3066,2122,838,244,26602,10858,16559,14822,12242,7649,5190,1506,419,69250,635,313,247,326,420,530,435,227,3141,834,1961,2591,2684,1962,1222,631,201,12083,30854,31223,29736,31793,29446,26320,18653,10890,208916,109408,212410,216546,210481
3GBRI,32282,24794,14500,6462,1957,778,130416,9874,22064,20876,16539,11955,5587,1192,310,88394,4391,7514,5207,3348,1785,970,417,176,23810,6989,9737,7036,5181,2949,1902,523,193,34503,476,173,148,150,187,234,245,100,1707,522,1296,1606,1260,823,438,153,86,6186,11020,12578,10086,9755,8552,7711,6599,5955,72245,60964,132849,119834,98347,69742,39457,17510,9655,548372,3080,8212,7358,5841,4070,2576,825,226,32189,3842,10312,10636,5942,2648,787,104,8,34271,10285,32036,31351,31625,27045,19097,8989,2545,162974,5207,15226,12736,11090,8930,6110,2891,796,62991,1458,3422,4018,3180,2136,1154,453,116,15944,8204,25890,22814,21130,16510,9229,4005,1369,109155,3052,13547,17216,16838,15256,9652,3532,866,79954,22650,57244,53544,42674,26537,13042,3937,1320,220934,15187,31945,29999,24025,17694,9203,2428,606,131092,7857,12679,8472,5405,3128,1700,736,261,40238,9868,14876,11267,8242,4837,3208,960,313,53580,940,401,268,272,326,392,381,153,3129,1050,2770,3339,2841,2005,1178,462,214,13866,23612,27583,22846,21474,17858,15256,11636,8672,148944,116290,256134,235871,200591
39799,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,16,5,6,3,8,9,3,4,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,0,3,23,10,11,12,8
39499,75,70,102,54,11,0,520,62,123,50,62,94,29,6,0,419,37,58,14,13,4,16,0,0,143,40,38,21,23,34,29,0,0,193,3,0,0,0,0,0,0,0,7,4,3,6,3,8,3,0,0,25,151,225,135,153,201,119,40,9,1035,452,785,391,435,655,377,77,11,3183,20,48,13,12,17,16,0,3,130,11,18,13,17,15,4,0,0,87,47,185,114,148,224,223,52,7,989,28,89,54,52,81,87,18,3,415,19,41,27,29,20,18,3,0,156,50,133,53,81,141,86,10,0,542,12,46,25,40,81,66,13,0,281,120,214,114,117,166,105,21,0,854,95,180,71,78,123,64,5,0,616,51,91,26,14,15,19,3,0,218,57,76,52,43,60,47,0,0,340,5,3,3,0,3,0,0,0,16,13,9,15,9,19,10,3,0,71,318,579,474,447,461,311,94,18,2696,839,1709,1058,1085
2RVIC,12472,10590,7573,4001,1325,642,52035,4878,9962,10956,11456,10224,4901,907,238,53525,1039,2386,2246,1740,1347,820,305,134,10022,4078,6653,4769,3907,2646,1929,594,193,24779,128,99,67,90,130,183,166,63,919,161,527,836,745,579,326,140,63,3383,7903,6277,6741,8274,9274,9823,8532,5626,62449,29061,60546,61505,60407,56710,37948,18442,9183,333815,931,2199,2926,2234,2225,1523,437,142,12610,853,2516,2268,1553,1220,531,49,14,9011,5848,14895,15540,19235,18858,15151,6809,2140,98474,4271,9537,7583,7281,7086,4651,2306,640,43352,2037,4981,6029,5790,4258,2393,962,288,26730,4123,13707,12537,14118,15165,8870,3827,1293,73635,2103,9085,10189,10372,13675,10634,3785,1026,60876,5734,17099,19033,16920,13434,7821,2521,979,83539,6655,12885,14162,14837,13664,7365,1730,392,71688,2022,3881,3607,2659,2338,1553,518,196,16771,5394,9645,7438,6263,4490,3110,1101,337,37784,248,183,124,180,213,328,277,117,1681,384,1179,1803,1700,1479,955,407,175,8081,16921,14474,15052,17996,19229,19534,15333,8728,127271,57525,116274,118303,121121
2GMEL,65896,45955,26008,12698,4504,2392,254447,16221,47326,43585,35660,25258,11735,3083,942,183817,8553,20952,13172,7719,4271,2207,958,440,58274,9715,19962,13742,10876,5804,4211,1225,530,66062,777,347,259,354,378,512,412,154,3189,1826,4905,4993,3705,2383,1290,496,233,19827,20608,27071,20896,19219,17017,16255,14346,11052,146458,105594,299447,248640,194393,137369,81197,39519,20696,1126854,8761,19935,18135,14246,10157,6042,2147,744,80162,6620,34991,32666,14920,6936,1938,245,49,98377,16510,59158,56502,58223,48045,33646,17755,6134,295972,12183,32931,23854,20576,14020,8554,4864,1393,118373,2626,7330,6975,5414,3321,1589,680,209,28154,13355,53845,41540,35846,28614,16067,7904,2840,200019,6246,31179,30020,30134,30972,20418,7896,2257,159116,37434,133296,115589,83276,51163,26800,9452,3973,460992,24232,67904,61318,50879,37759,19565,5751,1682,269085,15002,36388,22779,13137,7718,4087,1637,656,101396,13762,33237,22158,17009,9319,6198,2195,804,104677,1551,812,545,633,694,811,699,234,5977,3040,8683,8893,7080,4747,2687,1146,531,36795,42854,56472,44448,40147,34194,30789,25312,16656,290876,204172,576154,485427,391515
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5
29499,37,27,36,12,3,0,259,42,101,52,30,25,11,0,0,264,19,51,21,11,4,0,0,0,101,25,35,23,13,8,0,0,0,101,3,0,0,0,0,0,0,0,3,4,7,3,6,8,3,0,0,27,139,200,151,89,76,40,13,11,711,348,640,356,230,211,95,23,16,1920,19,43,19,12,9,6,3,0,118,8,41,18,5,4,3,0,0,80,32,123,61,59,50,46,10,0,387,22,68,37,27,24,6,4,0,196,12,28,14,13,8,3,0,0,78,31,91,39,30,32,13,0,0,247,16,38,28,18,35,18,3,0,154,83,182,85,54,53,21,3,0,481,50,147,71,50,48,21,3,0,391,25,79,35,19,11,0,0,0,170,29,54,39,26,18,3,0,0,171,3,0,0,0,0,0,0,0,5,13,10,15,9,8,3,0,0,63,318,513,501,337,227,113,32,9,2040,650,1413,971,670
1RNSW,27091,27090,22471,13796,4670,1703,131361,7877,17698,18822,18742,15921,7357,1855,390,88656,1888,4413,4292,3530,2742,1806,754,227,19653,6622,10282,8375,6975,4569,3103,834,386,41137,321,151,114,184,224,341,375,170,1884,358,796,1114,1168,931,605,253,99,5328,13962,11445,11933,14644,16261,17203,15849,11523,112817,52715,107724,112456,114608,109257,70808,35746,18130,621443,1337,4195,4795,4395,4470,3435,1124,308,24057,1755,4472,4176,3310,2544,1202,208,27,17689,11556,31330,32035,38089,38658,31253,15478,4813,203216,5726,13524,13468,14454,14078,9914,5049,1330,77531,3231,7031,8628,8494,6889,4424,1816,449,40952,6890,22283,22382,24833,27516,15028,6599,2223,127740,3373,15848,18399,18606,25144,15926,6046,1608,104957,13580,34772,39156,39466,33924,22392,7692,2474,193455,10361,23783,25803,25953,22860,12373,3636,838,125614,3303,6998,6464,5317,4602,3104,1214,363,31367,9125,15539,13440,11015,7858,5591,1867,658,65087,622,313,241,330,415,590,600,270,3377,810,1762,2501,2786,2353,1632,778,299,12921,30408,26702,26892,31800,33930,34137,28277,17391,229530,102064,208548,218373,228847
1GSYD,84148,62402,39243,20993,7046,3464,337605,16541,48246,44465,35271,24641,12064,3470,1019,185713,8697,22660,15746,9905,5374,2724,1194,467,66758,8478,17232,13644,10415,5703,3781,1105,521,60876,763,432,312,440,571,563,412,188,3674,1392,3992,4339,3463,2192,1206,515,185,17281,21570,30419,23416,20633,18286,16488,14486,13242,158543,108224,313686,270237,214499,156878,92234,43565,24551,1223874,6489,18109,16930,15323,11444,7123,2713,802,78937,7041,36300,36581,16940,7485,2080,285,49,106751,15334,57704,57661,61501,53704,37464,19540,6886,309790,9938,27905,26151,22846,15675,10114,5405,1563,119597,2259,6219,6533,5502,3900,1851,895,266,27429,12813,49597,40363,36119,31013,17527,8600,3265,199301,7387,31363,30338,28807,31259,19805,7910,2503,159370,43537,164327,144621,107873,70950,39639,13364,5374,589681,24061,72248,66104,54057,39937,21657,6943,2033,287044,14425,37038,25905,16035,9372,4853,2037,706,110388,12034,28733,22288,16656,9352,6168,2186,807,98220,1593,962,689,799,941,925,677,273,6867,2440,7141,7920,6735,4564,2666,1179,495,33136,45738,64271,50433,43750,37183,31804,25400,19570,318145,205082,601925,532508,432951
