SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED60303,2386,1499,943,417,15172
SED60304,3178,1942,842,447,19562
SED60305,69,25,4,0,251
SED60310,2375,1748,783,342,13244
SED60402,305,143,76,44,1755
SED60405,3567,2486,963,219,17418
SED60410,764,638,363,146,5284
SED60411,2808,2225,1349,599,16857
SED60413,1854,1041,375,122,9523
SED60501,1991,1639,656,201,8850
SED60502,1516,1031,440,91,8835
SED60512,1061,855,367,79,4724
SED60513,1537,1044,426,145,7676
SED60514,2794,2130,874,257,14195
SED69494,78,50,10,0,517
SED69797,5,7,0,0,44
SED70001,205,52,14,4,1875
SED70002,868,311,117,32,6054
SED70003,340,100,21,4,3298
SED70004,431,206,49,0,2917
SED70005,368,136,58,8,4247
SED70006,955,366,97,28,5487
SED70007,385,116,57,27,3997
SED70008,581,370,139,49,4983
SED70009,675,382,75,10,4043
SED70010,503,226,77,18,3917
SED70011,642,381,163,59,5025
SED70012,603,239,56,14,4773
SED70013,849,393,77,14,4751
SED70014,522,323,114,18,3852
SED70015,588,226,60,13,3549
SED70016,701,334,130,21,5105
SED70017,598,256,69,29,4400
SED70018,979,385,80,25,7474
SED70019,424,116,16,0,2861
SED70020,675,366,99,23,4974
SED70021,779,316,82,18,6899
SED70022,647,329,81,18,4061
SED70023,492,177,34,7,4721
SED70024,272,85,25,3,2202
SED70025,584,256,88,8,4395
SED79494,284,173,22,0,1635
SED79797,3,0,3,0,60
SED80001,6336,2907,1087,436,34499
SED80002,5230,4197,1854,720,41968
SED80003,6655,4319,2031,1215,51553
SED80004,6624,5381,2759,1024,44117
SED80005,5280,2718,846,165,47174
SED89494,57,17,3,0,339
SED89797,0,0,0,0,0
SED99191,416,232,97,26,2337
SED99494,4,4,0,0,31
SED99797,0,0,0,0,4
