SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED10017,0,5,0,596,149,22,13,138,21,81,12,53,15,70,388,958,11,0,10,13,0,10,0,3,3,11,22,81,1662,320,89,2704,329,1604,114,444,108,887,427,8694
SED10018,4,19,0,1144,134,23,11,158,17,64,9,36,14,60,463,983,8,0,0,12,0,10,0,3,0,13,23,70,1678,373,61,3226,335,1313,99,388,87,684,501,8741
SED10019,0,9,3,193,112,38,9,135,16,77,11,51,10,97,326,877,9,4,0,7,0,4,0,4,8,20,10,66,1178,384,60,1698,184,1070,100,481,105,862,355,6485
SED10020,0,10,0,387,134,36,4,136,15,75,10,43,6,76,370,912,6,3,6,10,3,0,0,0,3,17,21,62,1463,433,51,2152,205,1133,88,435,74,685,413,7141
SED10021,14,39,0,3386,151,20,11,137,18,90,13,25,4,35,536,1037,10,0,8,11,4,6,3,0,0,7,10,57,2218,301,65,2664,418,1556,73,312,65,384,561,8611
SED10022,0,9,0,336,208,20,8,204,19,88,8,21,10,67,343,1008,12,0,6,12,3,7,0,0,0,12,22,77,1529,258,90,2178,235,1001,81,298,90,647,382,6783
SED10023,13,44,3,2803,198,36,11,264,18,104,20,53,13,67,521,1297,13,0,8,28,4,5,3,3,3,10,18,96,2311,333,89,3722,387,1503,110,390,85,507,554,9982
SED10024,17,111,3,5028,239,35,5,255,7,164,9,40,18,90,802,1669,15,7,10,27,7,12,0,3,3,5,23,116,3138,411,76,3904,286,2451,77,515,85,821,835,12590
SED10025,10,50,6,2929,164,36,3,153,17,92,4,24,9,94,493,1100,7,0,10,10,3,6,4,0,3,8,16,70,2551,343,67,2780,381,1895,93,443,81,826,528,9990
SED10026,4,6,0,585,199,34,11,194,16,90,8,30,6,61,506,1150,9,0,9,4,0,7,3,0,3,15,23,84,1997,285,76,2384,292,1247,88,272,84,544,550,7832
SED10027,3,54,3,1264,147,19,21,141,20,103,13,57,15,141,401,1073,12,0,13,9,7,11,0,3,9,16,41,115,2459,381,87,2674,318,2195,88,719,110,1318,479,10829
SED10028,8,49,0,3601,201,34,5,197,16,137,4,44,26,88,725,1482,8,3,4,13,5,9,3,3,0,9,23,78,3424,459,71,3378,300,2685,75,643,113,953,759,12861
SED10029,4,48,0,427,104,25,11,78,7,162,3,67,31,272,405,1169,3,0,3,3,0,3,0,9,7,63,85,172,1461,323,70,1244,156,2430,59,1157,213,3435,549,11107
SED10030,0,12,0,613,114,21,10,150,23,76,8,38,14,80,339,873,9,3,10,17,0,0,0,0,3,9,21,74,1414,314,77,2286,263,1530,87,406,119,687,377,7559
SED10031,3,23,0,900,211,24,9,189,21,95,16,26,7,61,394,1069,10,0,8,16,0,5,0,3,3,9,19,82,2055,334,88,2506,313,1219,130,349,93,534,434,8062
SED10032,11,47,0,814,107,15,5,77,13,148,3,87,46,184,526,1227,3,3,3,10,5,3,3,0,17,34,57,136,2043,375,84,1951,244,3112,94,1140,264,2199,624,12134
SED10033,6,26,0,1298,240,24,7,234,23,132,14,36,18,63,366,1157,30,4,16,19,3,6,4,3,3,5,21,123,2510,336,95,3221,305,1736,93,348,107,558,412,9724
SED10034,5,31,0,2052,209,24,10,241,18,106,12,48,10,62,452,1200,12,3,4,23,6,5,0,0,3,4,15,81,2667,355,94,4390,433,1682,118,399,92,567,473,11275
SED10035,10,32,0,1720,113,5,9,70,13,50,6,25,6,63,429,798,10,0,3,10,0,8,0,0,4,5,18,65,2043,271,68,2076,401,1567,73,444,74,761,475,8246
SED10036,13,46,0,1437,204,21,15,144,24,137,11,43,29,144,561,1321,8,0,9,16,0,15,4,7,8,18,34,114,3245,353,98,3003,391,2650,108,713,186,1545,624,12910
SED10037,12,33,0,2715,250,35,11,238,19,108,12,58,14,64,545,1363,13,3,3,25,3,8,0,4,3,3,20,84,3090,448,77,3852,366,2288,98,525,121,691,578,12125
SED10038,8,20,3,1554,164,23,4,207,19,102,3,34,19,81,483,1142,9,0,4,10,0,4,3,0,4,11,17,61,1989,380,73,3475,363,1579,110,414,105,821,511,9826
SED10039,0,5,3,775,164,27,8,186,21,85,17,44,17,61,432,1067,6,4,10,4,0,11,0,3,3,9,13,66,1636,334,73,2763,298,1292,106,430,100,606,477,8110
SED10040,3,51,3,1184,150,34,21,119,19,128,12,55,19,138,530,1226,3,3,8,16,3,5,0,3,4,4,39,96,2467,483,104,2562,304,2518,94,929,159,1358,591,11572
SED10041,17,90,5,4581,203,33,12,216,18,158,5,48,13,71,768,1534,19,3,3,21,8,9,3,3,9,11,23,101,3116,389,66,3460,352,2662,80,513,80,733,795,12245
SED10042,3,3,3,640,143,19,13,163,11,86,8,38,13,85,398,973,11,3,3,10,3,6,3,0,4,14,10,71,1512,280,56,2513,241,1301,103,424,91,788,431,7750
SED10043,6,55,0,570,93,32,22,86,14,160,8,72,44,227,573,1322,3,0,8,8,0,10,0,10,9,36,83,168,1416,442,92,1714,188,3254,93,1562,283,2650,718,12414
SED10044,17,70,3,4123,185,30,10,188,23,124,10,45,12,63,609,1289,22,0,15,12,5,10,0,0,3,3,18,93,2880,323,83,3218,377,2109,84,444,84,600,637,10833
SED10045,3,9,3,283,130,38,6,134,12,70,8,42,11,64,310,826,5,0,3,7,0,3,0,0,7,13,18,73,1380,422,67,1877,172,980,91,500,84,721,345,6643
SED10046,7,34,0,697,148,29,17,124,19,163,3,52,28,231,445,1272,5,4,10,8,0,3,0,6,4,30,56,140,2368,378,100,2085,249,2786,82,967,229,2507,552,12301
SED10047,3,26,3,655,161,16,7,116,18,136,12,48,30,135,381,1065,17,3,10,15,3,16,0,6,9,26,52,144,2511,282,95,2382,379,2458,90,569,184,1217,488,10652
SED10048,5,27,0,925,198,25,14,128,24,150,4,53,27,136,445,1207,25,4,6,6,7,11,3,3,5,27,37,135,3001,393,101,2627,360,2967,93,757,191,1255,512,12266
SED10049,3,13,0,959,162,20,10,189,9,89,5,34,10,57,551,1146,10,0,5,17,3,3,0,3,3,12,17,68,2017,309,75,3120,348,1778,96,420,119,666,578,9517
SED10050,26,69,3,4094,184,32,12,223,18,132,3,45,7,53,626,1328,8,0,5,15,4,16,0,5,0,4,14,74,2254,368,72,3541,429,2130,79,428,79,433,661,10473
SED10051,4,45,5,2331,189,34,7,198,10,104,4,49,16,94,515,1221,18,0,7,14,0,3,3,0,4,13,19,82,2610,396,99,2880,349,1671,83,422,86,808,557,9964
SED10052,11,47,0,2307,167,29,18,183,12,95,11,49,13,70,458,1106,15,3,5,24,3,5,4,4,0,16,12,88,2518,366,88,3657,358,1716,94,453,94,680,480,10490
SED10053,4,10,3,1629,249,28,14,154,33,77,5,23,10,42,510,1147,15,3,3,12,4,3,3,0,4,6,26,79,2982,289,113,2535,436,1239,103,290,93,415,552,9047
SED10054,6,29,3,714,216,22,15,122,20,173,9,60,29,149,426,1232,5,0,12,9,3,10,0,3,8,27,56,130,3150,348,106,2231,329,3060,99,848,172,1638,522,12505
SED10055,11,45,4,1736,257,23,11,230,13,146,12,47,16,97,454,1314,16,0,11,18,3,9,0,0,13,14,45,143,3622,339,100,3546,439,2482,101,555,157,958,526,12817
SED10056,3,8,0,472,259,23,15,243,29,88,11,24,13,62,422,1197,14,3,13,20,0,4,0,3,3,21,29,121,2027,285,90,2759,309,1286,106,318,104,630,502,8423
SED10057,4,3,0,199,117,33,14,132,5,61,16,34,15,83,308,810,7,0,3,10,0,0,0,0,8,21,21,76,1004,351,63,1559,163,837,90,465,105,825,366,5830
SED10058,7,20,0,1172,116,17,4,108,18,53,5,30,9,39,428,814,9,0,4,8,3,3,0,3,0,5,14,50,1323,298,51,2233,280,998,66,298,71,475,441,6527
SED10059,10,9,0,1602,70,8,0,56,7,42,3,8,5,28,241,466,10,0,3,3,3,4,0,0,0,0,8,28,1287,185,44,1424,272,757,44,187,45,325,261,4819
SED10060,20,88,0,3320,91,33,8,106,10,124,3,37,11,46,532,1014,4,6,0,12,0,3,0,0,5,0,12,52,1732,233,65,1917,350,1781,55,300,77,376,547,7434
SED10061,0,8,0,407,225,23,13,164,13,77,9,28,9,63,423,1050,13,3,7,13,0,9,0,3,3,18,22,84,1759,289,91,2113,217,1091,93,354,88,719,470,7274
SED10062,10,51,0,2105,173,34,11,162,25,108,10,44,11,87,500,1165,14,0,13,9,4,3,3,0,4,9,23,78,2527,447,99,3026,326,2064,98,634,103,944,538,10804
SED10063,6,4,0,723,200,22,3,191,16,76,14,29,4,57,451,1070,13,0,7,9,0,7,0,0,4,17,21,79,2039,261,78,2689,333,1275,96,323,88,563,500,8229
SED10064,4,7,0,191,95,34,3,138,14,65,5,46,11,97,289,800,4,0,3,4,0,8,3,3,6,17,29,74,1098,397,62,1590,169,915,94,521,99,863,349,6158
SED10065,5,35,3,1350,151,18,11,112,8,97,3,46,24,94,644,1216,16,0,7,7,4,4,0,0,0,11,40,88,3008,467,91,2766,379,3621,84,872,183,1321,723,13512
SED10066,9,15,3,1065,151,19,13,152,18,95,4,45,8,75,312,892,12,0,5,14,3,3,0,3,5,15,22,76,2422,263,88,2779,375,1930,74,376,110,658,350,9434
SED10067,9,44,3,2584,226,47,8,267,21,89,8,58,7,59,549,1337,8,0,13,22,3,3,4,0,0,4,12,73,2183,456,100,3576,274,1426,98,404,85,488,576,9665
SED10068,3,9,3,446,109,32,7,125,11,60,5,37,10,64,359,810,10,0,5,14,4,3,0,4,3,13,10,66,1416,343,65,2011,172,982,81,371,72,648,378,6533
SED10069,4,10,0,534,131,35,3,158,12,101,8,42,13,78,485,1063,8,0,5,11,4,3,3,6,0,6,13,54,1410,320,85,2202,218,1252,76,404,94,682,526,7267
SED10070,11,40,0,1070,156,29,8,114,14,153,5,54,28,164,457,1190,13,0,7,12,6,3,3,3,9,30,60,144,2843,362,82,2467,306,2600,73,770,190,1918,557,12172
SED10071,7,28,4,2273,259,22,12,173,26,136,13,36,14,80,598,1379,18,0,8,16,0,8,0,0,4,6,33,98,4782,378,116,4085,513,3218,119,533,136,739,657,15282
SED10072,6,48,0,1286,152,28,7,146,17,102,10,55,21,115,497,1142,11,4,8,6,0,5,0,0,4,13,36,91,2199,412,84,2373,344,2008,87,640,159,1085,555,9942
SED10073,9,62,0,2074,137,31,13,130,9,87,3,47,18,98,560,1126,7,0,3,17,3,5,0,0,6,3,27,73,2759,434,88,2802,388,2638,95,674,134,1012,604,11627
SED10074,3,27,3,1472,164,18,12,152,23,115,7,46,11,80,471,1104,11,4,9,13,4,3,6,3,8,8,36,93,3168,345,86,3040,434,2755,98,585,139,967,528,12147
SED10075,11,18,0,798,132,24,5,204,19,124,7,48,13,110,425,1107,11,0,9,15,3,3,3,0,0,15,11,64,1890,334,82,3267,346,1849,111,537,123,973,454,9965
SED10076,3,16,0,239,95,32,11,119,14,64,5,35,13,83,349,809,6,0,4,10,0,0,0,0,5,11,16,61,988,352,54,1743,185,991,66,407,87,760,383,6015
SED10077,16,74,3,2088,170,28,13,145,24,89,8,41,7,99,570,1206,6,0,8,16,0,0,0,3,3,14,30,81,2724,472,80,2465,341,2397,79,700,132,1118,617,11136
SED10078,10,42,4,1979,88,24,5,96,15,68,7,29,8,85,375,803,3,0,4,7,3,0,0,3,3,3,21,59,2021,358,70,2373,308,1495,73,455,90,900,419,8556
SED10079,10,9,0,711,136,35,8,140,15,89,9,39,14,81,391,950,13,3,6,17,3,6,0,6,4,15,23,90,1479,316,70,2605,260,1280,98,399,90,746,440,7776
SED10080,9,28,0,1580,58,11,4,46,4,43,0,15,6,22,275,479,9,0,3,5,0,4,0,0,0,0,9,30,1009,174,42,936,212,933,48,214,52,255,287,4166
SED10081,0,8,0,506,215,25,13,179,31,71,8,32,4,61,459,1079,12,0,12,6,0,4,4,0,9,19,21,93,1981,267,74,2416,296,1180,89,286,88,568,505,7758
SED10082,7,18,0,1351,204,38,12,237,17,108,17,40,17,60,491,1241,8,4,13,19,3,5,0,4,3,6,21,87,1943,399,87,3300,306,1411,98,412,88,540,533,9124
SED10083,3,4,0,596,142,25,17,186,16,102,6,35,9,68,346,959,9,0,6,12,0,5,0,3,0,5,21,67,1630,326,69,2815,293,1428,93,404,102,631,387,8174
SED10084,6,4,0,514,124,36,6,143,7,74,3,53,4,58,411,926,7,0,4,8,0,3,0,3,0,8,24,66,1322,413,54,2398,208,1194,92,480,62,662,463,7342
SED10085,4,10,0,858,198,22,15,218,19,104,17,26,7,59,401,1094,13,3,5,18,3,5,0,3,3,17,29,101,1689,294,82,2635,283,1687,110,348,141,649,442,8362
SED10086,20,76,3,3438,158,33,6,213,4,131,3,47,10,58,527,1196,15,0,8,28,7,7,0,5,5,0,11,94,1825,331,63,2559,306,1770,47,386,83,395,556,8322
SED10087,0,6,6,601,174,27,3,196,19,74,15,15,7,34,456,1026,15,0,6,12,3,7,5,0,0,12,21,83,2120,265,61,2654,310,1230,92,285,67,471,502,8057
SED10088,13,35,4,2879,202,30,11,214,19,97,4,52,11,67,537,1249,14,3,8,16,0,8,0,4,0,6,26,89,2787,426,87,4020,374,1774,103,444,92,607,577,11286
SED10089,3,7,0,839,130,28,9,138,9,87,3,35,12,77,422,953,3,0,5,11,4,7,0,11,3,14,20,83,1727,338,85,2946,319,1521,102,471,111,847,471,8935
SED10090,12,77,3,4388,150,32,9,137,17,104,4,45,6,81,754,1334,11,0,5,16,3,6,0,3,3,3,24,77,2691,361,80,2990,433,2601,72,503,92,706,788,11319
SED10091,0,19,0,1180,235,25,15,263,23,132,9,39,13,65,434,1262,18,0,11,24,4,16,0,4,8,7,24,119,2336,340,93,3163,337,1661,101,351,95,581,496,9550
SED10092,3,30,0,798,113,24,9,124,16,91,4,32,9,113,381,922,8,0,6,10,0,3,5,7,7,19,22,74,1466,317,70,2246,258,1483,79,519,113,1241,419,8213
SED10093,3,20,0,521,140,25,5,165,19,94,6,43,19,84,399,997,14,0,4,18,0,12,0,0,3,18,17,79,1706,306,78,2549,298,1643,85,440,121,782,438,8455
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,7,20,0,1806,79,15,0,72,7,47,3,12,5,34,359,634,11,0,3,10,0,7,4,0,4,8,8,47,1171,181,48,1367,247,1085,50,204,41,371,372,5140
SED20207,0,12,0,1418,165,26,14,139,17,134,12,43,14,96,624,1286,22,0,13,18,3,17,0,0,3,16,25,125,3118,474,106,3526,444,3415,107,663,151,1080,682,13772
SED20302,3,5,0,373,137,25,10,190,13,86,6,32,12,59,354,924,18,3,4,14,3,7,0,0,8,12,25,91,1518,361,85,2686,297,1650,93,433,126,560,412,8212
SED20401,4,5,3,570,117,25,7,156,10,86,12,25,6,47,257,742,9,0,7,24,3,0,3,0,3,10,6,72,1389,310,52,2674,322,1580,95,414,85,564,284,7765
SED20508,3,3,0,532,108,30,6,180,9,63,9,29,8,56,317,821,13,0,7,17,0,10,0,0,4,0,12,63,1077,360,71,2486,247,1125,89,312,64,418,345,6583
SED20604,0,5,0,349,136,25,7,161,14,55,3,26,16,34,369,837,11,0,5,17,3,4,0,0,3,9,13,72,1487,303,72,2296,275,1072,97,248,95,400,404,6751
SED20704,5,5,0,480,118,24,12,176,20,60,11,23,4,48,300,794,8,0,0,7,6,9,4,6,0,8,9,58,1316,314,65,2533,274,1108,123,336,65,487,323,6938
SED20804,0,5,0,268,100,29,7,115,13,60,11,26,3,44,258,665,7,3,9,7,6,9,0,0,3,11,15,57,988,344,47,1923,205,1112,91,339,64,457,287,5863
SED20906,4,24,0,1968,149,29,6,193,7,76,9,20,3,60,440,996,13,0,3,19,3,13,0,5,0,11,16,77,1993,318,68,2970,275,1557,80,384,59,570,469,8744
SED21001,5,32,3,2176,139,14,15,163,7,94,4,39,3,45,479,1005,9,0,6,23,3,6,0,0,0,3,16,71,1793,359,56,2899,245,1757,84,489,79,649,507,8911
SED21106,19,53,3,3190,125,24,10,192,15,110,3,29,7,38,542,1092,15,3,8,22,0,14,0,3,4,8,22,96,1642,275,47,2684,230,1588,60,322,67,373,571,7857
SED21203,3,19,0,229,55,18,7,65,12,112,9,81,25,224,394,1000,8,0,3,6,0,12,0,4,8,45,79,159,892,276,49,1148,130,2136,54,1006,202,2726,539,9161
SED21303,3,22,0,1273,67,20,3,109,16,53,3,28,5,65,317,681,6,0,0,4,0,6,0,0,3,6,11,40,1120,310,35,2086,267,1089,70,351,54,643,342,6377
SED21401,6,52,3,1491,126,29,10,150,14,109,7,40,7,119,452,1058,3,0,9,16,7,5,0,0,3,12,25,88,1582,391,62,2286,196,1694,75,502,89,1010,492,8377
SED21503,4,14,0,785,114,27,4,147,10,91,3,24,10,81,313,836,10,5,8,14,4,5,0,0,8,12,12,74,1384,313,61,2495,286,1467,74,411,104,771,339,7702
SED21608,3,4,0,394,125,26,6,175,18,82,7,23,7,59,281,810,8,0,3,9,3,10,0,3,0,12,10,70,1142,290,87,2272,226,1171,74,300,87,520,312,6479
SED21706,10,36,4,2511,112,33,13,152,15,100,7,45,10,55,482,1018,14,0,4,13,3,4,7,0,3,8,13,71,1829,339,56,2778,270,1588,72,380,58,613,509,8503
SED21805,3,11,0,588,141,21,15,131,16,93,7,31,18,53,358,869,8,0,3,15,0,9,0,4,3,7,18,77,1643,296,78,2727,303,1703,87,374,99,503,393,8203
SED21906,11,31,3,2198,116,25,3,164,13,95,6,32,6,42,350,855,13,3,5,34,0,12,3,9,5,3,25,104,1481,338,53,2524,253,1358,70,385,74,391,380,7315
SED22005,3,27,0,706,101,12,13,84,12,108,4,39,14,139,406,933,15,3,7,12,0,8,0,3,3,12,28,85,1798,385,69,2130,222,1896,64,632,120,1384,459,9169
SED22105,0,11,0,524,201,23,14,175,24,191,17,35,19,77,488,1263,10,5,10,15,5,9,0,0,9,13,54,130,3222,496,110,3997,523,3512,154,753,183,900,573,14423
SED22201,3,4,0,786,107,20,8,160,10,82,10,31,9,54,296,778,11,0,0,8,3,4,0,0,3,9,18,49,1382,264,46,2686,290,1402,79,359,65,526,319,7429
SED22305,0,18,0,226,78,19,9,96,10,117,5,57,22,160,368,933,7,3,10,12,0,6,0,3,3,22,53,120,1252,331,68,1463,170,2291,71,816,174,1759,456,8846
SED22404,3,8,0,408,123,49,11,219,12,80,13,39,15,51,323,935,18,0,8,18,0,7,0,0,4,9,17,90,1081,352,89,2197,218,1062,102,321,92,448,361,6324
SED22501,8,14,0,1705,147,40,6,236,21,101,9,32,15,52,389,1039,15,6,7,23,0,3,3,3,0,3,13,74,1697,370,80,3570,332,1478,105,361,70,413,411,8878
SED22607,9,25,0,2098,120,35,6,137,14,79,3,26,7,61,358,852,8,0,4,14,4,7,0,0,7,8,20,74,1675,295,60,2610,300,1377,58,345,76,575,397,7779
SED22704,4,3,0,327,164,30,6,162,17,91,13,26,3,64,284,865,14,0,5,17,0,4,3,3,9,12,20,94,1267,270,66,1907,227,1209,94,299,93,535,321,6282
SED22802,8,11,0,619,142,31,16,223,15,80,4,34,5,49,288,881,12,3,17,30,0,14,0,0,0,3,25,116,1439,279,93,2959,271,1490,80,315,63,421,337,7754
SED22901,5,21,0,826,107,21,3,152,13,90,4,45,7,71,352,857,8,4,4,15,4,3,3,4,0,8,21,65,1546,301,42,2430,272,1577,71,480,82,642,385,7827
SED23007,4,25,0,682,75,12,7,59,11,86,4,39,20,129,330,780,4,3,8,7,3,7,0,3,5,22,39,101,1426,375,64,1842,274,1856,75,670,129,1301,403,8414
SED23101,4,23,0,1200,101,32,4,130,19,92,5,26,12,86,448,951,15,0,0,15,0,9,3,0,0,7,17,78,1690,377,42,2479,213,1716,79,440,62,751,483,8325
SED23205,0,14,0,517,93,24,3,118,14,65,7,36,13,64,286,723,9,0,5,9,0,5,0,0,3,15,22,83,1074,235,51,2028,229,1246,77,334,79,573,326,6249
SED23308,5,7,0,719,110,21,3,134,10,58,7,22,8,41,284,701,5,0,3,19,0,5,0,0,6,15,21,77,1022,262,61,2302,269,1101,71,317,64,475,322,6267
SED23402,8,17,0,992,181,25,13,217,21,109,7,24,12,48,351,1025,12,3,6,26,5,7,0,3,0,4,18,91,2013,334,81,3303,309,1878,100,397,89,479,396,9393
SED23502,3,3,4,223,132,24,11,127,12,70,6,32,7,36,369,822,10,0,4,6,0,4,0,0,4,19,20,61,895,277,63,1714,192,841,101,334,73,472,407,5363
SED23602,0,9,0,369,130,24,7,142,13,57,7,30,7,45,321,786,11,3,12,17,0,5,3,0,3,0,20,79,1030,252,78,1829,185,974,91,291,87,405,375,5595
SED23702,4,5,0,609,161,29,6,257,15,117,7,33,17,52,357,1059,12,3,7,23,8,14,3,3,0,10,27,117,1623,326,92,3170,298,1537,89,395,87,501,398,8522
SED23806,14,65,3,3228,114,27,4,171,11,105,9,28,4,37,488,994,13,0,10,25,9,13,0,5,3,0,11,90,1631,288,51,2457,258,1554,58,328,41,453,511,7642
SED23901,13,18,0,1794,99,20,8,147,14,93,5,34,3,74,384,879,13,3,10,19,3,8,0,3,6,11,20,92,1553,312,59,2761,290,1585,86,407,69,644,418,8176
SED24006,15,67,3,2989,146,46,9,209,9,121,11,50,13,72,653,1325,13,3,8,19,0,4,0,0,0,4,20,82,1880,347,57,2686,192,1683,76,459,84,641,688,8788
SED24105,3,17,0,644,127,20,8,119,12,113,7,45,14,129,365,962,10,0,12,12,4,13,0,3,3,13,34,111,2224,364,79,2041,217,2105,58,663,122,1422,422,9713
SED24207,7,19,0,614,131,32,21,132,25,145,8,74,12,163,457,1198,18,0,16,12,3,10,0,7,8,29,55,148,2488,434,138,2655,339,2770,111,832,192,1500,553,12007
SED24308,4,6,0,417,99,22,5,153,15,80,11,36,6,102,294,815,12,0,7,11,4,12,3,4,4,23,27,95,1092,249,62,2037,219,1375,93,444,105,850,339,6881
SED24408,0,0,3,233,153,24,3,195,16,49,10,25,6,25,323,839,8,4,3,17,4,3,0,0,3,3,10,56,1091,260,59,2038,197,832,79,250,61,356,352,5576
SED24504,8,4,3,854,135,37,10,180,15,91,13,38,11,44,375,942,10,0,6,12,7,4,3,3,3,6,11,70,1342,402,68,2508,259,1274,113,351,84,380,413,7191
SED24606,15,65,3,2866,118,21,7,140,9,140,14,45,8,38,434,975,16,4,0,14,0,12,0,3,0,7,13,73,1427,215,43,2186,207,1525,44,302,60,374,463,6845
SED24703,9,16,0,1165,58,14,4,40,7,40,0,17,3,34,314,540,3,0,4,6,0,3,0,3,3,6,18,39,1052,187,50,1116,212,1202,44,274,59,421,351,4963
