SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED10023,19664,20633,40296,2148,2220,4365,8626,8961,17594,102,121,228,221,213,425,30,29,54,62,70,132,10,10,21,24,18,43,38,49,86,0,3,3,9112,9475,18590,1003,1131,2134,168,131,300,12435,12955,25395,1818,1882,3697,33912,35469,69387
SED10024,21276,22786,44060,2181,2262,4446,7771,8134,15905,181,172,351,179,196,371,42,66,109,78,81,162,12,15,27,8,0,12,67,66,132,4,0,8,8338,8733,17071,2637,2904,5542,160,169,327,13316,14068,27384,1257,1474,2732,35846,38331,74176
SED10025,17711,19676,37382,2431,2603,5035,8727,9348,18070,269,269,539,297,322,621,78,106,183,124,128,248,35,35,69,26,16,42,77,81,159,0,0,0,9626,10300,19924,3714,4188,7903,207,208,419,15972,17305,33281,2114,2447,4559,35800,39427,75224
SED10026,18301,18691,36991,3807,4246,8060,7330,7740,15065,142,185,328,459,493,952,56,57,117,108,92,201,25,22,44,37,40,79,60,48,111,0,0,0,8222,8671,16891,512,613,1124,171,145,315,12712,13677,26387,4039,3656,7698,35047,36025,71072
SED10027,21910,22911,44821,1620,1674,3299,8005,8315,16317,76,81,155,108,111,219,26,35,64,43,35,79,10,6,23,15,7,19,15,23,39,0,0,0,8306,8607,16913,1460,1632,3096,173,181,355,11563,12096,23658,1818,1914,3729,35290,36921,72210
SED10028,21449,23097,44547,1867,1954,3818,7858,8105,15963,185,174,356,171,167,341,63,71,139,99,93,190,20,17,39,11,11,23,62,59,122,0,0,0,8467,8701,17167,3708,3905,7609,142,204,352,14184,14761,28947,1161,1360,2525,36798,39221,76022
SED10029,23892,24824,48716,2031,2105,4141,6967,7272,14237,88,109,192,94,95,182,27,28,58,38,10,48,7,6,7,3,7,10,12,13,25,0,0,0,7230,7530,14764,4141,4243,8385,218,189,407,13620,14068,27688,2390,2335,4726,39911,41220,81130
SED10030,18076,19105,37185,2867,3145,6007,8410,9147,17560,135,139,276,308,298,606,51,48,98,80,86,168,25,37,64,49,30,76,43,53,103,0,0,0,9106,9843,18950,833,1038,1873,216,156,372,13020,14183,27206,2587,2688,5277,33687,35977,69669
SED10031,19684,19892,39568,3862,4204,8071,5894,6149,12047,139,177,314,310,342,649,55,58,115,89,111,202,39,62,100,26,27,51,1174,1292,2469,3,3,8,7737,8213,15957,587,609,1195,177,227,404,12364,13257,25625,3434,2834,6266,35480,35984,71461
SED10032,21583,21943,43523,2640,2490,5125,8643,8353,16990,218,159,371,163,121,283,73,48,123,79,60,140,13,10,31,28,15,40,51,42,92,9,0,12,9274,8810,18088,6006,5034,11037,218,194,405,18132,16521,34654,2810,2598,5407,42537,41058,83590
SED10033,20439,20618,41051,2611,2688,5302,7932,8414,16344,68,86,158,271,234,506,34,47,78,42,39,74,21,15,33,36,27,61,38,34,79,0,0,0,8441,8890,17335,376,429,804,159,143,304,11586,12152,23741,2256,2261,4522,34285,35031,69314
SED10034,23007,23717,46726,2221,2423,4642,6947,7299,14247,80,94,175,168,175,339,19,31,49,54,63,119,12,7,17,14,15,28,38,46,82,0,0,0,7330,7726,15054,733,844,1577,163,182,344,10443,11177,21621,1347,1380,2725,34799,36270,71071
SED10035,17179,17152,34323,2370,2174,4542,12577,11768,24342,534,520,1058,695,686,1379,182,182,364,257,236,496,63,68,129,50,21,72,327,308,639,0,0,3,14691,13788,28479,11513,11592,23108,384,321,704,28961,27879,56834,4134,3847,7976,50265,48868,99140
SED10036,23233,23779,47014,2112,2230,4337,8340,8660,17002,176,148,324,390,324,720,61,47,116,59,52,108,19,4,21,73,55,132,55,48,101,0,0,0,9183,9339,18514,1548,1776,3321,144,161,302,12979,13499,26479,2208,2231,4444,38421,39510,77936
SED10037,22774,23477,46244,1808,1959,3760,7694,7936,15626,127,132,262,173,162,329,48,44,90,54,51,111,11,16,24,5,12,19,42,43,84,0,0,4,8161,8388,16546,2131,2426,4554,148,117,261,12240,12882,25124,1313,1401,2723,36329,37757,74089
SED10038,21902,23056,44959,2661,2823,5485,7244,7804,15041,123,169,286,209,220,425,33,34,63,86,60,151,27,31,57,19,27,55,116,138,256,5,3,4,7861,8486,16344,1549,1350,2897,159,195,356,12228,12850,25074,1715,1873,3586,35843,37774,73620
SED10039,19029,19590,38619,2982,3127,6106,6825,7434,14257,151,169,320,355,338,689,47,47,97,98,87,183,41,42,74,33,44,79,136,133,274,5,3,9,7686,8296,15981,439,490,931,185,178,361,11292,12086,23376,2919,2338,5258,33243,34007,67249
SED10040,21917,23029,44948,2261,2280,4537,8664,8478,17143,168,138,306,160,173,334,64,74,137,57,42,100,17,15,31,12,10,25,48,62,106,0,3,4,9197,8981,18182,6528,6977,13508,246,257,506,18238,18493,36735,2294,2411,4702,42448,43935,86385
SED10041,19275,21283,40554,1712,1921,3633,9273,9960,19229,213,237,449,217,233,456,91,86,177,94,83,180,21,22,38,15,16,31,70,67,143,0,0,0,9986,10706,20694,3423,3801,7222,147,151,297,15265,16583,31849,1513,1831,3344,36058,39694,75745
SED10042,19142,19805,38942,2751,2973,5723,7748,8308,16052,175,155,333,330,377,703,40,31,68,102,106,205,27,29,53,46,35,80,53,59,110,0,0,0,8509,9102,17610,410,476,882,171,152,318,11846,12693,24538,1733,1913,3643,32716,34411,67123
SED10043,23948,24204,48157,2717,2474,5193,7851,7353,15202,67,91,158,65,65,134,48,50,98,49,33,80,7,7,20,12,8,23,32,24,54,0,3,3,8133,7635,15774,4723,4121,8843,199,129,328,15774,14360,30135,2945,2860,5808,42669,41427,84098
SED10044,18945,20572,39523,2277,2326,4600,10058,9856,19912,241,272,516,251,299,551,75,92,174,103,96,204,15,35,54,16,9,26,107,99,212,3,0,3,10871,10768,21638,3068,3333,6398,199,146,348,16418,16572,32990,2095,2236,4331,37459,39377,76836
SED10045,19754,20270,40027,2842,3162,6003,5445,5959,11406,248,273,516,1558,1655,3216,71,100,172,114,132,251,49,39,88,83,117,197,44,43,87,7,0,7,7616,8320,15938,413,494,908,263,239,501,11131,12213,23344,3436,3415,6851,34325,35897,70224
SED10046,23421,24143,47561,2072,2088,4156,8737,9047,17779,102,113,220,141,128,268,58,46,96,41,44,79,8,3,14,15,4,20,21,17,37,0,0,0,9115,9405,18518,3016,3121,6135,195,178,373,14399,14789,29187,3715,3788,7508,41532,42721,84254
SED10047,21758,22029,43779,1990,2073,4057,11503,12165,23672,117,123,239,286,296,580,37,39,72,54,57,112,19,17,30,18,15,36,22,28,51,0,0,0,12063,12742,24801,1537,1705,3250,274,270,544,15867,16783,32652,4141,3610,7754,41761,42423,84188
SED10048,22137,22707,44846,2449,2539,4989,9724,9794,19523,117,101,223,207,210,411,34,46,81,76,65,138,11,14,21,24,27,52,28,20,42,0,0,0,10223,10270,20487,1925,2238,4164,196,155,355,14792,15203,29994,2402,2526,4928,39332,40445,79772
SED10049,18582,19123,37709,3514,3813,7327,9025,9983,19003,142,149,296,456,534,987,73,76,149,74,72,147,22,30,52,73,79,152,55,58,106,0,3,3,9923,10984,20901,427,553,974,219,182,406,14076,15534,29607,2033,2055,4084,34688,36716,71401
SED10050,18048,18859,36907,3023,3059,6085,8381,8703,17084,212,267,477,258,295,554,40,54,94,76,79,158,21,26,49,21,8,34,61,76,137,0,0,0,9076,9508,18583,3872,4162,8038,203,179,384,16177,16913,33087,2420,2568,4985,36639,38340,74979
SED10051,19543,21250,40789,1742,1769,3510,8488,8474,16962,153,145,300,243,279,520,54,53,107,86,86,172,26,23,53,35,30,65,88,84,175,0,0,0,9173,9173,18344,3399,3436,6838,189,154,346,14502,14539,29040,4281,2887,7167,38322,38677,76995
SED10052,21016,22486,43498,1691,1810,3501,7596,8115,15713,99,102,203,224,214,438,34,43,77,60,54,110,9,12,24,17,13,34,35,30,68,0,0,0,8078,8586,16667,1009,1133,2141,185,234,424,10970,11762,22728,1563,1636,3200,33545,35884,69432
SED10053,19478,19056,38532,2698,2787,5483,5394,5427,10821,444,434,873,614,640,1255,116,124,244,138,123,258,50,37,91,161,128,289,2479,2437,4911,0,0,4,9393,9353,18750,1054,1132,2181,211,178,388,13357,13449,26807,3192,2903,6095,36019,35407,71431
SED10054,23920,24729,48648,2274,2427,4701,8406,8657,17065,77,77,157,155,164,314,55,46,100,27,22,47,11,3,18,23,25,52,22,20,41,0,0,0,8783,9009,17791,2409,2764,5173,185,160,341,13652,14361,28012,2424,2587,5013,40002,41677,81674
SED10055,22598,22734,45331,2041,2191,4226,9528,9923,19454,74,94,170,189,203,395,18,17,37,26,31,59,9,5,21,17,15,27,30,29,63,0,0,0,9899,10325,20221,784,919,1701,166,158,322,12885,13587,26472,1926,1904,3827,37408,38223,75630
SED10056,22469,21908,44374,4770,5070,9834,3152,3316,6464,2206,2343,4549,435,418,851,169,175,342,118,111,234,37,48,83,63,67,135,57,61,118,0,0,0,6237,6539,12781,1010,996,2010,215,201,411,12231,12809,25038,4193,4162,8352,38892,38882,77772
SED10057,17872,18779,36657,3682,4240,7924,6987,7465,14447,147,139,285,502,485,982,28,36,60,73,74,146,33,37,66,32,28,61,45,67,114,0,0,0,7841,8329,16173,260,331,590,222,267,495,12012,13169,25184,2846,3006,5849,32731,34957,67685
SED10058,16222,16532,32755,2176,2070,4251,10249,10798,21042,235,279,514,503,459,958,89,79,162,118,128,245,47,52,100,69,77,149,134,137,267,0,3,3,11443,12004,23448,1238,1281,2511,260,243,506,15117,15598,30714,2301,2149,4454,33641,34279,67919
SED10059,14203,12888,27094,1657,1567,3228,11199,10905,22104,582,537,1112,557,631,1184,156,155,312,274,322,593,55,56,109,31,50,77,303,322,632,4,3,3,13151,12979,26126,6754,7900,14655,420,311,736,21990,22757,44746,4711,4265,8977,40901,39908,80810
SED10060,13208,15635,28842,2696,3079,5772,9414,10200,19609,428,453,877,448,509,956,111,144,253,189,197,379,30,28,60,23,27,50,164,173,336,4,0,4,10802,11725,22525,4487,5187,9674,260,234,501,18251,20226,38480,2845,3093,5936,34304,38954,73258
SED10061,20178,20392,40567,4806,5291,10102,4918,5533,10458,172,204,375,1095,1222,2318,42,52,97,88,86,170,42,38,82,71,80,153,45,43,83,3,0,3,6473,7261,13733,910,984,1895,226,200,428,12415,13744,26155,3870,3762,7637,36463,37894,74361
SED10062,21187,22573,43763,1884,2007,3887,7379,7854,15234,99,96,201,147,153,304,33,30,61,34,37,64,8,17,21,9,7,21,39,35,80,0,0,0,7758,8229,15988,2213,2469,4680,136,120,262,11986,12826,24817,1559,1760,3324,34731,37160,71900
SED10063,19617,19954,39565,4351,4715,9064,6797,7454,14246,168,169,332,428,438,868,70,63,137,122,131,249,28,39,66,29,36,73,81,101,181,0,0,3,7727,8431,16159,561,630,1183,202,171,372,12832,13942,26773,3074,3102,6176,35522,36997,72520
SED10064,19435,19779,39218,3462,3973,7442,5510,6032,11541,244,243,484,765,757,1523,63,70,133,123,124,248,41,33,72,66,59,130,64,75,134,0,0,0,6868,7404,14271,299,349,645,222,215,444,10857,11947,22796,3686,3389,7077,33977,35111,69087
SED10065,20613,21369,41984,2958,2795,5759,10999,10456,21457,340,260,607,339,349,691,128,124,257,132,109,245,33,25,56,36,44,78,95,87,184,4,4,11,12114,11458,23573,8217,7897,16120,317,231,541,23605,22383,45987,3384,3228,6616,47603,46982,94582
SED10066,20339,21366,41704,2293,2431,4725,8948,9650,18594,89,101,182,246,227,471,50,58,108,61,60,121,12,28,37,21,12,33,38,42,74,0,0,0,9456,10177,19627,989,1045,2036,186,160,347,12926,13814,26737,2241,2502,4737,35504,37675,73181
SED10067,18419,19360,37782,2689,2859,5553,7987,8648,16637,134,157,291,219,209,429,40,36,73,69,75,144,20,15,34,11,10,16,39,41,80,0,0,0,8516,9204,17718,1272,1300,2574,168,201,368,12647,13564,26216,1836,2158,3998,32907,35085,67992
SED10068,17051,18368,35420,3728,4139,7867,8094,8781,16870,285,290,572,682,689,1380,76,81,152,101,135,237,75,88,159,67,75,137,107,139,242,4,3,3,9487,10272,19756,493,551,1042,193,189,377,13900,15148,29050,2528,2779,5307,33475,36303,69781
SED10069,17795,18153,35950,3937,4128,8071,6970,7205,14181,258,248,512,568,530,1097,112,92,205,129,116,248,55,59,109,115,129,245,115,97,215,0,0,0,8328,8478,16802,388,478,862,195,223,418,12849,13309,26154,2725,2743,5466,33367,34207,67571
SED10070,23132,23932,47065,1675,1746,3422,7829,7674,15499,95,73,163,113,99,216,29,25,51,39,27,66,9,9,13,10,7,19,18,15,33,0,0,0,8143,7930,16073,2727,2657,5392,123,131,259,12671,12470,25144,1953,1970,3926,37757,38375,76134
SED10071,21379,21611,42992,2019,2135,4151,12001,12217,24215,134,125,259,300,289,583,102,103,200,73,69,142,17,17,32,24,14,40,72,73,141,0,0,0,12716,12902,25619,2270,2626,4898,169,141,311,17175,17800,34983,2623,1626,4249,41179,41040,82222
SED10072,20107,21285,41391,2160,2091,4250,8893,8832,17731,162,149,313,243,244,488,72,60,136,73,55,135,18,19,38,26,30,50,73,87,159,0,0,0,9567,9474,19045,5132,5197,10326,233,202,433,17089,16961,34049,2844,2836,5675,40034,41079,81114
SED10073,20555,21746,42300,2136,2255,4389,9947,9982,19924,277,266,546,313,312,628,98,91,184,105,91,194,32,26,56,21,16,38,86,104,186,0,0,0,10874,10880,21754,6728,7633,14369,217,183,395,19959,20947,40907,1941,2140,4083,42448,44836,87286
SED10074,22057,23067,45122,1503,1586,3087,8463,8506,16968,172,182,355,190,166,355,59,49,109,62,55,121,14,7,19,20,16,35,37,48,86,5,0,6,9020,9032,18051,3584,3461,7043,221,175,397,14333,14248,28574,2086,2200,4286,38475,39515,77987
SED10075,22357,23341,45696,3035,3200,6235,8198,8870,17066,110,112,221,272,276,551,25,43,70,62,72,133,22,28,50,24,24,48,73,68,139,3,0,3,8779,9506,18288,470,546,1023,158,166,324,12446,13419,25863,2214,2309,4524,37012,39071,76088
SED10076,17294,17689,34984,3678,4017,7697,6732,7318,14045,221,223,442,409,430,835,66,58,124,126,128,248,51,63,119,56,52,108,334,326,660,12,13,24,8004,8604,16601,337,441,783,222,229,456,12245,13294,25538,2713,2751,5468,32252,33735,65984
SED10077,19981,21629,41612,2446,2377,4830,9189,9148,18338,250,256,511,314,280,594,75,78,152,94,82,175,33,24,54,29,18,46,68,93,159,0,0,3,10048,9979,20031,8227,8198,16428,306,250,561,21037,20807,41844,2898,2684,5585,43918,45124,89038
SED10078,18716,19748,38461,1797,1871,3667,9086,9535,18622,266,273,541,260,314,571,99,96,194,87,80,168,25,32,59,21,27,48,125,157,286,0,0,0,9970,10521,20492,3898,4146,8049,312,279,592,15975,16821,32793,2789,2704,5494,37489,39267,76753
SED10079,19870,20391,40263,2626,2718,5343,7581,8186,15771,91,101,194,289,308,602,31,30,59,110,105,216,18,33,50,20,26,43,52,45,96,0,3,0,8197,8838,17035,311,336,646,199,197,401,11338,12085,23423,1793,1941,3727,33002,34415,67415
SED10080,13770,12559,26330,3082,2745,5829,10454,9103,19557,831,656,1482,861,777,1638,230,206,433,372,320,695,53,53,109,41,34,70,295,245,539,5,0,7,13139,11394,24528,11460,11715,23178,408,316,726,28089,26172,54263,8553,6406,14959,50414,45138,95551
SED10081,18790,19465,38259,3814,4214,8029,7139,7815,14953,140,144,281,670,728,1400,49,51,101,98,117,218,30,21,51,55,50,100,42,39,78,3,3,8,8234,8966,17202,732,620,1353,204,178,382,12985,13983,26964,3347,3359,6703,35121,36805,71924
SED10082,18813,20243,39059,2237,2334,4564,8798,9593,18394,125,144,268,258,292,550,28,39,70,86,88,178,29,32,54,25,34,61,57,62,119,3,4,3,9411,10288,19694,829,842,1675,167,159,325,12636,13624,26255,1741,2003,3740,33185,35865,69053
SED10083,18561,19881,38438,2420,2650,5071,8467,9378,17840,97,103,200,273,304,570,46,47,98,56,71,129,23,20,47,29,32,60,41,47,87,0,0,0,9031,10003,19032,528,556,1077,268,297,568,12247,13501,25751,2140,2385,4523,32945,35766,68716
SED10084,17764,19020,36785,2887,3130,6023,5809,6690,12492,385,437,823,3476,3746,7222,93,83,173,146,180,321,78,67,147,83,85,168,88,92,180,6,10,13,10153,11387,21535,700,799,1499,253,245,498,13987,15569,29550,2826,3012,5838,34576,37601,72175
SED10085,20060,19503,39555,4490,4667,9155,5878,6217,12087,166,136,297,708,651,1360,66,50,115,144,129,271,26,19,49,52,37,93,27,25,52,0,3,4,7063,7266,14330,467,512,979,187,187,380,12211,12632,24842,3270,2997,6266,35539,35125,70667
SED10086,15358,17024,32376,2694,2835,5534,8394,9214,17610,409,453,859,378,475,857,84,122,206,170,191,359,23,19,44,15,28,46,107,127,228,0,0,0,9571,10630,20204,4341,4960,9296,231,225,461,16841,18659,35500,3553,3912,7462,35753,39588,75337
SED10087,18358,18792,37148,3333,3773,7103,7324,8230,15561,516,570,1087,750,695,1446,154,142,301,133,139,269,52,61,105,124,106,229,244,259,502,0,3,3,9296,10198,19497,1035,980,2012,199,154,350,13854,15102,28959,2691,2705,5398,34901,36609,71510
SED10088,20927,22155,43083,2184,2199,4383,8235,8574,16811,118,128,245,195,193,392,41,47,83,68,56,123,12,21,32,0,3,5,29,44,77,0,0,0,8696,9064,17764,2337,2492,4828,191,169,358,13409,13923,27331,1724,1969,3689,36050,38048,74099
SED10089,20327,21192,41518,2035,2064,4096,9656,10447,20107,158,180,334,334,366,698,73,78,149,87,80,169,36,51,91,62,51,112,63,69,130,4,3,5,10471,11319,21797,2060,1994,4049,262,314,576,14823,15695,30523,1738,1882,3620,36888,38770,75659
SED10090,17914,20004,37913,2296,2518,4821,9161,10051,19211,275,318,599,277,305,580,112,101,209,135,147,275,28,35,61,16,16,27,95,94,191,0,0,0,10092,11064,21158,4892,5702,10590,215,215,428,17496,19503,37001,1990,2172,4161,37396,41683,79075
SED10091,19392,19855,39249,2587,2754,5335,8844,9654,18498,108,118,234,230,256,484,27,29,56,39,52,96,14,14,33,24,21,47,83,92,178,0,0,0,9387,10242,19631,362,472,836,145,135,283,12484,13600,26082,2253,2457,4713,34131,35912,70044
SED10092,20984,21178,42163,2288,2209,4503,9167,9608,18767,138,152,289,251,252,503,39,58,95,68,70,139,30,34,73,30,13,45,122,137,259,0,0,0,9835,10326,20167,2822,2404,5224,257,212,468,15200,15155,30358,3028,3020,6047,39214,39350,78563
SED10093,18512,19266,37778,2519,2853,5368,9882,10889,20773,96,93,185,350,350,697,41,46,89,73,87,161,13,14,31,24,31,54,40,48,86,0,0,0,10515,11559,22080,447,536,986,249,255,499,13735,15200,28930,2683,2867,5547,34924,37336,72258
SED19494,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
SED19797,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
SED20106,11546,12064,23608,2178,2209,4388,915,946,1861,8869,8673,17545,691,743,1434,258,230,486,409,402,811,160,164,324,65,56,113,140,151,294,0,0,0,11507,11364,22875,6029,6595,12623,270,231,499,19984,20397,40383,4333,4252,8586,35861,36712,72576
SED20207,20505,20808,41319,2132,2212,4344,704,727,1429,9702,9729,19432,533,535,1066,236,229,468,208,234,442,109,113,217,47,67,115,114,125,238,0,0,0,11645,11768,23416,4470,4857,9324,202,172,373,18446,19010,37462,2338,2304,4647,41292,42130,83424
SED20302,15750,16310,32065,3367,3777,7138,247,265,511,9176,10073,19243,259,280,537,83,88,172,109,106,222,44,48,98,51,44,93,22,24,40,3,0,4,9998,10933,20923,869,1066,1942,172,145,310,14404,15916,30315,2443,2601,5038,32591,34826,67423
SED20401,17213,17844,35058,1017,1114,2132,136,148,287,6859,7206,14060,146,166,312,57,63,120,47,48,97,28,33,59,17,17,32,18,22,40,0,0,3,7304,7698,15001,956,1199,2151,114,137,254,9391,10152,19538,1592,1798,3386,28190,29788,57983
SED20508,14559,15426,29985,3171,3543,6711,194,233,425,6112,7008,13123,207,225,432,58,56,119,108,107,217,45,38,80,40,42,86,33,41,72,0,0,0,6799,7751,14554,373,385,764,132,112,244,10478,11791,22272,1772,1837,3607,26802,29061,55861
SED20604,16078,16650,32729,2984,3175,6167,1885,1983,3866,4472,4750,9218,713,615,1320,120,123,247,166,165,333,74,83,154,136,132,266,102,114,218,0,0,0,7663,7966,15630,382,475,858,172,138,313,11205,11759,22966,2371,2164,4537,29659,30572,60225
SED20704,15412,15972,31383,1844,2070,3917,325,376,699,7879,8953,16829,268,278,541,111,132,244,123,125,245,62,71,128,81,82,161,33,34,63,0,3,3,8871,10047,18914,443,511,961,146,121,263,11303,12751,24056,2229,2364,4595,28948,31090,60033
SED20804,15067,15778,30842,2119,2323,4446,266,299,570,6004,6732,12735,182,207,394,119,124,239,103,111,214,38,59,100,66,72,139,28,34,69,0,0,4,6816,7640,14453,487,577,1060,174,127,299,9596,10667,20264,2978,2476,5457,27638,28923,56564
SED20906,15994,17142,33140,1147,1188,2342,221,253,483,6492,6872,13364,184,190,377,70,64,135,78,70,151,35,43,75,13,20,34,24,39,70,0,0,0,7125,7550,14676,1849,2145,3990,127,109,236,10249,10994,21243,1362,1443,2805,27602,29579,57181
SED21001,16726,18555,35285,1380,1474,2857,295,308,604,7026,7228,14256,199,208,409,123,122,247,95,110,202,40,49,87,24,25,47,52,49,106,0,0,0,7847,8097,15945,3923,4336,8259,141,147,288,13304,14050,27348,1491,1669,3161,31513,34273,65792
SED21106,14234,16062,30298,1898,2107,4007,399,492,892,6616,7262,13878,273,339,616,75,84,160,134,156,293,54,49,103,21,25,41,53,57,107,0,0,0,7626,8468,16091,2161,2522,4688,135,158,297,11824,13256,25080,1872,2140,4011,27927,31465,59387
SED21203,19376,20041,39424,1857,1761,3623,231,229,463,5016,4850,9868,109,105,214,79,81,153,49,60,106,23,23,55,18,7,30,17,16,27,0,0,0,5546,5372,10919,3719,3093,6806,137,98,236,11262,10324,21588,2975,2788,5766,33607,33160,66768
SED21303,14453,15849,30298,1173,1222,2397,813,915,1728,8124,8672,16793,624,704,1331,246,256,499,379,381,755,143,160,298,54,58,112,229,250,475,0,0,0,10611,11391,21999,3625,4024,7655,288,268,559,15699,16907,32606,2186,2404,4590,32339,35155,67493
SED21401,17526,18975,36501,1023,1048,2077,161,190,349,5515,5892,11410,157,168,323,74,88,161,80,89,175,23,27,48,10,10,24,36,33,66,0,0,0,6048,6493,12543,2198,2425,4619,109,123,233,9383,10090,19475,1295,1477,2777,28205,30547,58751
SED21503,16486,17443,33931,764,765,1535,251,263,508,5859,6089,11949,156,177,335,83,84,171,67,66,132,66,85,148,23,29,54,37,42,79,0,0,0,6539,6831,13375,2998,2926,5928,128,85,210,10434,10608,21041,1528,1652,3174,28445,29707,58149
SED21608,15388,15516,30903,1867,2041,3911,196,204,403,6549,7175,13723,179,205,382,106,118,221,108,117,223,58,53,113,42,47,88,20,21,38,0,0,0,7253,7937,15196,454,477,935,148,118,265,9727,10578,20306,2105,2239,4340,27214,28339,55548
SED21706,15944,17899,33843,1042,1132,2173,288,311,606,6766,7279,14046,242,256,499,115,113,226,127,122,256,54,67,117,24,32,58,57,46,107,3,0,3,7686,8227,15910,3732,3927,7661,140,134,275,12599,13424,26022,1576,1725,3303,30123,33047,63161
SED21805,16811,17294,34104,1799,1939,3730,214,238,450,8141,8755,16897,221,237,461,40,40,83,67,85,152,31,35,66,22,10,31,25,28,58,0,0,0,8766,9429,18187,952,1176,2129,171,159,328,11685,12696,24383,2170,2290,4463,30661,32285,62949
SED21906,14554,15906,30460,1629,1620,3255,433,475,905,6980,7252,14236,261,303,570,108,106,216,155,186,345,61,60,127,18,29,46,59,60,124,0,0,0,8079,8479,16561,3410,3758,7168,190,145,328,13310,14000,27312,1896,1935,3837,29769,31839,61607
SED22005,18254,19070,37328,1645,1589,3237,249,213,455,6394,5970,12361,184,174,353,91,76,168,96,93,185,56,43,96,15,19,33,35,32,67,0,0,0,7113,6606,13724,5498,5368,10870,204,144,348,14465,13711,28176,1985,1962,3952,34710,34746,69451
SED22105,18728,18888,37614,1626,1716,3343,300,325,627,16047,16334,32382,307,281,589,124,122,244,123,122,239,43,49,90,43,45,95,25,22,53,0,0,0,17010,17307,34323,2867,3385,6252,245,178,424,21754,22586,44346,2612,2649,5266,43096,44125,87223
SED22201,15080,16555,31631,888,924,1812,156,164,316,7260,8169,15422,148,157,306,53,60,110,57,58,112,22,28,49,17,20,32,29,22,49,0,0,0,7731,8670,16404,1020,1145,2165,123,159,285,9764,10894,20661,1298,1530,2829,26144,28980,55122
SED22305,17713,17819,35530,2329,2022,4351,199,169,376,6366,5645,12018,182,130,310,135,76,209,76,56,134,22,33,56,29,14,44,16,6,25,16,0,18,7052,6138,13192,5841,4374,10212,253,137,389,15483,12672,28149,3048,2735,5781,36235,33219,69453
SED22404,16629,16380,33012,2786,3004,5793,185,217,405,4686,4884,9568,221,191,407,69,70,136,93,88,175,30,40,66,32,41,67,13,21,33,0,0,0,5325,5540,10871,320,359,684,94,102,195,8526,9016,17538,2305,2224,4525,27456,27618,55081
