SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED60115,45,7,159,77,47,55,25,66,3,496,0,0,0,3,0,0,0,6,7,15,11,13,20,9,16,3,8,11,3,100,16,16,51,41,15,32,52,64,49,337,694,1537,1283,1146,752,463,396,638,131,7034
SED60207,56,21,245,124,49,61,30,80,3,662,3,0,0,0,0,0,0,0,3,6,17,17,11,9,10,5,9,6,0,82,24,17,45,20,25,42,37,54,28,294,889,1727,1578,1186,873,469,360,614,115,7812
SED60208,45,15,191,83,53,64,21,57,4,532,0,0,0,0,0,5,4,0,0,7,9,22,12,3,9,3,13,9,4,77,30,13,44,39,24,40,47,61,24,318,866,1669,1597,1113,868,465,439,593,112,7715
SED60209,64,14,168,94,57,52,31,99,11,582,0,6,0,0,0,3,0,0,0,8,11,13,12,7,8,3,9,15,0,72,63,16,48,39,27,36,43,80,35,377,1194,1563,1442,982,733,367,451,778,165,7674
SED60214,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,10,18,10,8,3,6,10,0,59
SED60302,13,3,86,33,20,17,12,21,0,202,0,0,0,0,0,0,0,0,0,3,4,3,0,4,5,0,7,3,0,22,6,0,14,13,8,10,11,16,13,88,225,393,575,404,382,164,102,165,36,2446
SED60303,64,20,291,119,68,64,26,83,6,741,0,3,0,3,0,7,3,10,0,26,15,25,16,22,17,7,18,14,8,138,24,16,54,37,20,31,27,50,38,301,808,1869,1633,1500,1192,535,413,585,151,8691
SED60304,95,16,258,101,68,56,12,46,5,651,6,4,3,3,3,0,0,0,0,18,40,66,15,33,32,12,3,17,7,222,17,45,19,23,30,16,3,22,30,204,1682,5724,1300,1278,1354,534,150,373,164,12555
SED60305,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,30,54,26,12,16,8,3,7,0,153
SED60310,47,5,105,47,28,23,0,22,3,287,0,0,0,3,0,0,0,5,0,12,29,47,3,18,29,4,0,8,7,138,15,23,11,20,10,14,3,9,12,110,1226,3577,627,723,833,378,80,265,119,7833
SED60402,15,0,44,19,14,10,3,6,0,110,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,5,0,0,0,17,0,0,3,5,8,3,5,5,5,49,164,221,263,201,199,74,44,60,19,1255
SED60405,57,17,211,96,72,49,23,58,5,588,0,0,3,0,0,4,0,0,3,15,25,29,17,20,25,7,7,10,4,143,44,35,56,31,25,33,28,56,35,343,1491,2880,1809,1251,1268,470,312,650,171,10301
SED60410,16,3,69,35,18,16,8,11,4,176,0,0,0,0,0,3,0,0,0,4,0,9,5,3,10,3,6,3,0,40,5,8,3,9,5,4,0,7,6,49,419,1080,467,381,422,182,62,137,42,3195
SED60411,73,11,211,100,86,55,23,39,10,607,0,3,0,0,0,0,0,3,0,11,21,28,15,16,24,5,5,10,4,116,24,23,24,28,29,12,19,35,23,211,1278,3131,1489,1226,1376,533,245,380,145,9799
SED60413,37,9,152,73,64,33,13,33,4,424,0,0,0,0,0,3,0,0,0,8,7,18,3,15,11,4,3,0,3,71,17,15,36,26,18,11,11,24,22,184,856,1742,1211,846,845,312,141,288,91,6335
SED60501,49,3,146,59,39,38,15,60,3,410,4,0,0,0,0,0,0,0,3,6,19,12,0,5,5,5,6,3,3,55,34,10,38,18,17,21,31,51,15,237,810,737,814,559,439,249,227,420,64,4326
