SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED40016,82,400,143,182,22,981,140,87,559,378,491,49,1714,7,0,21,23,48,0,101,10,7,53,70,287,12,436,9,7,33,25,108,47,228,653,297,2228,1617,3864,362,9023
SED40017,102,467,162,196,21,1002,63,56,431,371,588,53,1564,0,0,7,9,27,7,51,6,5,21,35,268,14,351,3,4,30,29,107,41,217,221,262,1594,1291,4331,421,8121
SED40018,72,487,141,212,30,1024,57,46,399,275,396,44,1220,3,3,10,12,47,9,82,3,3,17,30,230,15,306,7,0,14,19,140,56,236,292,187,1620,1132,4601,420,8260
SED40019,71,326,145,175,20,774,33,32,309,277,472,46,1170,0,0,8,6,29,0,49,3,7,14,33,290,10,359,3,3,6,21,120,62,218,110,159,1100,1048,3924,499,6849
SED40020,58,252,121,153,15,649,45,45,254,305,576,48,1274,0,4,3,20,56,8,94,6,5,22,34,263,15,344,6,0,19,20,117,46,209,176,187,1089,1138,3963,492,7047
SED40021,150,586,148,105,30,1389,316,122,965,329,349,42,2121,12,9,50,16,31,3,126,34,10,99,59,275,21,503,36,8,90,52,87,41,310,1563,559,4228,1657,2678,385,11072
SED40022,176,679,231,175,33,1606,299,140,910,424,428,65,2272,30,8,64,35,70,8,222,20,20,75,62,326,15,514,10,3,86,48,106,27,278,1191,643,3718,2015,4022,409,12009
SED40023,111,447,189,204,30,1085,104,122,548,556,772,61,2165,8,3,27,27,64,3,132,6,9,48,61,393,16,533,4,3,34,32,167,53,296,365,360,2001,1911,5504,413,10557
SED40024,143,623,239,216,29,1460,128,119,697,477,555,55,2035,3,4,42,34,68,6,156,8,9,75,70,410,14,585,12,4,52,51,155,46,323,639,473,2824,2204,5216,496,11852
SED40025,122,540,179,155,18,1207,201,124,654,367,425,66,1831,16,4,62,42,91,9,226,12,10,59,69,290,22,458,10,3,44,35,141,51,284,809,474,2866,1831,4021,401,10404
SED40026,97,462,243,241,24,1201,69,76,458,488,645,71,1807,0,0,19,30,58,4,117,11,3,31,58,400,14,508,3,3,18,44,155,40,270,357,287,1776,2014,5527,429,10389
SED40027,46,273,137,171,16,703,54,47,345,354,612,51,1459,0,0,16,19,36,0,75,5,3,28,57,292,11,396,11,4,19,26,183,55,296,213,166,1275,1412,4257,364,7693
SED40028,72,343,155,159,19,787,32,48,296,245,438,48,1104,0,0,9,9,25,4,46,4,0,19,38,314,18,392,0,3,20,24,109,66,227,152,214,1483,1355,4564,596,8361
SED40029,77,353,165,191,17,884,86,88,524,468,680,74,1918,5,4,18,31,50,3,104,7,7,40,47,359,18,476,3,4,28,34,143,56,263,319,276,1792,1711,4854,447,9391
SED40030,94,569,183,178,31,1230,193,128,871,470,640,75,2369,6,0,36,26,57,3,130,11,9,71,91,352,19,552,13,3,52,31,142,40,291,709,381,3034,1976,4656,422,11174
SED40031,130,717,203,168,16,1565,205,121,804,363,363,63,1912,13,4,44,23,42,6,137,24,8,80,66,369,22,570,22,8,85,46,98,54,309,1124,494,3970,1919,3485,447,11431
SED40032,129,609,165,132,18,1307,275,134,847,314,322,49,1941,16,7,58,47,68,12,212,15,9,80,81,236,10,440,26,4,81,36,112,39,300,1095,531,3796,1918,3314,356,11002
SED40033,101,463,173,218,30,1073,81,63,444,291,557,69,1508,0,4,4,8,39,3,61,0,3,25,39,383,11,464,3,3,12,20,151,40,227,284,240,1529,1225,5096,437,8808
SED40034,41,235,129,229,13,699,44,52,368,380,647,53,1540,0,0,7,16,38,3,61,3,0,23,51,306,18,405,3,3,15,26,170,58,276,220,146,1156,1367,4767,421,8084
SED40035,131,609,246,197,21,1352,101,107,654,416,568,48,1896,3,5,25,32,45,9,117,12,8,64,55,409,21,559,9,4,32,37,126,39,239,503,404,2567,1955,4831,359,10617
SED40036,55,349,126,163,14,852,124,67,596,415,622,53,1878,0,0,17,15,49,5,94,11,5,47,52,296,8,426,6,5,49,44,159,58,313,606,250,2178,1549,4247,402,9234
SED40037,96,466,169,163,21,1161,194,99,714,412,542,74,2038,12,0,31,25,52,6,128,14,6,55,74,359,19,525,19,8,56,49,133,63,319,1013,360,3056,2029,4641,513,11607
SED40038,42,206,107,153,14,578,59,39,405,352,624,61,1541,0,0,11,14,29,3,65,6,6,34,45,272,17,380,8,3,24,32,151,72,289,308,128,1376,1176,3988,438,7413
SED40039,49,205,118,170,14,622,47,60,408,456,766,72,1813,4,0,21,11,57,5,107,4,6,25,53,339,17,439,10,0,25,33,147,54,265,223,174,1253,1378,4644,340,8022
SED40040,110,461,184,169,25,1061,69,62,365,364,490,51,1404,4,4,18,14,53,7,106,12,4,29,42,288,22,402,9,9,36,43,168,33,294,379,313,1959,1765,5069,560,10045
SED40041,69,406,147,200,18,895,53,55,376,298,424,56,1268,0,3,10,3,22,0,44,0,3,22,37,225,12,297,0,0,23,18,117,50,209,181,222,1373,1131,4175,448,7531
SED40042,35,208,111,185,24,603,45,55,352,453,686,69,1658,5,0,4,12,35,3,52,4,0,21,48,328,20,423,7,0,37,29,187,81,347,206,137,1289,1477,5281,519,8906
SED40043,119,616,143,142,16,1363,304,128,1151,427,468,75,2557,13,0,36,24,47,5,128,24,10,89,101,299,15,542,30,4,93,57,98,50,324,1562,512,4542,2044,3460,410,12538
SED40044,173,711,161,75,24,1693,532,171,1415,248,187,71,2624,31,3,84,37,42,5,197,39,25,103,72,151,12,393,51,14,124,39,55,26,314,2308,856,5846,1600,1795,329,12728
SED40045,185,783,198,116,17,1825,446,182,1298,344,294,63,2624,21,4,73,33,23,6,160,30,22,106,54,186,14,411,38,11,113,47,81,34,316,1766,791,5084,1769,2381,298,12084
SED40046,131,590,131,135,17,1281,261,125,946,343,363,65,2099,20,13,105,44,65,8,262,33,7,88,84,274,9,499,24,3,78,49,120,28,318,1345,532,4288,1876,3422,380,11839
SED40047,108,575,216,244,25,1299,94,98,601,442,552,60,1849,0,3,27,6,49,9,91,5,12,46,63,368,22,522,5,5,31,37,130,32,237,505,365,2380,2043,4818,383,10500
SED49494,3,13,3,3,0,35,5,0,20,8,16,3,47,0,0,5,0,3,0,13,0,0,4,3,10,0,12,0,0,4,3,16,12,34,30,11,116,62,181,46,444
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED50106,175,519,226,302,37,1347,115,88,516,392,504,56,1665,14,0,39,33,73,4,158,12,5,37,85,371,25,531,3,3,33,40,191,75,348,383,380,2053,1771,4987,519,10088
SED50205,191,734,181,127,31,1581,314,158,984,262,182,78,1971,21,9,81,28,44,9,193,27,13,83,59,167,7,354,56,20,186,74,130,50,520,1700,746,5354,1878,2406,428,12502
SED50302,93,352,161,281,36,1004,91,51,473,456,698,88,1853,6,3,17,23,71,6,120,21,6,48,80,442,21,617,16,6,56,52,259,89,479,449,221,1915,1914,5705,562,10771
SED50404,168,668,163,171,37,1406,220,100,942,363,352,79,2066,18,12,96,50,50,10,239,19,16,115,109,350,11,624,36,11,144,90,168,48,494,1323,584,5274,2397,3984,497,14060
SED50502,146,481,159,248,24,1179,112,90,525,341,475,69,1610,11,4,77,35,70,8,205,20,12,85,73,370,27,586,16,4,87,68,241,73,483,655,445,3044,1876,4534,519,11065
SED50605,215,778,191,159,34,1754,204,121,896,272,231,70,1787,12,8,66,27,56,10,170,31,8,94,60,185,12,389,51,10,152,70,115,44,443,1487,656,5080,1709,2442,401,11776
SED50702,107,413,135,159,25,1026,153,86,715,296,359,65,1666,26,9,88,55,135,12,328,20,11,122,115,351,20,633,37,9,131,115,215,74,585,1140,464,4148,2262,4504,551,13078
SED50806,169,503,156,240,30,1179,112,88,573,313,471,63,1610,3,3,21,20,51,4,99,15,5,52,61,344,15,494,10,5,43,58,191,65,371,415,390,2208,1566,4869,462,9907
SED50904,242,775,341,505,62,2092,166,129,1089,932,1059,152,3521,3,3,62,58,137,10,277,27,7,111,208,845,40,1235,22,9,121,130,482,138,898,858,624,4461,4233,11080,1086,22352
SED51005,134,503,123,191,44,1218,175,91,921,432,451,83,2147,15,4,100,41,63,7,231,38,12,128,107,303,15,604,64,21,158,95,233,120,690,1511,492,4957,2342,4245,633,14181
SED51104,257,883,203,213,46,1898,207,144,838,295,227,63,1777,14,11,94,42,60,8,233,28,10,100,73,230,13,452,40,12,147,86,143,31,456,1263,743,4871,2038,3094,393,12403
SED51201,96,373,128,238,29,916,38,42,252,225,322,60,946,3,0,9,6,29,7,56,3,3,15,31,259,20,330,8,0,36,31,157,62,301,196,231,1500,1162,3903,540,7530
SED51304,276,825,165,129,43,1860,513,195,1481,307,184,80,2757,38,24,131,33,33,13,278,54,15,147,86,162,11,471,93,21,247,88,87,46,582,2619,993,7420,2076,2078,465,15654
SED51405,177,674,217,329,63,1645,171,136,879,483,553,75,2288,9,3,61,38,66,10,192,17,15,83,129,554,25,815,45,11,122,111,360,97,749,996,554,4253,2780,6840,698,16118
SED51506,124,543,188,342,36,1305,99,73,548,336,579,62,1691,4,3,26,10,59,4,117,13,7,64,65,400,12,562,3,8,49,51,224,44,378,333,311,2089,1659,6190,526,11103
SED51604,223,783,153,93,28,1741,608,154,1365,237,113,76,2558,33,15,125,34,27,4,241,36,11,115,65,100,4,333,93,21,260,90,80,42,592,2565,829,6999,1629,1510,410,13943
SED51702,225,840,278,408,53,2016,220,152,989,608,716,104,2787,19,0,55,43,144,17,281,21,6,114,142,762,19,1070,33,13,145,121,438,91,844,1246,673,4986,3591,9099,759,20361
SED51806,144,534,190,251,40,1216,71,58,386,349,423,70,1364,0,3,17,16,45,6,96,3,3,33,76,287,5,418,8,6,44,61,206,69,378,320,300,1904,1807,5076,479,9890
SED51903,177,669,183,328,47,1508,111,80,482,288,407,84,1450,9,3,21,27,64,10,131,14,4,44,76,628,19,784,9,0,35,54,257,121,468,528,406,2699,2007,7704,812,14160
SED52002,106,401,162,265,29,1046,92,63,563,365,512,54,1656,6,3,48,29,91,5,183,13,14,64,100,527,23,741,20,7,96,60,335,88,607,582,335,2677,2079,5938,576,12184
SED52105,357,986,209,183,44,2307,402,190,1224,335,243,67,2465,50,16,160,59,73,10,370,26,17,111,64,221,13,466,58,19,232,101,175,64,644,1984,995,5926,2231,3487,504,15129
SED52201,154,573,173,316,42,1343,90,93,544,377,444,68,1613,4,0,29,13,43,3,88,11,9,23,63,402,20,527,3,6,37,43,253,61,393,326,371,1929,1620,5352,484,10082
SED52304,153,570,185,312,46,1376,126,85,699,417,555,102,1982,12,8,57,39,63,8,189,19,3,109,106,461,29,721,25,4,110,87,245,102,574,766,437,3868,2521,5551,700,13840
SED52402,103,353,165,272,28,1024,75,54,489,344,523,77,1577,10,3,42,30,77,12,177,13,9,67,77,400,24,588,18,3,58,76,288,83,525,570,291,2354,1855,4944,558,10572
SED52504,212,776,216,229,44,1712,161,83,758,319,264,64,1648,6,10,66,37,54,3,165,14,4,55,74,264,17,429,31,11,104,96,184,54,477,981,609,4168,2074,3730,455,12023
SED52605,205,801,244,278,40,1828,188,141,920,424,433,79,2186,6,3,70,29,65,15,188,23,6,86,90,374,17,597,47,14,119,91,258,67,596,1146,679,4591,2388,4832,529,14172
SED52704,198,687,219,278,41,1621,115,81,725,451,473,77,1928,5,6,52,31,57,10,172,24,7,87,105,390,26,639,21,10,89,86,258,56,517,756,486,3486,2308,5273,506,12815
SED52802,188,600,185,250,43,1492,128,90,498,304,300,56,1375,13,7,50,29,47,0,143,13,16,68,75,382,20,573,17,6,106,77,184,56,448,797,528,2886,1896,4050,432,10580
SED52903,17,45,9,22,10,97,0,9,16,16,26,6,67,0,0,0,0,0,0,3,0,0,3,0,32,3,36,0,0,0,3,9,4,18,39,40,189,125,577,52,1031
SED53003,158,592,139,323,53,1411,130,134,637,296,348,84,1623,6,3,47,22,65,15,167,17,6,45,51,336,46,507,15,3,52,49,193,81,391,483,411,2361,1446,3870,561,9125
SED53104,215,789,218,286,42,1730,118,93,667,368,349,65,1651,17,3,71,34,49,10,174,17,10,75,86,303,12,501,26,3,82,62,196,29,400,738,558,3624,2098,4192,397,11604
SED53205,169,596,220,419,37,1598,122,117,868,565,837,97,2600,5,10,48,40,104,7,203,21,8,71,125,608,22,848,22,10,107,100,460,115,807,815,522,3739,2996,8853,849,17765
SED53306,123,425,151,253,29,1059,75,62,422,354,543,54,1507,3,0,15,17,59,5,101,3,4,35,71,314,13,440,8,3,36,52,226,44,371,377,291,1795,1628,5184,447,9722
SED53402,254,753,177,176,37,1711,264,147,990,366,366,62,2186,32,20,116,60,72,6,297,30,17,127,90,339,23,623,46,22,187,85,192,59,589,1676,891,6145,2550,3935,532,15732
SED53502,146,405,183,230,33,1113,88,82,501,352,469,81,1565,10,3,42,31,70,4,155,9,3,63,80,450,20,622,12,4,59,64,257,64,458,529,400,2411,1983,5205,569,11096
SED53602,83,354,119,245,24,908,104,63,596,414,608,71,1854,9,4,53,35,60,8,171,24,17,69,106,355,28,602,28,3,112,96,228,112,574,663,307,3001,2143,4503,615,11231
SED53701,92,376,156,227,44,940,27,22,225,193,247,51,760,4,0,18,19,39,4,85,8,6,29,43,270,19,373,3,0,27,48,226,63,366,215,214,1556,1418,4737,667,8806
SED53802,165,529,149,177,35,1228,155,85,803,369,348,70,1826,22,3,55,39,61,9,188,26,6,103,112,354,25,625,28,4,127,104,183,75,524,993,482,4192,2301,3858,529,12352
SED53902,267,730,164,155,32,1652,280,141,989,324,322,73,2137,21,10,112,52,45,10,257,51,13,112,100,256,16,541,48,15,180,89,148,51,522,1669,823,5775,2205,3192,477,14142
SED54006,128,415,163,317,41,1102,39,49,330,295,433,60,1208,0,0,27,20,90,16,152,4,0,29,44,339,12,439,8,7,25,61,263,57,407,197,262,1666,1533,5920,568,10151
SED54104,238,821,130,84,29,2096,744,200,1757,283,134,85,3202,34,16,142,34,33,5,262,43,14,88,41,101,3,296,114,23,253,46,51,41,530,3427,967,7639,1442,1384,387,15236
SED54203,57,269,56,113,8,538,25,22,131,73,100,27,377,9,3,32,16,35,0,98,0,9,15,17,137,7,182,14,3,49,46,213,51,380,280,178,1645,1192,5424,403,9129
SED54304,228,802,238,292,54,1826,167,107,899,461,425,81,2142,8,5,54,33,59,11,171,14,4,73,100,436,7,635,22,14,114,115,271,60,593,943,606,4337,2835,5764,609,15094
SED54404,312,908,173,129,41,2102,509,186,1598,326,249,81,2946,52,25,235,73,77,25,487,61,17,223,120,285,25,736,122,23,398,135,158,89,921,3592,1262,10953,3155,3743,698,23406
SED54503,136,550,118,234,37,1136,82,77,374,212,232,48,1031,0,4,14,23,49,3,88,9,4,45,78,453,22,621,15,3,72,65,345,104,600,545,404,2921,2205,8907,788,15772
SED54605,185,745,184,201,29,1775,259,116,915,341,297,55,1981,11,9,64,26,46,8,164,38,11,114,65,194,21,438,47,12,156,66,147,52,481,1736,594,4853,1866,2954,416,12417
SED54705,101,365,143,225,27,934,49,61,355,285,489,58,1295,0,0,17,20,54,5,94,6,0,35,52,269,17,383,13,3,32,77,206,70,402,330,245,1633,1666,5026,452,9348
SED54804,342,888,205,158,42,1920,314,178,1186,313,254,60,2308,23,10,117,52,72,16,285,42,18,151,92,344,16,664,36,16,207,87,193,65,611,1700,945,6484,2477,4225,531,16359
SED54905,247,798,161,128,41,1867,359,150,1136,268,196,63,2164,29,16,96,33,68,10,259,37,24,124,64,185,10,443,74,19,227,74,133,53,576,2268,911,6441,1962,2540,445,14578
SED55005,168,751,233,282,43,1772,245,126,1023,442,481,92,2417,12,3,67,33,73,10,202,42,16,122,100,451,24,751,44,8,164,127,282,90,721,1676,554,5341,2774,5585,688,16614
SED55102,187,660,255,380,44,1679,117,112,629,433,473,67,1834,8,12,56,44,96,3,218,10,8,75,121,568,21,805,23,18,91,93,325,70,626,707,568,3294,2749,6747,653,14713
SED55206,156,545,176,246,27,1226,86,86,518,296,468,50,1506,4,0,41,39,63,4,149,4,10,36,59,318,25,454,6,8,52,67,218,60,408,354,424,2661,1830,5541,539,11342
SED55305,236,769,200,173,32,1893,265,115,1106,342,307,69,2201,42,14,153,82,88,10,392,49,19,151,98,280,27,624,68,8,222,112,182,94,689,2213,838,6923,2742,3837,595,17151
SED55401,121,405,129,222,31,946,32,34,305,204,330,46,952,0,0,17,4,21,7,47,3,3,18,28,303,11,366,0,3,18,39,102,64,233,182,270,1756,1238,3951,585,7978
SED55504,175,628,224,282,35,1468,146,95,804,512,583,89,2225,3,7,40,43,75,11,177,21,5,92,129,565,28,838,20,3,106,93,342,69,637,688,458,3581,2738,6752,637,14851
SED55605,183,754,262,554,47,1914,96,112,721,618,758,77,2389,0,3,44,40,141,14,239,13,13,50,118,603,31,821,11,4,64,131,409,83,708,541,476,3148,3259,9559,746,17736
SED55706,185,589,183,248,33,1319,74,76,423,287,378,64,1299,9,6,61,50,101,4,229,9,0,45,46,298,13,416,14,11,79,56,195,67,422,404,413,2575,1738,5042,670,10847
SED55802,140,602,215,367,47,1498,125,102,823,570,755,104,2479,12,4,61,44,94,8,229,21,7,89,133,636,35,920,36,4,118,123,337,113,731,837,447,3968,3159,7919,791,17127
SED55905,234,739,203,199,32,1688,171,119,763,321,344,77,1796,17,10,61,32,59,4,189,16,8,81,74,289,19,486,29,5,123,81,199,73,511,942,602,3724,1870,3969,515,11618
SED59494,8,28,5,5,0,57,12,5,30,9,22,0,86,0,0,10,3,4,0,20,0,0,4,0,29,0,29,3,3,17,4,42,16,86,69,20,301,133,590,58,1169
SED59797,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,28,3,47,9,3,34,54,144,10,250
SED60101,7,96,34,39,11,217,15,7,87,72,105,11,298,0,0,12,10,22,0,41,3,0,4,8,75,6,90,3,0,12,3,50,28,91,83,52,419,338,1279,159,2322
SED60106,82,663,151,216,34,1328,197,137,784,351,515,65,2047,5,3,35,23,72,15,156,11,4,42,55,299,16,426,9,5,37,30,110,42,230,635,385,2682,1400,3972,353,9431
SED60112,83,674,109,163,25,1283,127,112,557,275,354,56,1490,3,5,37,21,60,5,126,17,3,38,45,226,10,337,12,0,35,21,66,25,160,541,330,2274,1106,3049,260,7562
SED60115,40,362,94,195,33,863,78,58,400,252,563,64,1419,9,4,21,14,38,3,86,0,4,22,24,229,11,285,6,0,29,26,160,70,292,358,162,1439,961,3697,424,7034
SED60207,74,460,126,194,8,922,49,61,336,332,562,61,1398,3,0,11,13,44,4,75,8,5,24,48,311,9,405,3,0,23,25,144,53,235,227,234,1403,1222,4344,389,7812
SED60208,50,381,123,207,18,849,85,66,356,307,567,70,1448,0,3,8,10,40,3,59,7,9,33,37,304,7,392,0,3,12,25,146,40,228,264,212,1344,1108,4391,393,7715
SED60209,63,412,114,200,23,887,66,65,282,298,447,53,1212,6,0,11,4,23,3,42,0,0,8,35,279,12,340,9,0,20,31,123,62,243,247,215,1283,1140,4304,481,7674
SED60214,0,0,0,0,0,4,0,0,3,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,37,4,59
SED60302,8,60,25,69,4,196,13,21,75,92,241,14,461,3,0,0,4,21,0,32,3,0,0,15,100,4,124,0,0,5,6,57,14,87,83,53,289,380,1527,111,2446
SED60303,77,324,101,199,20,858,68,96,409,323,766,72,1740,16,7,56,26,72,4,184,12,9,48,42,287,19,420,11,0,26,27,137,59,264,454,316,1783,1295,4392,456,8691
SED60304,212,841,141,117,24,1935,408,193,1225,315,283,63,2485,79,34,178,39,57,5,399,43,23,99,43,170,8,389,26,4,94,22,69,39,247,2041,953,5165,1539,2555,304,12555
SED60305,0,10,3,3,0,26,3,3,5,5,0,4,21,0,0,3,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,3,0,3,13,6,47,26,53,10,153
SED60310,132,578,95,77,15,1393,287,110,622,160,139,30,1347,33,16,110,23,37,11,234,30,13,56,35,75,5,217,44,3,71,22,38,29,200,1615,517,3300,931,1276,194,7833
SED60402,5,54,22,33,7,128,10,13,33,51,109,5,219,0,0,3,8,18,5,28,0,0,6,10,46,3,71,0,0,0,0,17,9,32,34,32,204,218,700,73,1255
SED60405,117,580,142,177,30,1307,145,89,520,330,446,59,1588,19,14,48,31,52,3,178,9,12,57,56,314,18,461,9,6,41,35,130,61,283,830,457,2683,1616,4237,483,10301
SED60410,36,191,48,55,6,463,31,39,215,100,153,18,553,10,3,18,10,18,0,61,9,3,18,15,72,4,123,3,0,15,7,19,15,65,340,166,992,466,1144,90,3195
SED60411,109,675,140,192,26,1396,140,134,582,306,476,67,1705,11,10,57,22,62,4,167,16,5,57,59,249,13,402,3,7,32,22,91,37,200,752,534,2851,1562,3741,359,9799
SED60413,67,367,73,155,17,782,85,66,308,207,351,31,1055,13,4,29,27,51,3,119,13,3,24,43,212,11,305,8,4,16,24,94,28,171,395,276,1509,979,2940,240,6335
SED60501,25,184,33,102,11,403,44,24,128,126,253,38,604,0,4,21,11,37,5,75,9,3,15,15,125,6,168,5,0,17,20,82,47,166,151,97,752,630,2368,323,4326
SED60502,28,89,54,128,12,362,6,28,136,176,508,53,905,5,0,17,13,43,4,75,3,0,12,20,199,15,245,0,3,4,12,127,45,186,112,101,506,676,3028,339,4768
SED60512,23,104,45,54,4,267,30,38,128,86,129,16,432,3,0,3,3,17,0,38,0,0,7,12,82,3,107,0,0,7,11,55,17,97,130,84,491,396,1164,159,2420
SED60513,26,162,60,99,12,400,27,25,179,151,276,31,694,17,3,25,22,70,5,152,5,7,21,22,153,4,207,3,3,21,15,81,21,137,188,126,742,702,2395,224,4370
SED60514,52,366,98,153,22,757,62,57,369,276,477,55,1303,6,7,28,26,51,6,128,5,7,21,39,283,11,362,3,4,24,25,138,58,250,268,216,1525,1228,4142,491,7867
SED69494,0,4,0,3,0,8,0,0,6,9,3,3,26,0,0,4,0,0,0,7,0,0,0,0,6,0,6,0,0,0,0,0,3,10,12,3,40,30,58,7,149
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,23,0,30
SED70001,14,71,19,39,10,184,3,4,22,13,58,20,117,0,0,0,0,11,3,14,0,0,6,3,30,18,61,0,0,3,3,13,29,53,36,28,133,63,282,103,648
SED70002,54,181,47,90,14,454,121,79,412,170,162,43,984,5,7,23,10,25,5,78,12,3,36,31,84,3,162,4,6,27,13,48,27,130,387,223,1251,738,1406,194,4199
SED70003,15,76,22,60,24,216,9,5,33,11,38,11,114,0,0,9,0,19,4,33,5,3,9,4,56,24,92,0,0,3,3,24,55,93,77,43,286,160,572,217,1346
SED70004,24,81,22,42,13,200,15,11,74,40,84,13,245,0,0,6,3,9,4,25,0,3,5,7,51,11,78,4,0,7,7,49,34,103,71,56,326,214,678,144,1489
SED70005,32,107,23,69,11,265,14,7,86,56,109,7,284,3,4,11,10,18,0,45,0,0,12,15,92,0,118,0,0,10,13,69,42,128,112,79,562,492,1629,141,3016
SED70006,76,200,52,88,9,526,90,73,254,138,155,22,729,10,9,24,8,27,6,81,24,6,49,25,89,5,194,8,3,21,12,61,19,129,373,233,980,547,1432,173,3735
SED70007,30,98,35,71,4,256,21,14,75,64,83,11,257,0,0,3,5,16,3,36,0,3,13,14,91,0,127,0,0,14,20,76,7,116,105,109,507,543,1625,117,3007
SED70008,48,147,49,51,3,411,111,53,349,100,88,18,718,5,0,15,5,22,4,59,10,6,21,16,51,3,98,12,0,20,16,41,23,108,484,190,1145,477,931,132,3362
SED70009,23,113,34,92,15,314,9,11,41,27,47,9,146,4,3,13,11,18,7,54,5,4,10,10,67,3,97,3,3,8,11,46,27,95,86,58,340,236,977,172,1870
SED70010,30,86,31,70,3,250,19,17,86,62,71,14,269,0,0,3,5,20,0,37,0,0,8,9,65,3,87,3,0,6,10,65,24,120,92,91,439,393,1260,142,2419
SED70011,45,132,34,36,5,326,66,37,191,55,67,19,434,9,3,27,14,24,5,86,11,0,18,21,42,6,96,7,3,30,15,39,25,125,424,212,1140,514,939,143,3369
SED70012,38,129,29,36,6,296,32,29,176,50,54,10,357,11,0,30,21,22,0,91,6,3,25,10,75,10,128,3,0,18,12,55,17,106,301,165,1143,543,1194,134,3482
SED70013,28,96,40,101,9,297,9,17,54,54,67,0,200,4,0,3,14,21,3,43,3,3,10,19,120,7,165,0,0,15,12,84,24,143,75,96,442,464,1805,179,3055
SED70014,45,123,34,45,4,316,55,24,142,52,56,9,350,5,4,13,7,17,0,53,3,0,23,12,49,5,93,3,3,23,14,43,28,119,276,154,787,356,859,132,2557
SED70015,35,128,39,59,4,306,38,20,92,50,82,15,296,3,0,15,8,16,0,44,0,0,15,17,56,8,97,0,0,18,10,47,20,91,148,94,570,343,964,115,2232
SED70016,31,168,48,64,10,345,30,32,149,104,119,36,471,0,3,14,4,14,0,33,3,3,16,12,80,7,116,0,3,13,4,33,19,72,124,119,642,522,1284,163,2861
SED70017,15,94,24,51,12,221,26,22,62,49,77,22,253,4,4,21,9,20,0,64,0,3,11,9,72,12,110,3,0,13,14,43,16,87,116,67,393,292,871,126,1867
SED70018,35,93,48,74,5,282,17,16,61,51,67,8,222,0,0,7,4,25,7,40,6,0,9,16,108,4,139,4,0,18,17,105,37,185,116,100,558,591,2384,209,3964
SED70019,44,108,33,79,21,320,31,24,82,44,92,30,298,0,0,10,4,11,0,22,3,0,14,7,56,17,92,0,3,6,5,27,16,64,110,106,348,231,770,136,1701
SED70020,66,197,31,44,12,474,113,43,327,79,55,7,625,7,3,23,15,24,3,72,13,3,27,10,43,3,103,12,4,27,12,41,17,107,535,200,1253,439,844,121,3399
SED70021,32,121,12,24,6,257,53,24,165,40,44,14,341,13,4,35,31,32,3,112,18,3,26,29,45,13,133,19,3,43,16,62,20,170,564,198,1700,720,1273,179,4634
SED70022,46,111,33,65,7,321,38,16,132,81,76,16,366,4,0,10,10,16,4,41,0,0,19,16,62,3,98,0,7,21,12,64,32,136,233,129,714,452,1121,152,2803
SED70023,32,127,37,50,8,303,20,14,131,62,76,8,326,0,0,16,9,22,3,41,7,0,13,9,100,10,135,6,0,21,23,74,14,135,193,124,759,582,1668,135,3459
SED70024,16,72,19,32,12,168,9,4,38,19,36,17,118,0,0,8,3,8,3,25,0,3,5,3,34,14,54,0,0,8,3,11,11,34,43,31,186,121,352,96,825
SED70025,58,163,49,56,9,398,60,40,232,69,83,15,503,4,0,20,4,10,3,46,8,3,10,11,59,12,94,3,4,34,15,53,16,118,317,171,973,518,1137,129,3242
SED79494,6,9,0,9,0,24,4,6,21,7,5,0,46,0,0,4,0,3,0,10,0,0,0,0,0,0,7,0,0,3,0,13,5,23,31,16,90,52,175,24,387
