SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED30019,152,582,260,344,26,1517,121,107,727,570,826,81,2433,9,7,44,48,80,5,190,12,12,85,113,574,23,812,18,8,87,96,333,85,624,648,455,3189,2796,7492,542,15124
SED30020,254,1096,270,266,31,2351,388,182,1331,454,404,75,2830,21,11,104,50,94,9,282,23,14,139,142,372,16,713,63,17,168,89,224,62,634,1980,975,6932,3178,5171,512,18736
SED30021,223,885,200,164,25,1913,506,201,1576,381,357,69,3088,30,14,175,75,98,18,404,51,20,175,142,342,16,735,70,14,231,102,176,84,674,2728,1155,8891,3283,4525,572,21151
SED30022,179,730,244,313,31,1735,199,120,839,571,632,69,2442,11,6,46,34,70,5,174,29,9,85,132,413,11,684,32,13,94,138,236,90,598,1037,585,3973,3206,6422,587,15804
SED30023,188,820,313,386,50,1995,131,94,724,473,708,100,2232,3,4,13,25,69,3,105,11,3,60,86,671,33,861,6,7,79,79,341,94,602,631,420,3249,2507,8298,779,15893
SED30024,129,575,177,332,66,1390,100,82,454,383,573,109,1696,13,3,31,27,85,16,172,3,5,44,71,444,65,645,4,9,48,53,221,130,465,422,345,2303,1962,6322,1000,12353
SED30025,152,719,368,409,63,1912,246,110,821,732,814,108,2831,13,3,86,107,231,19,459,17,10,88,147,686,30,975,37,11,147,171,470,140,975,1022,536,4129,4100,9593,976,20357
SED30026,179,783,292,291,42,1808,270,105,933,560,642,94,2608,18,6,88,85,149,22,372,7,9,70,109,398,24,614,12,9,104,112,289,93,629,818,472,3759,2845,6467,698,15052
SED30027,164,706,181,333,43,1549,77,46,478,346,517,82,1551,9,4,18,23,48,12,117,12,9,32,63,351,22,479,9,7,30,37,195,86,361,414,343,2372,1678,6069,687,11565
SED30028,248,967,267,352,49,2213,271,172,1178,501,535,67,2724,12,9,88,48,83,7,250,27,17,117,147,374,6,690,27,10,118,96,197,62,511,1357,852,5458,3113,5553,472,16813
SED30029,280,944,276,310,23,2237,261,173,1137,464,475,61,2574,18,10,104,47,64,11,261,29,27,104,96,338,21,613,37,15,111,98,169,50,480,1521,986,5455,2884,5072,426,16353
SED30030,201,731,298,333,39,1801,234,116,884,740,846,98,2920,7,4,74,94,228,21,431,10,7,79,166,604,41,915,23,5,113,111,374,141,764,836,526,3748,3477,8411,832,17821
SED30031,148,795,190,332,42,1612,67,63,525,313,488,52,1521,0,0,16,20,53,3,97,9,3,40,69,512,14,648,7,3,53,67,366,99,593,500,411,3006,2106,9003,690,15725
SED30032,197,656,266,334,42,1688,171,120,664,608,702,90,2353,18,0,74,58,113,9,270,15,7,40,98,504,20,691,27,13,100,97,322,96,654,667,538,2913,2712,7426,700,14962
SED30033,315,1231,228,218,47,2673,495,251,1711,421,382,70,3339,28,18,127,47,82,10,312,49,31,150,133,275,19,650,59,9,180,63,167,55,528,2578,1193,8187,2715,4059,464,19200
SED30034,130,621,122,285,38,1266,49,63,401,204,263,52,1039,3,3,14,19,35,4,74,3,10,38,47,441,38,573,3,0,28,25,189,58,313,302,298,2245,1524,6096,645,11111
SED30035,130,552,216,342,38,1394,86,63,470,493,592,51,1757,7,7,26,28,48,5,118,7,3,32,83,419,17,565,12,4,37,52,262,73,448,343,317,1925,1881,5942,523,10934
SED30036,157,651,199,295,33,1447,208,115,871,515,887,92,2693,0,3,14,24,52,6,109,13,5,20,66,372,21,506,11,4,38,52,206,70,377,439,399,2313,1864,5411,499,10924
SED30037,134,680,194,330,44,1504,99,97,621,421,642,70,1942,7,0,27,25,63,5,132,12,3,31,75,537,20,676,8,6,35,55,322,103,528,390,347,2567,2079,8065,762,14207
SED30038,108,462,203,286,30,1259,133,83,725,493,639,63,2142,10,3,29,30,29,6,114,23,8,86,134,431,37,712,37,9,94,99,304,132,670,804,372,3186,2397,5451,655,12866
SED30039,265,1181,168,158,27,3124,622,166,1409,250,217,56,2727,32,12,145,35,45,3,274,46,28,141,65,139,10,436,110,12,198,55,67,46,491,4077,1019,8115,1749,2274,384,17616
SED30040,176,683,221,381,26,1622,131,105,673,566,852,71,2394,7,5,27,27,59,3,119,11,7,48,87,441,19,613,8,3,44,60,301,95,503,528,430,2671,2388,7014,572,13600
SED30041,133,632,240,402,33,1605,129,111,629,538,834,69,2311,3,3,33,30,69,9,139,14,9,50,92,486,20,676,7,0,38,53,280,99,485,521,412,2495,2458,7529,622,14035
SED30042,160,659,248,372,24,1612,109,103,662,614,892,85,2471,6,3,25,30,84,13,161,17,11,67,134,608,20,865,16,4,67,64,313,89,547,560,485,3035,2926,7944,616,15560
SED30043,200,799,225,311,33,1792,212,125,988,566,779,62,2732,5,9,56,38,119,4,231,10,5,48,145,471,18,702,18,5,97,94,273,82,576,728,496,3619,2709,7112,596,15259
SED30044,232,1002,242,361,47,2175,163,113,801,466,697,77,2318,3,4,30,27,64,4,140,13,8,54,96,530,23,735,10,9,35,45,211,65,366,683,558,3334,2131,7408,622,14728
SED30045,136,631,254,411,41,1653,98,73,473,458,634,78,1815,7,4,23,17,66,8,117,7,7,63,88,539,31,740,8,3,51,69,302,114,548,506,363,2512,2363,7472,774,13992
SED30046,99,439,200,381,37,1242,95,70,447,479,664,69,1826,3,0,26,32,67,7,131,14,3,56,89,575,23,765,19,6,69,88,419,101,703,397,283,2170,2255,7477,670,13255
SED30047,187,731,222,275,32,1745,165,132,877,548,589,61,2372,12,3,50,41,80,5,195,20,14,105,127,424,18,709,29,5,121,104,277,82,618,1168,669,4506,2952,5921,538,15756
SED30048,129,567,156,238,24,1215,121,93,636,351,497,61,1760,5,0,15,10,49,9,87,5,3,49,74,524,17,675,3,3,43,24,280,93,449,407,343,2551,1611,6482,512,11910
SED30049,209,985,225,222,43,2151,323,145,1198,412,399,68,2549,15,3,77,39,60,8,200,51,18,142,120,283,12,627,47,14,165,86,160,67,535,2107,734,6033,2475,3904,509,15758
