SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED40024,3,0,3,232,277,509,0,0,0,0,0,0,6,5,15,6549,5480,12027,330,453,779,125,0,125,56,3,57,28,11,36,83,23,104,255,186,442,7663,6445,14108,7,3,10,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,10,4,11,0,0,0,0,0,0,68,106,171,16,20,40,4,3,10,95,122,215,60,23,83,166,155,317,0,0,3,5,6,13,3,0,6,13,10,21,474,571,1041,862,1458,2319,86,83,165,9256,8717,17974
SED40025,242,388,636,153,214,367,0,0,0,3,12,22,20,9,26,5779,5050,10828,254,413,673,65,0,65,66,8,74,107,33,131,66,31,98,135,148,282,6893,6309,13206,20,29,43,0,0,0,10,8,20,29,33,61,3,8,7,8,3,13,69,80,150,0,0,0,0,0,0,13,8,22,7,17,22,3,0,4,16,28,49,77,102,182,165,209,377,10,20,30,3,4,3,3,0,3,22,19,39,250,309,558,640,1051,1692,64,55,122,8023,7962,15986
SED40026,177,265,446,34,26,57,3,0,3,0,5,3,11,3,8,6812,5864,12677,348,341,694,157,3,158,56,0,57,20,3,24,74,32,103,126,146,268,7816,6694,14507,31,26,56,0,0,0,7,7,12,49,81,130,7,9,15,3,0,8,98,120,218,0,0,0,0,0,0,3,7,13,3,3,9,0,0,0,5,13,22,72,27,97,175,158,335,5,32,34,0,0,0,4,0,4,12,33,40,187,344,531,713,1116,1822,58,83,140,8956,8430,17380
SED40027,87,127,212,166,200,368,0,0,0,0,3,3,7,8,13,5605,4227,9825,311,373,687,87,4,89,52,3,55,62,8,70,66,18,85,79,80,154,6524,5052,11576,38,25,65,0,0,0,0,4,6,23,30,51,7,10,11,8,0,8,69,63,135,0,0,0,3,0,3,29,49,77,3,21,24,0,0,0,36,70,106,52,32,87,160,161,326,14,21,28,4,4,12,0,0,0,15,27,37,116,202,318,593,825,1419,80,72,147,7487,6341,13824
SED40028,0,0,3,17,14,29,3,0,3,0,0,0,7,3,9,5527,4256,9787,381,341,718,169,8,177,63,11,76,41,19,64,141,43,185,465,328,793,6820,5022,11845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,0,4,3,5,80,23,108,85,28,113,5,0,3,0,0,0,7,0,9,11,3,14,888,774,1662,696,985,1684,118,111,235,8623,6928,15551
SED40029,105,107,212,137,146,276,0,0,0,0,3,4,8,8,16,5661,4915,10575,291,342,629,124,7,132,45,0,47,35,0,32,84,18,102,123,99,217,6605,5647,12256,35,19,52,0,0,0,0,0,0,50,62,112,0,12,12,3,0,8,88,95,181,0,0,0,3,0,3,11,21,35,7,5,11,0,0,0,19,29,44,57,42,104,169,165,331,15,14,32,3,0,4,3,0,4,23,17,42,319,403,722,644,1154,1790,55,50,101,7812,7434,15244
SED40030,253,292,551,244,301,550,0,0,0,17,33,49,11,10,24,6201,5342,11547,287,432,725,92,0,92,79,4,84,79,7,84,74,21,96,108,122,231,7444,6572,14021,35,22,51,0,0,0,3,5,7,58,74,132,5,8,16,0,3,10,102,112,211,0,0,0,0,0,0,16,32,52,13,19,30,4,3,4,35,62,88,75,72,146,208,239,452,14,19,35,0,11,12,4,0,5,15,31,46,177,264,441,668,1327,1995,59,55,110,8569,8501,17074
SED40031,3,0,7,526,615,1133,3,0,3,0,0,4,17,9,30,6289,5226,11517,305,520,818,118,3,125,61,11,68,89,17,111,76,21,100,105,74,178,7594,6495,14097,7,0,10,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,13,5,17,0,0,0,4,0,8,113,131,243,24,42,63,7,3,12,145,180,326,72,39,109,233,218,451,7,0,7,9,9,17,3,0,3,18,16,28,300,422,718,600,1077,1681,86,61,145,8832,8288,17120
SED40032,25,37,63,237,282,521,0,0,0,267,388,656,31,9,34,5453,4853,10305,213,405,617,52,0,50,72,14,87,186,56,242,73,25,102,180,228,407,6785,6289,13067,9,5,17,0,0,0,4,5,7,7,3,16,4,3,8,0,3,3,26,25,43,0,0,0,18,15,31,17,28,50,4,14,18,3,0,3,44,60,103,94,81,182,161,162,323,3,0,5,3,9,14,0,5,6,8,19,23,312,393,706,572,1000,1568,57,64,118,7895,7921,15815
SED40033,0,0,0,33,15,40,3,0,3,0,0,3,11,15,27,6119,5302,11418,407,363,774,132,7,139,52,8,65,66,13,77,76,34,107,206,176,377,7102,5931,13030,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,66,9,75,70,17,83,0,0,0,0,0,0,0,0,3,0,4,3,271,344,612,576,1029,1603,94,72,165,8115,7391,15502
SED40034,181,185,367,89,119,207,3,0,3,0,0,0,6,3,12,5979,4554,10536,330,410,742,99,0,103,56,6,63,21,6,30,66,19,83,73,89,163,6912,5390,12305,39,51,90,0,0,0,0,3,3,33,59,90,9,7,17,6,0,4,89,122,205,0,0,0,0,0,0,15,28,36,9,12,22,0,0,4,24,39,63,65,32,92,168,192,364,10,21,36,3,0,3,0,0,0,17,21,37,108,205,311,611,948,1557,84,66,152,7895,6822,14719
SED40035,0,6,7,522,749,1274,3,0,3,0,0,3,11,6,18,6155,5023,11179,290,358,648,107,3,112,62,6,69,59,3,63,69,19,85,79,82,165,7363,6262,13621,5,3,9,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,9,6,13,0,0,0,0,3,0,79,126,209,12,32,40,3,3,6,94,161,256,71,26,94,173,197,375,0,3,0,3,7,11,0,0,3,10,11,16,202,289,490,620,1080,1703,67,54,112,8433,7881,16320
SED40036,27,24,53,382,557,939,0,0,0,0,0,3,26,8,32,5947,4551,10498,278,377,658,95,0,97,69,6,77,51,3,60,65,34,100,61,71,137,7006,5638,12642,13,16,32,0,0,0,0,0,0,11,10,25,0,3,3,0,0,0,29,32,57,0,0,0,0,7,8,45,91,138,12,34,51,3,4,3,62,136,195,76,30,105,164,193,361,3,12,17,5,8,12,3,0,3,7,17,27,140,227,365,561,939,1498,56,53,112,7934,7066,15002
SED40037,336,446,784,165,225,393,0,0,0,4,10,7,27,7,38,7225,5697,12917,332,532,868,84,3,85,76,3,79,95,12,106,87,24,114,187,134,323,8620,7095,15713,52,56,108,0,0,0,3,12,15,28,42,71,10,13,16,3,3,7,99,119,218,0,0,0,0,3,3,8,30,39,7,19,26,0,0,0,16,53,63,62,56,120,178,227,404,18,37,56,0,3,6,0,0,0,17,47,65,197,259,454,649,1127,1778,88,69,161,9753,8823,18577
SED40038,173,239,407,77,123,199,8,0,11,0,3,0,15,5,25,5737,4078,9815,332,465,800,103,0,102,58,4,58,51,3,50,61,23,83,79,77,157,6690,5026,11713,69,67,130,0,0,0,3,5,7,36,41,81,6,14,16,3,0,8,115,128,242,0,0,0,0,0,3,5,13,22,4,14,19,3,3,7,19,33,49,59,22,79,191,184,379,22,31,51,3,0,3,0,0,0,25,36,58,78,140,221,499,780,1273,100,75,169,7577,6243,13825
SED40039,97,111,206,192,270,458,0,0,0,3,7,9,11,12,17,5154,4174,9326,287,333,618,100,4,105,75,3,76,39,9,50,62,17,82,89,95,180,6106,5025,11129,27,23,47,0,0,0,0,0,0,26,29,52,3,7,14,3,0,3,57,59,115,0,0,0,3,4,6,9,26,40,7,17,22,0,3,3,18,46,67,70,30,105,145,141,288,11,17,25,0,3,3,0,0,0,11,19,33,119,162,284,598,989,1590,70,72,150,7056,6410,13467
SED40040,16,14,31,21,23,50,4,0,3,0,5,5,3,3,13,6296,5054,11355,225,276,504,124,0,133,55,7,57,52,3,61,93,24,115,275,198,479,7180,5619,12801,3,3,7,0,0,0,0,0,0,31,27,58,0,0,3,0,0,0,34,36,69,0,0,0,0,0,0,13,25,35,0,6,7,3,0,3,12,34,45,53,24,78,97,96,195,4,9,11,4,0,4,9,0,8,10,8,19,538,560,1098,764,1223,1984,85,78,160,8676,7581,16258
SED40041,8,0,5,60,20,80,3,0,3,0,0,0,7,12,20,4377,3990,8367,315,302,614,128,5,133,48,4,49,53,10,64,171,35,205,513,385,899,5681,4773,10455,0,0,0,0,0,0,0,0,0,4,4,11,0,0,0,0,0,0,3,4,13,0,0,0,0,0,0,3,0,3,0,4,6,3,0,4,3,7,12,68,20,93,82,32,108,0,3,3,3,0,3,13,0,13,15,6,18,693,511,1210,690,885,1576,107,83,185,7264,6291,13553
SED40042,82,167,253,79,71,154,3,0,3,0,0,0,12,6,20,7238,5594,12833,402,458,856,185,4,191,72,0,78,55,5,58,96,29,126,184,104,286,8416,6445,14863,53,52,104,0,0,0,0,4,3,38,68,107,9,10,19,3,0,3,96,137,236,0,0,0,0,0,0,6,20,31,0,14,21,0,0,3,10,38,47,85,34,121,196,211,407,16,34,56,0,0,0,4,0,4,22,34,58,201,278,484,576,990,1568,87,58,146,9498,8024,17522
SED40043,5,8,13,756,1021,1780,8,0,8,0,4,4,31,21,53,6513,5186,11696,298,561,861,59,3,64,61,12,73,130,28,157,76,25,99,107,117,223,8037,6986,15018,13,9,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,16,8,27,0,0,0,4,5,9,87,110,202,23,60,87,7,3,16,127,180,305,84,39,123,222,232,455,4,0,3,10,16,24,4,0,4,15,17,38,218,265,477,605,1054,1666,72,56,129,9167,8615,17778
SED40044,14,23,36,516,643,1159,0,0,0,99,106,203,34,35,70,4983,4495,9471,242,545,787,30,0,30,83,17,99,486,250,739,64,37,107,423,399,824,6982,6540,13518,12,3,18,0,0,0,3,4,4,0,0,3,0,0,0,5,0,11,27,12,37,0,0,0,7,16,19,21,26,54,9,20,36,16,13,29,61,76,131,66,47,120,158,132,291,7,0,5,13,6,17,8,0,15,23,14,40,442,517,959,549,1070,1617,43,45,89,8192,8321,16515
SED40045,168,133,301,374,487,863,0,0,4,7,16,20,31,8,34,5419,4753,10173,257,501,759,42,0,45,73,10,79,280,87,371,60,26,87,194,162,355,6914,6175,13087,20,14,37,0,0,0,0,0,0,23,34,59,0,8,3,4,0,4,48,54,103,0,0,0,4,0,5,24,42,66,11,17,30,3,5,10,38,68,108,67,55,124,158,181,333,8,9,19,5,9,10,6,4,10,19,16,41,393,477,872,633,1216,1850,50,51,98,8162,8116,16281
SED40046,22,21,43,745,1008,1754,0,3,3,61,75,139,48,20,67,5744,4647,10389,294,619,916,61,0,61,99,20,115,303,131,438,66,33,96,255,245,506,7702,6820,14518,19,15,30,0,0,0,0,0,3,0,3,3,0,0,0,5,0,9,23,18,43,0,0,0,5,12,18,28,28,58,15,38,46,19,6,26,70,78,150,98,76,175,188,177,367,0,3,5,5,9,18,6,3,9,17,16,32,227,239,461,645,1079,1729,85,60,145,8860,8385,17246
SED40047,15,23,40,485,653,1142,5,3,5,0,0,0,15,9,22,6539,5572,12112,303,384,691,66,7,68,58,0,62,38,3,48,74,17,86,67,56,122,7661,6734,14398,10,4,9,0,0,0,0,0,0,16,15,28,0,0,0,0,0,0,23,20,43,0,0,0,4,3,6,69,129,195,10,23,37,6,6,10,87,164,247,53,21,80,160,207,366,7,3,13,0,9,10,0,0,3,10,9,22,167,254,416,608,1155,1766,54,51,107,8665,8412,17074
SED49494,3,3,4,22,12,34,0,0,0,0,0,0,3,0,3,251,102,355,37,49,85,6,0,9,5,0,6,3,3,6,11,3,21,26,24,50,372,200,577,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,3,0,3,3,0,4,8,3,17,0,0,0,0,0,0,0,0,0,0,4,4,14,11,18,64,47,112,8,0,10,465,263,734
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SED50106,0,0,3,103,23,131,0,0,0,0,0,3,19,27,43,5832,5330,11164,424,477,900,135,3,137,66,18,84,93,33,123,109,30,145,226,213,439,7008,6156,13162,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,3,4,5,0,3,6,0,3,4,3,12,11,61,28,87,67,41,106,0,0,0,0,3,3,3,4,5,3,8,10,340,444,785,709,1021,1730,106,91,196,8230,7757,15988
SED50205,62,68,132,580,453,1040,5,0,4,0,0,4,13,13,25,5695,4965,10665,235,412,648,45,0,45,60,5,60,234,60,298,110,31,140,133,139,274,7183,6153,13338,112,102,214,0,0,0,0,0,0,15,16,39,7,3,11,6,3,11,137,125,270,0,0,0,0,0,0,12,25,39,6,17,24,6,9,11,30,40,73,68,27,97,236,201,435,26,18,47,7,3,10,3,0,3,40,26,60,461,627,1090,617,1015,1630,58,45,101,8586,8068,16657
SED50302,340,333,674,188,81,271,3,3,6,0,3,3,18,5,21,7198,5568,12766,494,456,951,162,3,160,85,6,93,51,20,70,162,54,214,116,141,255,8810,6668,15477,103,122,231,0,0,0,0,0,0,45,81,123,19,18,42,11,4,16,178,224,403,0,0,0,0,0,0,9,8,18,0,11,13,6,3,8,20,18,35,70,27,94,268,272,538,34,50,81,0,0,3,0,0,0,36,53,89,143,264,402,826,1036,1861,120,116,234,10194,8412,18603
SED50404,288,290,574,403,443,842,0,0,0,0,0,3,38,15,56,7066,6004,13074,385,571,951,120,0,121,90,17,105,200,47,251,157,38,203,125,120,246,8869,7550,16419,207,244,456,0,0,0,0,0,0,68,83,150,13,22,35,15,8,24,305,363,666,0,0,0,0,0,0,11,28,33,8,20,34,11,6,17,37,57,87,65,33,92,408,445,852,47,60,105,7,0,11,3,3,11,58,64,123,218,318,540,703,1071,1768,89,62,154,10343,9510,19853
SED50502,336,383,724,251,228,481,3,0,3,3,0,3,27,13,42,6368,5187,11558,346,488,843,137,9,142,81,7,92,153,36,189,132,34,168,102,119,220,7954,6506,14454,102,136,234,0,0,0,0,0,0,76,107,184,25,21,46,6,0,8,211,270,476,0,0,0,0,0,0,23,27,49,13,25,33,6,4,12,44,56,96,74,24,92,325,346,669,33,48,78,6,0,6,4,0,4,41,48,89,185,315,500,690,976,1664,95,85,180,9291,8267,17559
SED50605,338,252,584,236,183,417,0,0,0,0,3,3,24,3,26,5406,4715,10119,256,421,673,55,3,56,51,0,50,176,44,217,93,36,124,137,159,296,6750,5816,12569,297,190,486,0,0,0,0,0,0,53,72,126,4,33,37,21,3,23,385,296,677,0,0,0,0,0,0,11,13,22,14,13,21,0,3,7,19,28,51,49,38,87,452,358,814,54,52,106,5,0,5,0,0,0,60,57,115,336,421,761,667,977,1643,70,62,130,8343,7693,16040
SED50702,91,133,228,702,742,1443,8,0,8,0,0,0,59,26,87,7348,5429,12784,445,587,1038,110,4,111,104,9,112,178,44,220,196,64,259,165,184,352,9403,7230,16634,95,97,194,0,0,0,0,0,0,50,52,98,9,10,15,4,4,8,154,159,314,0,0,0,0,0,0,33,37,70,20,37,52,17,5,20,71,77,146,97,50,142,316,284,605,24,34,59,5,8,14,3,3,10,36,48,86,213,290,495,796,955,1753,129,89,220,10891,8891,19785
SED50806,3,3,7,211,71,284,0,0,3,0,0,0,7,14,20,5634,5114,10750,530,539,1066,78,4,82,44,9,59,133,41,180,101,28,123,210,237,442,6954,6060,13014,0,3,3,0,0,0,0,0,0,3,5,12,3,3,3,0,0,0,5,8,21,0,0,0,0,0,0,25,4,26,6,7,9,7,4,11,31,18,46,93,35,125,131,66,196,0,0,0,10,3,13,3,0,3,8,8,19,143,279,416,744,967,1711,107,68,171,8088,7433,15523
SED50904,702,764,1464,604,184,791,10,0,12,3,0,0,33,12,44,11677,10147,21824,928,897,1827,326,5,333,139,12,150,62,25,89,473,90,564,224,199,425,15188,12343,27531,323,333,659,0,0,0,0,0,0,233,284,514,39,57,92,16,8,25,608,683,1294,0,0,0,0,0,0,7,8,23,9,25,36,12,5,18,33,38,71,168,56,226,815,777,1594,118,163,282,11,4,16,3,3,10,133,174,311,327,772,1100,1708,2215,3926,252,191,443,18423,16475,34902
SED51005,458,531,995,399,366,765,8,0,8,0,0,0,46,7,57,8344,5566,13906,476,633,1109,131,7,136,59,4,70,134,34,171,188,51,238,126,128,252,10365,7331,17700,159,255,415,0,0,0,0,0,0,105,91,198,11,36,48,15,7,23,287,386,675,0,0,0,0,0,0,26,28,53,15,34,47,8,5,11,54,63,114,87,48,135,427,497,925,56,75,131,3,5,11,4,3,5,59,80,144,143,290,434,836,1008,1843,158,82,240,11998,9289,21283
SED51104,316,261,577,121,56,173,0,0,3,3,0,0,15,5,25,5879,5271,11146,250,352,600,77,0,84,65,7,74,155,21,180,117,36,155,77,102,180,7083,6116,13199,268,159,425,0,0,0,0,0,0,117,99,216,16,25,46,24,8,30,424,292,712,0,0,0,0,0,0,3,8,13,0,0,3,3,0,3,9,9,20,57,42,94,488,343,830,70,40,109,3,0,4,5,0,5,77,37,115,426,568,995,632,1069,1705,69,55,124,8773,8196,16968
SED51201,3,5,9,141,40,179,0,0,0,0,0,0,3,0,3,4512,3755,8272,305,278,585,275,9,286,40,13,51,68,36,101,229,54,278,650,497,1149,6225,4683,10908,0,0,0,0,0,0,0,0,0,6,9,11,0,0,0,0,0,0,11,9,14,0,0,0,0,0,0,3,3,3,3,0,3,3,0,3,10,3,11,66,17,77,80,27,110,3,0,3,0,0,0,18,3,15,19,3,21,798,761,1564,664,897,1557,134,91,227,7918,6464,14381
SED51304,214,231,439,564,445,1012,0,3,0,4,0,6,30,13,45,6734,5616,12347,305,561,866,48,0,50,109,12,118,398,111,512,115,40,155,261,264,529,8783,7296,16084,112,136,247,0,0,4,0,0,0,55,37,91,8,16,22,5,9,8,178,200,374,0,0,0,0,0,0,23,30,60,10,24,35,17,3,19,56,59,117,53,36,93,279,299,578,22,30,48,5,5,15,3,0,3,27,38,62,530,711,1234,702,1139,1847,70,78,149,10391,9560,19957
SED51405,305,376,686,379,213,594,9,0,8,3,0,3,16,8,25,9049,7583,16633,518,582,1100,158,0,157,78,13,92,94,21,116,234,41,274,138,147,286,10989,8983,19975,213,249,465,0,0,0,0,0,0,170,170,339,21,41,57,16,5,14,418,461,880,0,0,0,0,0,0,5,10,18,13,22,35,9,0,9,24,32,61,84,48,134,537,542,1077,50,107,157,7,0,7,0,0,0,56,107,161,234,482,716,931,1418,2349,136,129,268,12883,11654,24538
SED51506,7,0,5,365,66,435,0,0,0,0,0,0,3,0,6,6365,5796,12160,567,478,1044,126,6,134,60,6,70,57,20,83,151,31,177,149,149,291,7849,6561,14408,0,3,6,0,0,0,0,0,0,3,3,5,0,0,0,4,0,4,7,4,12,0,0,0,0,0,0,26,8,35,5,12,10,10,0,11,44,15,56,84,27,111,134,51,179,0,0,0,5,3,10,0,3,3,4,8,10,252,422,674,1096,1176,2275,118,107,226,9452,8313,17773
SED51604,723,599,1325,275,207,475,3,5,9,3,3,4,10,10,17,5405,4731,10136,221,403,620,24,3,23,81,17,95,347,98,450,120,38,152,335,293,629,7547,6400,13950,50,56,106,0,0,0,0,0,3,41,61,97,8,12,26,24,7,29,122,140,258,0,0,0,0,0,0,12,19,26,8,15,22,5,0,6,25,30,55,77,29,106,222,197,411,24,24,44,3,3,10,3,0,7,32,33,59,605,740,1345,564,929,1493,84,67,157,9052,8367,17419
SED51702,276,293,571,379,117,497,3,0,3,0,0,0,31,9,43,11530,9685,21215,636,601,1237,399,21,422,128,14,140,46,14,66,351,77,430,230,161,386,13999,10999,24996,160,112,267,0,0,0,0,0,0,223,260,479,18,44,62,7,0,11,404,410,821,0,0,0,0,0,0,6,14,26,9,11,24,5,0,7,26,32,55,125,54,179,555,498,1057,71,110,187,7,3,8,10,0,9,88,113,206,516,883,1401,1369,1784,3150,156,87,248,16696,14362,31057
SED51806,125,129,252,378,85,463,4,0,4,3,0,4,4,10,11,5027,4913,9940,431,376,805,136,4,133,59,8,72,43,18,56,260,57,320,131,117,242,6603,5711,12315,59,48,105,0,0,0,0,0,0,70,67,141,6,10,14,8,3,8,144,128,266,0,0,0,0,0,0,10,3,11,6,13,18,7,0,8,17,18,35,120,26,145,283,171,456,44,51,90,7,0,12,8,7,8,59,58,115,230,481,711,1023,1068,2094,128,76,203,8327,7557,15891
SED51903,3,0,7,701,142,847,4,3,9,0,0,0,40,52,90,9073,7155,16226,921,732,1652,208,13,225,161,38,192,147,41,192,173,66,237,549,527,1077,11980,8768,20750,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,72,13,89,17,3,14,12,0,17,102,19,119,111,50,165,217,72,293,0,0,0,4,3,10,5,4,6,11,3,15,417,584,1004,1069,1111,2186,225,126,356,13925,10675,24603
SED52002,110,171,280,390,257,648,3,0,3,0,0,0,23,7,31,7971,6296,14266,521,513,1036,223,11,238,74,8,85,74,19,89,217,53,270,148,145,288,9752,7482,17236,36,56,94,0,0,0,0,0,0,67,87,152,7,20,27,5,6,7,122,166,279,0,0,0,0,0,0,16,36,53,11,23,34,4,3,8,33,60,94,89,54,142,245,272,519,31,40,67,8,0,6,10,0,9,47,45,85,218,395,611,870,1084,1956,120,70,194,11247,9349,20599
SED52105,248,318,567,399,340,737,3,4,7,0,3,3,20,9,28,6020,5764,11788,288,400,685,76,3,75,120,22,142,351,172,515,187,56,246,379,387,770,8091,7488,15580,201,165,370,0,0,0,0,0,0,70,103,170,14,21,36,51,23,77,336,317,655,0,0,5,0,0,0,13,24,35,11,19,23,11,6,14,37,52,82,95,44,134,466,401,871,36,45,79,3,3,7,5,4,8,47,46,94,473,657,1133,816,1197,2012,97,81,182,9991,9878,19866
SED52201,3,3,6,212,49,262,3,0,3,0,0,0,23,13,39,5849,5656,11506,453,516,965,146,3,147,112,27,137,142,49,191,151,32,189,202,244,443,7292,6596,13891,0,0,3,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,5,0,6,4,0,3,7,3,7,12,3,17,57,29,90,78,40,114,0,0,0,7,4,8,3,3,4,7,7,12,183,361,551,828,912,1744,110,92,205,8499,8006,16509
SED52304,205,276,480,293,152,441,0,0,0,0,0,0,33,14,40,8732,7059,15790,545,689,1241,154,4,158,80,6,79,59,5,59,186,39,227,99,105,202,10379,8348,18725,172,142,311,0,0,0,0,0,0,188,171,360,19,27,46,3,0,3,380,339,720,0,0,0,0,0,0,24,16,36,11,10,18,3,5,10,37,30,69,83,45,136,502,420,922,56,78,132,6,3,7,5,0,5,71,77,149,232,429,662,816,1177,1998,98,102,206,12099,10563,22662
SED52402,246,319,557,238,146,387,0,0,3,3,0,3,24,8,35,6915,5336,12249,425,487,914,164,3,172,90,4,90,56,13,64,167,30,195,91,81,166,8419,6418,14836,175,184,359,0,0,0,0,0,0,73,96,164,23,27,49,13,0,15,284,305,588,0,0,0,0,0,0,8,12,20,6,15,23,10,0,10,25,26,52,94,36,129,404,364,774,46,57,100,8,0,8,0,5,8,57,62,114,140,268,413,730,955,1678,112,66,182,9853,8136,17991
SED52504,245,243,492,129,43,174,7,4,11,0,0,3,13,8,22,5856,5177,11037,261,340,601,133,0,140,62,3,66,110,19,135,152,37,191,100,97,200,7080,5983,13056,234,142,380,0,0,0,0,0,0,171,157,324,15,30,41,17,3,16,433,323,758,0,0,0,0,0,0,5,5,13,3,3,10,5,0,3,10,11,25,58,29,87,505,366,869,45,53,96,3,0,3,0,0,0,47,53,102,398,597,986,730,1072,1803,78,64,142,8834,8128,16969
SED52605,356,357,716,260,86,342,0,0,0,0,0,3,13,9,25,7443,6372,13819,397,501,892,125,4,132,79,3,87,111,30,134,158,38,198,88,112,198,9033,7513,16543,254,222,479,0,0,0,0,0,0,170,167,337,21,38,61,23,0,27,463,430,898,0,0,0,0,0,0,9,7,13,3,26,32,7,0,10,21,33,51,69,34,100,553,504,1055,94,70,162,6,3,6,5,0,5,106,73,173,260,503,762,829,1256,2091,91,73,164,10870,9919,20784
SED52704,408,463,872,243,120,365,5,0,3,3,0,3,11,13,22,6530,5742,12276,410,476,885,145,4,156,110,9,111,76,33,107,173,30,209,179,195,373,8291,7094,15381,209,170,383,0,0,0,0,0,0,112,117,229,21,24,39,27,4,31,373,313,683,0,0,0,0,0,0,3,3,6,0,8,8,6,0,6,16,15,24,101,32,136,485,356,841,55,54,107,0,3,0,4,4,6,55,57,117,240,400,642,819,1155,1972,126,63,191,10015,9128,19143
