SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED40004,535,524,1060,95,103,197,0,0,0,23,47,78,14,6,16,5529,4969,10498,244,331,571,87,0,82,68,5,72,106,29,136,98,25,119,110,106,217,6902,6151,13052,26,29,51,0,0,0,10,4,14,47,65,110,3,11,13,16,6,17,98,111,215,0,0,0,0,0,3,8,13,18,0,8,13,0,0,3,10,28,36,73,73,148,188,212,396,17,23,38,3,3,8,7,4,12,28,30,55,293,393,692,659,1119,1781,54,59,113,8131,7964,16096
SED40005,0,0,0,34,13,46,9,0,5,0,0,0,9,3,15,5613,4703,10315,311,372,687,112,3,110,45,8,53,40,13,51,100,33,128,408,344,750,6675,5485,12163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,7,4,13,56,27,80,64,29,87,0,0,0,0,0,0,9,3,9,7,3,12,603,496,1104,538,896,1438,113,93,202,8004,7006,15002
SED40006,245,322,562,272,365,638,3,0,4,15,47,68,26,16,43,6363,5113,11476,318,527,849,92,0,93,84,8,91,143,35,177,72,20,96,146,176,320,7776,6637,14413,22,21,47,0,0,0,10,8,20,11,30,45,0,6,12,10,4,11,52,72,127,0,0,0,3,4,7,12,20,36,12,22,40,4,3,9,33,57,88,102,120,223,184,255,439,20,12,32,3,7,12,3,3,8,24,30,53,146,235,383,656,1101,1761,73,60,135,8865,8320,17184
SED40007,70,69,141,401,533,937,3,0,3,16,30,48,28,7,36,5960,4858,10817,277,449,732,78,0,80,70,12,80,150,35,192,80,28,103,95,115,215,7230,6134,13369,3,13,17,0,0,0,3,0,4,9,12,25,3,4,3,3,0,3,26,26,49,0,0,0,4,3,6,19,36,62,12,25,37,8,3,8,41,70,108,80,93,168,147,186,331,4,7,13,3,6,11,9,0,14,23,18,42,237,339,580,627,1068,1695,63,71,130,8326,7817,16144
SED40008,183,182,364,384,519,897,3,0,4,152,200,348,34,17,53,5547,4373,9922,309,552,863,79,3,81,90,18,105,241,95,334,76,18,95,161,156,312,7257,6128,13384,19,20,41,0,0,0,4,13,20,13,14,28,0,4,5,3,0,6,46,54,99,0,0,0,11,14,24,13,27,38,5,22,26,4,7,16,33,69,106,120,117,233,195,239,434,18,19,31,11,9,23,10,9,16,37,34,70,198,287,486,640,993,1635,82,69,150,8409,7747,16163
SED40009,277,247,528,233,206,442,3,0,3,6,6,11,12,6,13,5897,5227,11120,248,424,675,74,0,79,74,13,87,106,19,125,68,19,89,127,106,236,7128,6268,13398,25,21,49,0,0,0,0,4,4,77,64,135,6,7,20,10,4,14,120,99,219,0,0,0,0,3,5,25,45,73,9,13,18,3,3,4,31,62,99,87,62,149,243,221,464,16,12,32,3,3,9,7,0,5,25,20,43,334,419,758,704,1277,1979,43,52,95,8477,8258,16730
SED40010,12,6,20,703,967,1674,3,0,3,3,3,8,42,24,67,5476,4686,10161,249,576,821,65,0,69,90,15,102,447,183,633,73,24,101,428,425,853,7587,6917,14505,10,12,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,21,13,33,0,0,0,8,8,17,35,33,66,8,38,46,16,12,29,71,82,156,76,50,126,163,146,308,0,6,6,10,11,20,9,3,15,20,19,42,391,418,805,595,1037,1627,59,52,107,8813,8587,17404
SED40011,326,282,605,339,452,790,3,0,3,38,73,114,23,15,41,5114,4562,9668,212,473,687,57,0,56,81,12,90,181,43,221,69,18,84,150,137,294,6597,6064,12665,42,35,79,0,0,0,5,9,12,28,32,60,7,3,15,5,3,10,89,81,164,0,0,0,6,3,11,13,37,57,14,28,39,7,7,10,39,76,115,104,81,184,232,234,468,20,11,33,7,5,11,3,3,6,35,22,51,166,207,373,671,1129,1798,55,68,123,7751,7732,15477
SED40012,21,19,40,552,767,1320,0,0,7,8,8,12,44,27,74,6454,4375,10833,288,628,924,66,0,67,67,9,83,134,38,171,76,25,103,153,141,297,7877,6058,13933,9,13,25,0,0,0,0,0,0,6,7,8,0,3,3,0,0,0,16,18,36,0,0,0,6,5,9,37,49,84,16,44,57,11,12,22,68,109,176,89,49,138,172,185,358,3,10,14,10,9,13,3,3,11,18,19,34,165,232,397,545,932,1477,98,63,163,8872,7487,16360
SED40013,13,3,16,36,14,50,0,0,0,0,0,3,6,4,11,4194,3810,8006,215,286,498,88,4,90,51,7,60,51,10,61,77,25,102,284,242,526,5020,4408,9423,0,0,0,0,0,0,0,0,0,13,25,39,3,0,3,0,3,0,18,26,47,0,0,0,0,0,0,3,6,6,0,3,3,0,0,3,5,6,10,52,21,76,75,57,135,3,0,3,0,3,3,3,0,3,7,4,8,529,566,1104,713,1058,1771,66,69,137,6413,6160,12581
